"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"sarcomere organization";9,7387445;"      .";"      .";"";"extracellular matrix structural constituent";-8,0434353;"      .";"      ."
2;"pigmentation";9,57728007;"      .";"      .";"";"nucleosome assembly";-7,66029099;"      .";"      ."
3;"heart contraction";8,90618257;"      .";"      .";"";"nucleus";-7,53571971;"      .";"      ."
4;"purine nucleotide biosynthetic process";8,33737467;"      .";"      .";"";"DNA binding";-7,48272364;"      .";"      ."
5;"oxidation-reduction process";8,02984008;"      .";"      .";"";"chromosome";-7,26538041;"      .";"      ."
6;"oxidoreductase activity";7,30290748;"      .";"      .";"";"nucleosome";-6,75112945;"      .";"      ."
7;"cardiac muscle tissue development";7,17268113;"      .";"      .";"";"visual perception";-6,17727121;"      .";"      ."
8;"melanosome";7,17001642;"      .";"      .";"";"phototransduction";-5,60477806;"      .";"      ."
9;"melanosome organization";6,76203138;"      .";"      .";"";"ATP binding";-5,60100628;"      .";"      ."
10;"nucleoside metabolic process";6,6751059;"      .";"      .";"";"DNA replication";-5,43404316;"      .";"      ."
11;"Z disc";6,42398672;"      .";"      .";"";"histone binding";-5,18891589;"      .";"      ."
12;"striated muscle contraction";6,37688771;"      .";"      .";"";"proteinaceous extracellular matrix";-5,13333312;"      .";"      ."
13;"electron carrier activity";6,30619775;"      .";"      .";"";"intracellular membrane-bounded organelle";-4,92735954;"      .";"      ."
14;"troponin complex";6,02114253;"      .";"      .";"";"sodium ion transport";-4,59130132;"      .";"      ."
15;"myofibril assembly";5,85192922;"      .";"      .";"";"DNA duplex unwinding";-4,57926243;"      .";"      ."
16;"glutathione transferase activity";5,78946133;"      .";"      .";"";"extracellular space";-4,49608827;"      .";"      ."
17;"cardiac muscle cell proliferation";5,70712815;"      .";"      .";"";"hyaluronic acid binding";-4,43803656;"      .";"      ."
18;"GTP binding";5,59249396;"      .";"      .";"";"ATPase activity";-4,36492914;"      .";"      ."
19;"2 iron, 2 sulfur cluster binding";5,56272028;"      .";"      .";"";"negative regulation of endopeptidase activity";-4,29508746;"      .";"      ."
20;"iron-sulfur cluster binding";5,45388183;"      .";"      .";"";"regulation of transcription from RNA polymerase II promoter";-4,18766759;"      .";"      ."
21;"regulation of muscle contraction";5,30254345;"      .";"      .";"";"sequence-specific DNA binding";-4,13406176;"      .";"      ."
22;"GTPase activity";5,26517907;"      .";"      .";"";"regulation of calcium ion-dependent exocytosis";-4,08046718;"      .";"      ."
23;"substrate-specific transmembrane transporter activity";5,15166004;"      .";"      .";"";"chromatin binding";-4,07247127;"      .";"      ."
24;"lysosome";5,09795583;"      .";"      .";"";"endopeptidase inhibitor activity";-4,06210958;"      .";"      ."
25;"endosome";5,0866096;"      .";"      .";"";"synaptic vesicle endocytosis";-4,02528961;"      .";"      ."
26;"late endosome membrane";5,04410205;"      .";"      .";"";"nucleic acid binding";-3,99260479;"      .";"      ."
27;"molecular_function";4,99382364;"      .";"      .";"";"ion transport";-3,99171986;"      .";"      ."
28;"vesicle-mediated transport";4,94831795;"      .";"      .";"";"cation:chloride symporter activity";-3,9036801;"      .";"      ."
29;"melanocyte differentiation";4,88039604;"      .";"      .";"";"DNA helicase activity";-3,88630201;"      .";"      ."
30;"cardiac muscle contraction";4,863671;"      .";"      .";"";"signal transduction";-3,87204273;"      .";"      ."
31;"catalytic activity";4,8489238;"      .";"      .";"";"single-stranded DNA binding";-3,85558766;"      .";"      ."
