"Rank";"Upregulated";"GSZ";"p.value";"fdr";".";"Downregulated";"GSZ.";"p.value.";"fdr."
1;"oxidation-reduction process";11,52916609;"      .";"      .";"";"DNA binding";-17,6759873;"      .";"      ."
2;"oxidoreductase activity";11,36083575;"      .";"      .";"";"nucleosome";-15,57503162;"      .";"      ."
3;"metabolic process";9,46195052;"      .";"      .";"";"nucleus";-15,39880015;"      .";"      ."
4;"endopeptidase inhibitor activity";9,38407248;"      .";"      .";"";"chromosome";-14,51391337;"      .";"      ."
5;"catalytic activity";9,20855724;"      .";"      .";"";"hemoglobin complex";-13,58652582;"      .";"      ."
6;"lipoprotein metabolic process";8,91116387;"      .";"      .";"";"nucleosome assembly";-12,78295913;"      .";"      ."
7;"chylomicron";8,64378517;"      .";"      .";"";"regulation of transcription, DNA-templated";-12,60303406;"      .";"      ."
8;"triglyceride catabolic process";8,45971217;"      .";"      .";"";"multicellular organism development";-12,24485848;"      .";"      ."
9;"lysosome";8,45156961;"      .";"      .";"";"sequence-specific DNA binding";-12,01540135;"      .";"      ."
10;"high-density lipoprotein particle";7,94500643;"      .";"      .";"";"oxygen binding";-11,83128496;"      .";"      ."
11;"lipid transport";7,85328287;"      .";"      .";"";"oxygen transport";-11,83128496;"      .";"      ."
12;"cholesterol biosynthetic process";7,53915284;"      .";"      .";"";"oxygen transporter activity";-11,83128496;"      .";"      ."
13;"cholesterol homeostasis";7,43171648;"      .";"      .";"";"protein heterodimerization activity";-11,4565918;"      .";"      ."
14;"response to bacterium";7,26026461;"      .";"      .";"";"extracellular matrix structural constituent";-10,87572939;"      .";"      ."
15;"mitochondrion";7,10599246;"      .";"      .";"";"nucleic acid binding";-9,8596606;"      .";"      ."
16;"pigmentation";7,08607546;"      .";"      .";"";"cell adhesion";-9,81330729;"      .";"      ."
17;"cholesterol efflux";6,99638784;"      .";"      .";"";"nucleosomal DNA binding";-9,60670851;"      .";"      ."
18;"GTP binding";6,61677864;"      .";"      .";"";"ephrin receptor signaling pathway";-9,21174981;"      .";"      ."
19;"blood microparticle";6,47669019;"      .";"      .";"";"proteinaceous extracellular matrix";-9,19141764;"      .";"      ."
20;"immune response";6,36323982;"      .";"      .";"";"ephrin receptor activity";-8,76666139;"      .";"      ."
21;"cholesterol binding";6,29395779;"      .";"      .";"";"axon guidance";-8,58314002;"      .";"      ."
22;"cholesterol transporter activity";6,24027744;"      .";"      .";"";"homophilic cell adhesion via plasma membrane adhesion molecules";-7,99306254;"      .";"      ."
