"ID";"Symbol";"MeanExpression";"Metagene";"Chromosome";"Description"
"ENSDARG00000006093";"cdk15";6,62343645183587;"1 x 1";"6 NA";"cyclin-dependent kinase 15 [Source:ZFIN;Acc:ZDB-GENE-060421-7193]"
"ENSDARG00000006215";"akr1b1";9,64929242532889;"1 x 1";"4 NA";"aldo-keto reductase family 1, member B1 (aldose reductase) [Source:ZFIN;Acc:ZDB-GENE-040625-7]"
"ENSDARG00000010977";"rab34b";7,36817753476553;"1 x 1";"21 NA";"RAB34, member RAS oncogene family b [Source:ZFIN;Acc:ZDB-GENE-091118-61]"
"ENSDARG00000019274";"rasd1";8,40203089986728;"1 x 1";"12 NA";"RAS, dexamethasone-induced 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1473]"
"ENSDARG00000020237";"mc1r";5,76700006235942;"1 x 1";"18 NA";"melanocortin 1 receptor [Source:ZFIN;Acc:ZDB-GENE-030502-1]"
"ENSDARG00000023318";"fmn2a";8,4451717196822;"1 x 1";"17 NA";"formin 2a [Source:ZFIN;Acc:ZDB-GENE-101107-1]"
"ENSDARG00000025912";"bscl2l";8,29979091707771;"1 x 1";"14 NA";"Bernardinelli-Seip congenital lipodystrophy 2, like [Source:ZFIN;Acc:ZDB-GENE-050320-130]"
"ENSDARG00000028257";"cyb561a3b";5,35206092187366;"1 x 1";"21 NA";"cytochrome b561 family, member A3b [Source:ZFIN;Acc:ZDB-GENE-091204-222]"
"ENSDARG00000029036";"rab32a";6,83791189315656;"1 x 1";"20 NA";"RAB32a, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-031006-10]"
"ENSDARG00000029894";"slc2a15a";8,48936749490189;"1 x 1";"13 NA";"solute carrier family 2 (facilitated glucose transporter), member 15a [Source:ZFIN;Acc:ZDB-GENE-060531-109]"
"ENSDARG00000029905";"phyhd1";8,1610126384088;"1 x 1";"21 NA";"phytanoyl-CoA dioxygenase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-041114-159]"
