"";"Rank";"ID";"Symbol";"mean expression";"SD";"max delta e";"min delta e";"correlation";"->t.score";"->p.value";"Metagene";"Chromosome";"Description"
"ENSDARG00000075191";1;"ENSDARG00000075191";"oacyl";8,15083807881266;4,6820194469782;5,16278871303247;-6,13223876644655;0,978504761377555;18,9794336732371;"1.07114317415835e-12      .";"1 x 1";"21 NA";"O-acyltransferase like [Source:ZFIN;Acc:ZDB-GENE-090710-2]"
"ENSDARG00000104814";2;"ENSDARG00000104814";"wu:fc46h12";12,2344219065766;4,86381074735506;4,98467002071595;-7,11309089577297;0,978971532689636;19,1958112640355;"8.99946783761152e-13      .";"1 x 1";"2 NA";"wu:fc46h12 [Source:ZFIN;Acc:ZDB-GENE-030131-3611]"
"ENSDARG00000093957";3;"ENSDARG00000093957";"si:dkey-251i10.2";10,5085901675796;4,52975980077212;4,88348740234637;-6,93265986694575;0,975128979362599;17,5985756774905;"3.40472094961797e-12      .";"1 x 1";"5 NA";"si:dkey-251i10.2 [Source:ZFIN;Acc:ZDB-GENE-050506-102]"
"ENSDARG00000079782";4;"ENSDARG00000079782";"vmhcl";8,93369333388861;3,57265833686436;4,72113398525011;-6,07211599291999;0,683149554235915;3,74185768791492;"0.000889031275104091      .";"4 x 1";"2 NA";"ventricular myosin heavy chain-like [Source:ZFIN;Acc:ZDB-GENE-061027-393]"
"ENSDARG00000099101";5;"ENSDARG00000099101";"gch2";13,0116373748749;4,5331953762932;4,71220470957913;-7,81141425821875;0,95019313031128;12,1951863958196;"8.14009304406227e-10      .";"1 x 1";"12 NA";"GTP cyclohydrolase 2 [Source:ZFIN;Acc:ZDB-GENE-001205-3]"
"ENSDARG00000090286";6;"ENSDARG00000090286";"serpina1";7,10167659312159;3,16204183693209;4,56610467170886;-5,0109924604661;0,768279738772714;4,80089139215792;"9.79852038647255e-05      .";"1 x 4";"20 NA";"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1421]"
"ENSDARG00000089205";7;"ENSDARG00000089205";"";7,71159687737876;4,47424264233998;4,52949298821713;-5,74755319048746;0,988668128078712;26,3438072375695;"6.66133814775094e-15      .";"1 x 1";"24 NA";"si:dkey-73n8.3 [Source:ZFIN;Acc:ZDB-GENE-141219-27]"
"ENSDARG00000038969";8;"ENSDARG00000038969";"zgc:113142";6,93967621604075;3,82755010925314;4,50604379309431;-4,97448223775181;0,968245064355518;15,4917357061148;"2.35294006500908e-11      .";"1 x 1";"17 NA";"zgc:113142 [Source:ZFIN;Acc:ZDB-GENE-050220-2]"
"ENSDARG00000055240";9;"ENSDARG00000055240";"xdh";9,54432078503588;4,35462229144473;4,47458800498756;-7,22937222236351;0,977866747609186;18,6947015709596;"1.35091937636389e-12      .";"1 x 1";"17 NA";"xanthine dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-070719-9]"
"ENSDARG00000078417";10;"ENSDARG00000078417";"plxdc1";4,46326391078143;2,10500529313622;4,44928898929313;-2,23872067240415;0,76620717776021;4,7694664475299;"0.0001044734402329      .";"4 x 1";"12 NA";"plexin domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-081104-391]"
