"";"Rank";"ID";"Symbol";"mean expression";"SD";"max delta e";"min delta e";"correlation";"->t.score";"->p.value";"Metagene";"Chromosome";"Description"
"ENSDARG00000042816";1;"ENSDARG00000042816";"mmp9";6,81773685597117;1,19941931685388;2,78487749978664;-2,12574419781415;0,599978705363582;2,99983364063464;"0.00424122127445614      .";"12 x 34";"8 NA";"matrix metallopeptidase 9 [Source:ZFIN;Acc:ZDB-GENE-040426-2132]"
"ENSDARG00000058479";2;"ENSDARG00000058479";"zgc:110425";8,71540340413476;1,00842816395031;2,70541878763951;-1,52949760094811;0,57844162095129;2,836458284394;"0.00595498186278653      .";"10 x 30";"7 NA";"zgc:110425 [Source:ZFIN;Acc:ZDB-GENE-050522-103]"
"ENSDARG00000012281";3;"ENSDARG00000012281";"zgc:65851";4,69562337055625;1,21389381814433;2,39562262536346;-1,47882210041806;0,668389753056284;3,59440530526544;"0.00121386937811463      .";"8 x 29";"5 NA";"zgc:65851 [Source:ZFIN;Acc:ZDB-GENE-030131-9669]"
"ENSDARG00000090676";4;"ENSDARG00000090676";"";4,51246812164534;0,974925994292974;2,2765137990678;-1,17169339452602;0,281776146448107;1,1747033622483;"0.12865035414846      .";"9 x 28";"21 NA";"si:ch211-166i24.1 [Source:ZFIN;Acc:ZDB-GENE-091204-396]"
"ENSDARG00000058015";5;"ENSDARG00000058015";"ano3";5,57619657062112;0,934947985441446;2,17215305237636;-1,56496087277413;0,701432362359289;3,93656185718881;"0.000589688250995812      .";"11 x 34";"25 NA";"anoctamin 3 [Source:ZFIN;Acc:ZDB-GENE-111031-3]"
"ENSDARG00000054036";6;"ENSDARG00000054036";"rnf34b";6,02139405443941;0,99861598421487;2,13224504401422;-2,08282209864131;0,730998329837892;4,28499740633781;"0.000284077124965476      .";"7 x 32";"10 NA";"ring finger protein 34b [Source:ZFIN;Acc:ZDB-GENE-071004-31]"
"ENSDARG00000063019";7;"ENSDARG00000063019";"panx2";4,74888353344913;1,01892253396288;2,09283352030423;-1,2778009429735;0,66462613190596;3,55806960949044;"0.00131071949675199      .";"9 x 32";"18 NA";"pannexin 2 [Source:ZFIN;Acc:ZDB-GENE-050419-55]"
"ENSDARG00000027079";8;"ENSDARG00000027079";"znf804a";6,74911000210228;0,970763022398062;2,07766329298983;-1,44382766861641;0,784714440809278;5,06383816470747;"5.75421533335341e-05      .";"9 x 33";"9 NA";"zinc finger protein 804A [Source:ZFIN;Acc:ZDB-GENE-070912-632]"
"ENSDARG00000071230";9;"ENSDARG00000071230";"lrfn5a";5,63203267036542;1,01375897484686;2,0679687920986;-1,7897541494014;0,708494557236515;4,01574729800517;"0.000499211483983686      .";"10 x 33";"17 NA";"leucine rich repeat and fibronectin type III domain containing 5a [Source:ZFIN;Acc:ZDB-GENE-080327-17]"
"ENSDARG00000008450";10;"ENSDARG00000008450";"pcolce2a";4,42862146277313;0,817270910212876;2,05516021530885;-1,04001239705293;0,289121747277748;1,20808132108524;"0.122284838902163      .";"8 x 27";"2 NA";"procollagen C-endopeptidase enhancer 2a [Source:ZFIN;Acc:ZDB-GENE-070705-25]"
"ENSDARG00000040430";11;"ENSDARG00000040430";"";6,06392397623409;0,891107595754599;2,01204065839197;-1,70707013254987;0,830855712070554;5,97213853682029;"9.76231431737418e-06      .";"11 x 34";"3 NA";"neuronal pentraxin receptor a [Source:ZFIN;Acc:ZDB-GENE-050208-280]"
"ENSDARG00000063635";12;"ENSDARG00000063635";"nrxn1b";5,410956979332;0,939045946018272;2,00996105901513;-1,43285051671822;0,792312422364034;5,19450703207335;"4.42976602934575e-05      .";"10 x 34";"13 NA";"neurexin 1b [Source:ZFIN;Acc:ZDB-GENE-070206-3]"
"ENSDARG00000094836";13;"ENSDARG00000094836";"si:ch211-195b15.8";8,18247138935325;0,870721483425137;2,0023887078055;-1,11737144320246;0,87923042003591;7,38233760166963;"7.73788534802478e-07      .";"9 x 33";"3 NA";"si:ch211-195b15.8 [Source:ZFIN;Acc:ZDB-GENE-131127-627]"
"ENSDARG00000104724";14;"ENSDARG00000104724";"";3,97466243081689;0,970261424632526;1,97909175508031;-0,958966962219951;0,266149673524141;1,1044337243735;"0.142868957840133      .";"16 x 34";"5 NA";""
"ENSDARG00000007576";15;"ENSDARG00000007576";"crybb1l1";5,57692066876184;1,0682185800761;1,96949467911659;-1,67145741681124;0,194741229733459;0,794169569654518;"0.219358863950938      .";"9 x 27";"14 NA";"crystallin, beta B1, like 1 [Source:ZFIN;Acc:ZDB-GENE-100112-3]"
"ENSDARG00000062942";16;"ENSDARG00000062942";"kcna1a";4,62639610689608;1,04893005131359;1,96370791251998;-1,17615057902534;0,669989716732565;3,61000242344038;"0.00117452327195489      .";"7 x 32";"25 NA";"potassium voltage-gated channel, shaker-related subfamily, member 1a [Source:ZFIN;Acc:ZDB-GENE-110408-15]"
"ENSDARG00000020982";17;"ENSDARG00000020982";"prickle2a";5,37048427136053;1,02536959638197;1,95820581965673;-1,63774516564566;0,731227444474033;4,28788323006489;"0.000282372968589684      .";"9 x 32";"8 NA";"prickle homolog 2a [Source:ZFIN;Acc:ZDB-GENE-061110-112]"
"ENSDARG00000040156";18;"ENSDARG00000040156";"grm4";6,34636806042607;0,986705740085737;1,95523463556145;-1,91773105017799;0,734191069242864;4,32549517422441;"0.000261089562116679      .";"11 x 34";"6 NA";"glutamate receptor, metabotropic 4 [Source:ZFIN;Acc:ZDB-GENE-030131-5781]"
"ENSDARG00000057881";19;"ENSDARG00000057881";"si:dkey-33c12.3";4,7118426345221;0,837711494866983;1,95482752029603;-1,19018355379667;0,369798982227597;1,59205377609685;"0.0654670450546658      .";"10 x 28";"13 NA";"si:dkey-33c12.3 [Source:ZFIN;Acc:ZDB-GENE-030131-7320]"
"ENSDARG00000083108";20;"ENSDARG00000083108";"";8,42790383902455;1,06952054049262;1,94056368302351;-2,11201220503108;0,259818389866966;1,0762341318225;"0.148891814006364      .";"12 x 29";"20 NA";"Small nucleolar RNA SNORA73 family [Source:RFAM;Acc:RF00045]"
"ENSDARG00000022971";21;"ENSDARG00000022971";"epha6";4,92150825378093;1,17869398759839;1,93027015477001;-1,50406524254573;0,689415554423316;3,80700084985716;"0.000774837043351351      .";"11 x 34";"1 NA";"eph receptor A6 [Source:ZFIN;Acc:ZDB-GENE-090311-43]"
"ENSDARG00000105432";22;"ENSDARG00000105432";"si:cabz01029535.1";4,46305574963448;0,844282999874731;1,92655347806304;-0,943799117418572;0,855123316334569;6,5978600553489;"3.06557158391563e-06      .";"7 x 32";"7 NA";"si:cabz01029535.1 [Source:ZFIN;Acc:ZDB-GENE-160114-82]"
"ENSDARG00000034187";23;"ENSDARG00000034187";"calm1b";8,19041577145474;0,913792605691704;1,90821297147412;-1,6731769830815;0,842203625244749;6,24826975281585;"5.81696090018458e-06      .";"7 x 32";"20 NA";"calmodulin 1b [Source:ZFIN;Acc:ZDB-GENE-030804-2]"
"ENSDARG00000102584";24;"ENSDARG00000102584";"cpne7";4,66453105720437;0,8027335749045;1,9037922356288;-1,04759234708891;0,539348646291322;2,56197514093668;"0.01044549600586      .";"9 x 29";"7 NA";"copine VII [Source:ZFIN;Acc:ZDB-GENE-131125-70]"
"ENSDARG00000102042";25;"ENSDARG00000102042";"";5,57842272401225;0,983312986476555;1,8931554751943;-1,75986714139654;0,612158697232102;3,09665691530971;"0.00346411190151574      .";"8 x 32";"KN150578.1 NA";""
"ENSDARG00000075924";26;"ENSDARG00000075924";"zgc:171558";6,50066314680082;0,967186284500516;1,89002998658598;-1,51384817291286;0,728096368256588;4,24871278128176;"0.000306418189605751      .";"9 x 32";"6 NA";"zgc:171558 [Source:ZFIN;Acc:ZDB-GENE-080219-4]"
"ENSDARG00000068691";27;"ENSDARG00000068691";"kctd4";4,51073928725748;0,783728330660912;1,85947726230899;-1,05622568023643;0,67521245073914;3,66155701567816;"0.00105332783837997      .";"10 x 33";"9 NA";"potassium channel tetramerization domain containing 4 [Source:ZFIN;Acc:ZDB-GENE-040704-71]"
"ENSDARG00000077112";28;"ENSDARG00000077112";"si:ch211-180f4.1";4,73965680671889;0,854649224268836;1,84523751305182;-1,1158486600096;0,766118606990222;4,76813159238308;"0.000104758600101174      .";"8 x 32";"8 NA";"si:ch211-180f4.1 [Source:ZFIN;Acc:ZDB-GENE-080327-27]"
"ENSDARG00000093851";29;"ENSDARG00000093851";"";6,15618139959995;1,01760380494844;1,84518975532631;-2,30530539164641;0,677977486668439;3,68925845731328;"0.000993466487475558      .";"11 x 34";"8 NA";""
"ENSDARG00000005141";30;"ENSDARG00000005141";"camkvb";5,26550268751884;0,822112589005836;1,83637475078112;-1,40288317487688;0,723518746109509;4,19246000675181;"0.000344639194863827      .";"10 x 32";"11 NA";"CaM kinase-like vesicle-associated b [Source:ZFIN;Acc:ZDB-GENE-040426-1140]"
"ENSDARG00000074415";31;"ENSDARG00000074415";"zgc:171482";4,46258044572956;0,816617974982997;1,82935243536431;-1,01665895708993;0,819273373812002;5,7151650841708;"1.59522795586398e-05      .";"10 x 34";"13 NA";"zgc:171482 [Source:ZFIN;Acc:ZDB-GENE-080204-84]"
"ENSDARG00000003259";32;"ENSDARG00000003259";"loxa";4,95171173742897;0,71123049098408;1,82306033622862;-1,00512076785773;0,27790267045975;1,157193413616;"0.132088967691635      .";"17 x 34";"10 NA";"lysyl oxidase a [Source:ZFIN;Acc:ZDB-GENE-040426-2398]"
"ENSDARG00000086169";33;"ENSDARG00000086169";"sgk494b";5,38420042585261;0,905915917484403;1,81895755770818;-1,29960144070687;0,586783537112487;2,89861316995023;"0.00523554933978809      .";"13 x 34";"21 NA";"uncharacterized serine/threonine-protein kinase SgK494b [Source:ZFIN;Acc:ZDB-GENE-120215-252]"
"ENSDARG00000100430";34;"ENSDARG00000100430";"";5,39606127663388;0,8217943549885;1,8065458256705;-1,26984119518815;0,448644962551215;2,00801121197544;"0.0309170222099147      .";"9 x 32";"2 NA";""
"ENSDARG00000002847";35;"ENSDARG00000002847";"fndc1";4,81021930234103;0,837949687092878;1,80448820925703;-1,12931830362004;0,451596146853874;2,02458990454645;"0.0299666542945138      .";"16 x 36";"20 NA";"fibronectin type III domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-041210-332]"
"ENSDARG00000001881";36;"ENSDARG00000001881";"cacnb3a";4,46248521152849;0,789173986500937;1,80064936185842;-0,84406896001116;0,750601558551738;4,54390172797528;"0.000166010108863857      .";"10 x 34";"23 NA";"calcium channel, voltage-dependent, beta 3a [Source:ZFIN;Acc:ZDB-GENE-060221-2]"
"ENSDARG00000007944";37;"ENSDARG00000007944";"lhx1b";4,84382128943367;0,85321870993202;1,79724732574621;-1,27294869956083;0,575449800642446;2,8144959360529;"0.0062314410168498      .";"9 x 31";"5 NA";"LIM homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-980526-116]"
"ENSDARG00000074984";38;"ENSDARG00000074984";"";4,5902116398801;0,748520761836363;1,79287584850591;-1,01395096270416;0,790780418643254;5,16765563539335;"4.67362618288281e-05      .";"10 x 34";"15 NA";""
"ENSDARG00000070626";39;"ENSDARG00000070626";"cacng8b";5,4268807488207;0,707187430810736;1,791859458592;-1,26019156045671;0,809216272841045;5,50945565448811;"2.3783606886818e-05      .";"10 x 33";"16 NA";"calcium channel, voltage-dependent, gamma subunit 8b [Source:ZFIN;Acc:ZDB-GENE-100921-72]"
"ENSDARG00000063436";40;"ENSDARG00000063436";"rph3aa";4,72919538202491;0,792075543677307;1,78573822808404;-1,08244954510477;0,654265920019235;3,46051338383192;"0.00161063356758673      .";"8 x 31";"10 NA";"rabphilin 3A homolog (mouse), a [Source:ZFIN;Acc:ZDB-GENE-090706-2]"
