"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003032";"ENSDARG00000003032";"4 x 19";"72hpf_pos_tbx5.1";"eif4a1b";"eukaryotic translation initiation factor 4A1B [Source:ZFIN;Acc:ZDB-GENE-040120-6]"
"ENSDARG00000005699";"ENSDARG00000005699";"35 x 6";"24hpf_neg";"ddx19";"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 19 (DBP5 homolog, yeast) [Source:ZFIN;Acc:ZDB-GENE-020419-30]"
"ENSDARG00000005774";"ENSDARG00000005774";"26 x 38";"48hpf_neg";"ddx3b";"DEAD (Asp-Glu-Ala-Asp) box helicase 3b [Source:ZFIN;Acc:ZDB-GENE-980526-150]"
"ENSDARG00000006225";"ENSDARG00000006225";"34 x 32";"24hpf_neg";"ddx39aa";"DEAD (Asp-Glu-Ala-Asp) box polypeptide 39Aa [Source:ZFIN;Acc:ZDB-GENE-030131-4275]"
"ENSDARG00000010873";"ENSDARG00000010873";"21 x 34";"72hpf_neg_gata5";"si:dkey-156n14.5";"si:dkey-156n14.5 [Source:ZFIN;Acc:ZDB-GENE-030131-18]"
"ENSDARG00000012899";"ENSDARG00000012899";"30 x 5";"72hpf_pos_gata5.1";"ddx49";"DEAD (Asp-Glu-Ala-Asp) box polypeptide 49 [Source:ZFIN;Acc:ZDB-GENE-031030-3]"
"ENSDARG00000013150";"ENSDARG00000013150";"35 x 9";"24hpf_neg";"dhx16";"DEAH (Asp-Glu-Ala-His) box polypeptide 16 [Source:ZFIN;Acc:ZDB-GENE-030131-8589]"
"ENSDARG00000013453";"ENSDARG00000013453";"13 x 27";"72hpf_neg_hand2";"tdrd9";"tudor domain containing 9 [Source:ZFIN;Acc:ZDB-GENE-090313-193]"
"ENSDARG00000013457";"ENSDARG00000013457";"34 x 31";"24hpf_neg";"skiv2l2";"superkiller viralicidic activity 2-like 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2854]"
"ENSDARG00000014373";"ENSDARG00000014373";"34 x 18";"24hpf_pos";"ddx4";"DEAD (Asp-Glu-Ala-Asp) box polypeptide 4 [Source:ZFIN;Acc:ZDB-GENE-990415-272]"
