"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004658";"ENSDARG00000004658";"17 x 40";"72hpf_neg";"zgc:101810";"zgc:101810 [Source:ZFIN;Acc:ZDB-GENE-041121-7]"
"ENSDARG00000008383";"ENSDARG00000008383";"3 x 15";"48hpf_pos.1";"arpc1a";"actin related protein 2/3 complex, subunit 1A [Source:ZFIN;Acc:ZDB-GENE-040116-1]"
"ENSDARG00000008790";"ENSDARG00000008790";"25 x 19";"72hpf_pos_tbx5";"actr3b";"ARP3 actin related protein 3 homolog B [Source:ZFIN;Acc:ZDB-GENE-070424-10]"
"ENSDARG00000019062";"ENSDARG00000019062";"10 x 5";"72hpf_pos_gata5";"arpc5b";"actin related protein 2/3 complex, subunit 5B [Source:ZFIN;Acc:ZDB-GENE-040120-7]"
"ENSDARG00000027063";"ENSDARG00000027063";"9 x 8";"72hpf_pos_hand2.1";"arpc1b";"actin related protein 2/3 complex, subunit 1B [Source:ZFIN;Acc:ZDB-GENE-030131-7414]"
"ENSDARG00000035433";"ENSDARG00000035433";"29 x 1";"24hpf_pos.1";"arpc5lb";"actin related protein 2/3 complex, subunit 5-like, b [Source:ZFIN;Acc:ZDB-GENE-060531-161]"
"ENSDARG00000039142";"ENSDARG00000039142";"27 x 1";"24hpf_pos.1";"arpc5a";"actin related protein 2/3 complex, subunit 5A [Source:ZFIN;Acc:ZDB-GENE-030131-8448]"
"ENSDARG00000041720";"ENSDARG00000041720";"27 x 15";"72hpf_neg_hand2";"arpc5la";"actin related protein 2/3 complex, subunit 5-like, a [Source:ZFIN;Acc:ZDB-GENE-040426-1453]"
"ENSDARG00000052438";"ENSDARG00000052438";"14 x 6";"72hpf_pos_hand2.1";"actr2a";"ARP2 actin related protein 2a homolog [Source:ZFIN;Acc:ZDB-GENE-040426-2894]"
"ENSDARG00000054063";"ENSDARG00000054063";"17 x 4";"72hpf_pos_gata5";"arpc4";"actin related protein 2/3 complex, subunit 4 [Source:ZFIN;Acc:ZDB-GENE-010724-9]"
"ENSDARG00000057882";"ENSDARG00000057882";"9 x 4";"48hpf_pos";"arpc3";"actin related protein 2/3 complex, subunit 3 [Source:ZFIN;Acc:ZDB-GENE-040625-107]"
"ENSDARG00000058225";"ENSDARG00000058225";"5 x 13";"72hpf_pos_gata5.1";"arpc4l";"actin related protein 2/3 complex, subunit 4, like [Source:ZFIN;Acc:ZDB-GENE-040808-18]"
"ENSDARG00000063457";"ENSDARG00000063457";"17 x 6";"72hpf_pos";"wash1";"WAS protein family homolog 1 [Source:ZFIN;Acc:ZDB-GENE-050419-138]"
"ENSDARG00000070076";"ENSDARG00000070076";"27 x 4";"24hpf_pos";"actr2b";"ARP2 actin related protein 2b homolog [Source:ZFIN;Acc:ZDB-GENE-050410-4]"
"ENSDARG00000075989";"ENSDARG00000075989";"4 x 13";"72hpf_pos";"arpc2";"actin related protein 2/3 complex, subunit 2 [Source:ZFIN;Acc:ZDB-GENE-030131-5276]"
"ENSDARG00000090369";"ENSDARG00000090369";"1 x 28";"72hpf_neg";"zgc:86896";"zgc:86896 [Source:ZFIN;Acc:ZDB-GENE-040625-80]"
"ENSDARG00000091138";"ENSDARG00000091138";"12 x 5";"72hpf_pos_gata5";"";"ARP3 actin related protein 3 homolog [Source:ZFIN;Acc:ZDB-GENE-040428-2]"
"ENSDARG00000100510";"ENSDARG00000100510";"11 x 6";"72hpf_pos_hand2.1";"";"ARP3 actin related protein 3 homolog [Source:ZFIN;Acc:ZDB-GENE-040428-2]"
"ENSDARG00000103011";"ENSDARG00000103011";"18 x 8";"72hpf_pos";"";"WAS protein homolog associated with actin, golgi membranes and microtubules [Source:HGNC Symbol;Acc:HGNC:30493]"
