"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004260";"ENSDARG00000004260";"13 x 35";"48hpf_neg";"cul5b";"cullin 5b [Source:ZFIN;Acc:ZDB-GENE-091113-45]"
"ENSDARG00000029600";"ENSDARG00000029600";"38 x 26";"24hpf_pos";"wdr32";"WD repeat domain 32 [Source:ZFIN;Acc:ZDB-GENE-040426-2314]"
"ENSDARG00000037283";"ENSDARG00000037283";"32 x 12";"24hpf_pos";"plrg1";"pleiotropic regulator 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2787]"
"ENSDARG00000038030";"ENSDARG00000038030";"19 x 1";"72hpf_pos_gata5";"rbx1";"ring-box 1, E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-041008-106]"
"ENSDARG00000041140";"ENSDARG00000041140";"6 x 17";"72hpf_pos_gata5.1";"ddb2";"damage-specific DNA binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-050419-169]"
"ENSDARG00000055524";"ENSDARG00000055524";"15 x 5";"72hpf_pos_tbx5.1";"rnf7";"ring finger protein 7 [Source:ZFIN;Acc:ZDB-GENE-050220-12]"
"ENSDARG00000060510";"ENSDARG00000060510";"28 x 25";"24hpf_neg";"cul4b";"cullin 4B [Source:ZFIN;Acc:ZDB-GENE-041008-208]"
"ENSDARG00000063155";"ENSDARG00000063155";"11 x 29";"72hpf_neg_hand2";"dcaf12";"DDB1 and CUL4 associated factor 12 [Source:ZFIN;Acc:ZDB-GENE-061013-363]"
"ENSDARG00000069742";"ENSDARG00000069742";"4 x 16";"48hpf_pos.1";"cul5a";"cullin 5a [Source:ZFIN;Acc:ZDB-GENE-030131-5426]"
"ENSDARG00000074909";"ENSDARG00000074909";"33 x 7";"24hpf_pos";"dcaf17";"ddb1 and cul4 associated factor 17 [Source:ZFIN;Acc:ZDB-GENE-071008-1]"
"ENSDARG00000099139";"ENSDARG00000099139";"38 x 12";"24hpf_pos.1";"fbxw5";"F-box and WD repeat domain containing 5 [Source:ZFIN;Acc:ZDB-GENE-040426-2571]"
