"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000024488";"ENSDARG00000024488";"36 x 39";"24hpf_neg";"";"topoisomerase (DNA) II alpha [Source:ZFIN;Acc:ZDB-GENE-030131-2453]"
"ENSDARG00000034195";"ENSDARG00000034195";"16 x 37";"48hpf_neg";"top2b";"topoisomerase (DNA) II beta [Source:ZFIN;Acc:ZDB-GENE-041008-136]"
"ENSDARG00000041411";"ENSDARG00000041411";"35 x 29";"24hpf_pos";"rad51";"RAD51 recombinase [Source:ZFIN;Acc:ZDB-GENE-040426-2286]"
"ENSDARG00000042727";"ENSDARG00000042727";"17 x 16";"24hpf_neg";"exo5";"exonuclease 5 [Source:ZFIN;Acc:ZDB-GENE-051113-108]"
"ENSDARG00000044692";"ENSDARG00000044692";"30 x 11";"72hpf_pos";"eri1";"exoribonuclease 1 [Source:ZFIN;Acc:ZDB-GENE-050522-39]"
"ENSDARG00000055883";"ENSDARG00000055883";"20 x 21";"48hpf_pos";"dmc1";"DNA meiotic recombinase 1 [Source:ZFIN;Acc:ZDB-GENE-060331-93]"
"ENSDARG00000070618";"ENSDARG00000070618";"36 x 14";"24hpf_pos.1";"tatdn2";"TatD DNase domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-081022-51]"
"ENSDARG00000073893";"ENSDARG00000073893";"7 x 6";"72hpf_pos_gata5";"dnase2";"deoxyribonuclease II, lysosomal [Source:ZFIN;Acc:ZDB-GENE-010724-16]"
"ENSDARG00000077918";"ENSDARG00000077918";"9 x 7";"72hpf_pos_hand2.1";"dnase2b";"deoxyribonuclease II beta [Source:ZFIN;Acc:ZDB-GENE-090824-2]"
"ENSDARG00000100548";"ENSDARG00000100548";"32 x 2";"72hpf_pos_gata5.1";"tefm";"transcription elongation factor, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-060825-345]"
