"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003308";"ENSDARG00000003308";"22 x 7";"72hpf_pos_tbx5.1";"emc2";"ER membrane protein complex subunit 2 [Source:ZFIN;Acc:ZDB-GENE-040625-82]"
"ENSDARG00000010553";"ENSDARG00000010553";"29 x 15";"48hpf_pos";"mmgt1";"membrane magnesium transporter 1 [Source:ZFIN;Acc:ZDB-GENE-040801-65]"
"ENSDARG00000012144";"ENSDARG00000012144";"4 x 15";"48hpf_pos";"emc7";"ER membrane protein complex subunit 7 [Source:ZFIN;Acc:ZDB-GENE-041001-170]"
"ENSDARG00000017093";"ENSDARG00000017093";"23 x 1";"48hpf_pos";"emc8";"ER membrane protein complex subunit 8 [Source:ZFIN;Acc:ZDB-GENE-040426-2692]"
"ENSDARG00000020607";"ENSDARG00000020607";"34 x 29";"24hpf_pos";"emc3";"ER membrane protein complex subunit 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2904]"
"ENSDARG00000029479";"ENSDARG00000029479";"12 x 2";"24hpf_pos.1";"zgc:86609";"zgc:86609 [Source:ZFIN;Acc:ZDB-GENE-050102-7]"
"ENSDARG00000034633";"ENSDARG00000034633";"30 x 10";"24hpf_neg";"emc9";"ER membrane protein complex subunit 9 [Source:ZFIN;Acc:ZDB-GENE-040426-693]"
"ENSDARG00000035282";"ENSDARG00000035282";"27 x 11";"48hpf_pos";"emc6";"ER membrane protein complex subunit 6 [Source:ZFIN;Acc:ZDB-GENE-030131-9164]"
"ENSDARG00000057255";"ENSDARG00000057255";"33 x 31";"24hpf_pos.1";"emc1";"ER membrane protein complex subunit 1 [Source:ZFIN;Acc:ZDB-GENE-060810-98]"
"ENSDARG00000102983";"ENSDARG00000102983";"23 x 11";"72hpf_pos_gata5.1";"";"zgc:195050 [Source:ZFIN;Acc:ZDB-GENE-080723-71]"
