"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000009160";"ENSDARG00000009160";"1 x 5";"72hpf_pos_tbx5";"kmo";"kynurenine 3-monooxygenase [Source:ZFIN;Acc:ZDB-GENE-030424-4]"
"ENSDARG00000014727";"ENSDARG00000014727";"5 x 13";"72hpf_pos.1";"acox1";"acyl-CoA oxidase 1, palmitoyl [Source:ZFIN;Acc:ZDB-GENE-041010-219]"
"ENSDARG00000020149";"ENSDARG00000020149";"27 x 15";"48hpf_pos.1";"acoxl";"acyl-CoA oxidase-like [Source:ZFIN;Acc:ZDB-GENE-081107-18]"
"ENSDARG00000020395";"ENSDARG00000020395";"12 x 3";"72hpf_pos_hand2";"mical2b";"microtubule associated monooxygenase, calponin and LIM domain containing 2b [Source:ZFIN;Acc:ZDB-GENE-061207-15]"
"ENSDARG00000021154";"ENSDARG00000021154";"8 x 9";"72hpf_pos_tbx5";"zgc:92040";"zgc:92040 [Source:ZFIN;Acc:ZDB-GENE-040718-87]"
"ENSDARG00000035601";"ENSDARG00000035601";"23 x 10";"72hpf_pos_gata5.1";"dao.3";"D-amino-acid oxidase, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1894]"
"ENSDARG00000035602";"ENSDARG00000035602";"36 x 1";"24hpf_pos.1";"dao.1";"D-amino-acid oxidase, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-050913-127]"
"ENSDARG00000035603";"ENSDARG00000035603";"39 x 18";"24hpf_pos.1";"dao.2";"D-amino-acid oxidase, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2634]"
"ENSDARG00000038865";"ENSDARG00000038865";"15 x 6";"72hpf_pos_tbx5";"acox3";"acyl-CoA oxidase 3, pristanoyl [Source:ZFIN;Acc:ZDB-GENE-040426-2163]"
"ENSDARG00000060380";"ENSDARG00000060380";"10 x 15";"72hpf_pos.1";"coq6";"coenzyme Q6 monooxygenase [Source:ZFIN;Acc:ZDB-GENE-060825-297]"
"ENSDARG00000075608";"ENSDARG00000075608";"12 x 3";"72hpf_pos_hand2";"mical2a";"microtubule associated monooxygenase, calponin and LIM domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-110110-2]"
"ENSDARG00000079664";"ENSDARG00000079664";"12 x 21";"72hpf_pos.1";"zgc:172341";"zgc:172341 [Source:ZFIN;Acc:ZDB-GENE-080204-116]"
"ENSDARG00000086512";"ENSDARG00000086512";"14 x 16";"72hpf_pos_tbx5.1";"";"proline dehydrogenase (oxidase) 1b [Source:ZFIN;Acc:ZDB-GENE-101116-1]"
"ENSDARG00000086746";"ENSDARG00000086746";"16 x 2";"72hpf_pos_gata5.1";"prodha";"proline dehydrogenase (oxidase) 1a [Source:ZFIN;Acc:ZDB-GENE-041008-73]"
"ENSDARG00000094732";"ENSDARG00000094732";"1 x 21";"72hpf_pos_hand2.1";"";"microtubule associated monooxygenase, calponin and LIM domain containing 3b [Source:ZFIN;Acc:ZDB-GENE-050211-1]"
"ENSDARG00000097017";"ENSDARG00000097017";"26 x 31";"48hpf_pos";"";"microtubule associated monooxygenase, calponin and LIM domain containing 3a [Source:ZFIN;Acc:ZDB-GENE-050126-2]"
