"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001734";"ENSDARG00000001734";"17 x 5";"72hpf_pos_tbx5.1";"fkbp8";"FK506 binding protein 8 [Source:ZFIN;Acc:ZDB-GENE-040426-1849]"
"ENSDARG00000001976";"ENSDARG00000001976";"3 x 29";"72hpf_neg";"";"FK506 binding protein 16 [Source:ZFIN;Acc:ZDB-GENE-050208-116]"
"ENSDARG00000005023";"ENSDARG00000005023";"33 x 40";"72hpf_neg";"fkbp9";"FK506 binding protein 9 [Source:ZFIN;Acc:ZDB-GENE-040801-23]"
"ENSDARG00000008447";"ENSDARG00000008447";"28 x 24";"24hpf_neg";"fkbp4";"FK506 binding protein 4 [Source:ZFIN;Acc:ZDB-GENE-030131-514]"
"ENSDARG00000022684";"ENSDARG00000022684";"4 x 17";"72hpf_pos_gata5.1";"fkbp1aa";"FK506 binding protein 1Aa [Source:ZFIN;Acc:ZDB-GENE-030131-7275]"
"ENSDARG00000028396";"ENSDARG00000028396";"1 x 38";"72hpf_neg_hand2";"fkbp5";"FK506 binding protein 5 [Source:ZFIN;Acc:ZDB-GENE-030616-630]"
"ENSDARG00000030133";"ENSDARG00000030133";"23 x 25";"72hpf_pos_tbx5";"fkbp6";"FK506 binding protein 6 [Source:ZFIN;Acc:ZDB-GENE-050302-4]"
"ENSDARG00000033567";"ENSDARG00000033567";"40 x 19";"72hpf_pos";"fkbp1ab";"FK506 binding protein 1Ab [Source:ZFIN;Acc:ZDB-GENE-040927-9]"
"ENSDARG00000037000";"ENSDARG00000037000";"33 x 13";"72hpf_pos.1";"fkbp11";"FK506 binding protein 11 [Source:ZFIN;Acc:ZDB-GENE-030616-357]"
"ENSDARG00000040695";"ENSDARG00000040695";"32 x 39";"72hpf_neg_gata5";"fkbp14";"FK506 binding protein 14 [Source:ZFIN;Acc:ZDB-GENE-040801-210]"
"ENSDARG00000044540";"ENSDARG00000044540";"2 x 14";"72hpf_pos_gata5.1";"fkbp2";"FK506 binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-040912-126]"
"ENSDARG00000045129";"ENSDARG00000045129";"18 x 40";"24hpf_neg";"fkbp10b";"FK506 binding protein 10b [Source:ZFIN;Acc:ZDB-GENE-030131-3101]"
"ENSDARG00000052625";"ENSDARG00000052625";"1 x 15";"48hpf_pos";"fkbp1b";"FK506 binding protein 1b [Source:ZFIN;Acc:ZDB-GENE-040426-1785]"
"ENSDARG00000099077";"ENSDARG00000099077";"27 x 23";"24hpf_neg";"";"FK506 binding protein 6 [Source:HGNC Symbol;Acc:HGNC:3722]"
"ENSDARG00000102022";"ENSDARG00000102022";"27 x 23";"24hpf_neg";"";"FK506 binding protein 6 [Source:HGNC Symbol;Acc:HGNC:3722]"
