"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000006584";"ENSDARG00000006584";"18 x 37";"48hpf_neg";"phf8";"PHD finger protein 8 [Source:ZFIN;Acc:ZDB-GENE-060419-1]"
"ENSDARG00000008727";"ENSDARG00000008727";"32 x 33";"24hpf_pos.1";"ranbp3a";"RAN binding protein 3a [Source:ZFIN;Acc:ZDB-GENE-040426-1132]"
"ENSDARG00000012078";"ENSDARG00000012078";"12 x 40";"72hpf_neg_hand2";"meis1b";"Meis homeobox 1 b [Source:ZFIN;Acc:ZDB-GENE-020122-1]"
"ENSDARG00000014817";"ENSDARG00000014817";"33 x 5";"24hpf_pos";"ranbp1";"RAN binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2548]"
"ENSDARG00000026577";"ENSDARG00000026577";"40 x 33";"24hpf_pos.1";"cdk2";"cyclin-dependent kinase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2741]"
"ENSDARG00000030163";"ENSDARG00000030163";"23 x 16";"72hpf_pos_tbx5.1";"cdk21";"cyclin-dependent kinase 21 [Source:ZFIN;Acc:ZDB-GENE-131121-149]"
"ENSDARG00000039130";"ENSDARG00000039130";"40 x 34";"24hpf_pos.1";"cdkn3";"cyclin-dependent kinase inhibitor 3 [Source:ZFIN;Acc:ZDB-GENE-060427-2]"
"ENSDARG00000069056";"ENSDARG00000069056";"32 x 34";"24hpf_pos.1";"ranbp3b";"RAN binding protein 3b [Source:ZFIN;Acc:ZDB-GENE-040426-1627]"
"ENSDARG00000070228";"ENSDARG00000070228";"31 x 29";"24hpf_neg";"cdk6";"cyclin-dependent kinase 6 [Source:ZFIN;Acc:ZDB-GENE-060503-786]"
"ENSDARG00000075593";"ENSDARG00000075593";"38 x 36";"24hpf_pos.1";"trim71";"tripartite motif containing 71, E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-040128-1]"
"ENSDARG00000078864";"ENSDARG00000078864";"14 x 4";"72hpf_pos_gata5.1";"lats2";"large tumor suppressor kinase 2 [Source:ZFIN;Acc:ZDB-GENE-050119-6]"
"ENSDARG00000087937";"ENSDARG00000087937";"37 x 7";"72hpf_pos.1";"cdk4";"cyclin-dependent kinase 4 [Source:ZFIN;Acc:ZDB-GENE-060929-974]"
"ENSDARG00000093125";"ENSDARG00000093125";"36 x 36";"24hpf_pos.1";"si:ch1073-55a19.2";"si:ch1073-55a19.2 [Source:ZFIN;Acc:ZDB-GENE-081104-93]"
"ENSDARG00000098529";"ENSDARG00000098529";"39 x 37";"24hpf_pos.1";"ccne2";"cyclin E2 [Source:ZFIN;Acc:ZDB-GENE-030131-9689]"
"ENSDARG00000098622";"ENSDARG00000098622";"35 x 7";"24hpf_neg";"ccne1";"cyclin E1 [Source:ZFIN;Acc:ZDB-GENE-980526-168]"
"ENSDARG00000101637";"ENSDARG00000101637";"38 x 38";"24hpf_pos.1";"ccnd1";"cyclin D1 [Source:ZFIN;Acc:ZDB-GENE-980526-176]"
