"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004632";"ENSDARG00000004632";"32 x 1";"24hpf_pos";"egln1b";"egl-9 family hypoxia-inducible factor 1b [Source:ZFIN;Acc:ZDB-GENE-040718-338]"
"ENSDARG00000010085";"ENSDARG00000010085";"19 x 36";"24hpf_neg";"p4ha2";"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide 2 [Source:ZFIN;Acc:ZDB-GENE-030827-1]"
"ENSDARG00000011821";"ENSDARG00000011821";"4 x 31";"72hpf_neg_gata5";"plod2";"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 [Source:ZFIN;Acc:ZDB-GENE-070326-1]"
"ENSDARG00000017038";"ENSDARG00000017038";"32 x 9";"72hpf_pos.1";"zgc:152670";"zgc:152670 [Source:ZFIN;Acc:ZDB-GENE-060929-954]"
"ENSDARG00000032553";"ENSDARG00000032553";"37 x 18";"24hpf_pos.1";"egln3";"egl-9 family hypoxia-inducible factor 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2541]"
"ENSDARG00000033537";"ENSDARG00000033537";"22 x 38";"48hpf_neg";"p4ha1a";"prolyl 4-hydroxylase, alpha polypeptide I a [Source:ZFIN;Acc:ZDB-GENE-040724-91]"
"ENSDARG00000036061";"ENSDARG00000036061";"36 x 4";"24hpf_pos";"ogfod1";"2-oxoglutarate and iron-dependent oxygenase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030131-3294]"
"ENSDARG00000038996";"ENSDARG00000038996";"18 x 3";"72hpf_pos_gata5.1";"egln1a";"egl-9 family hypoxia-inducible factor 1a [Source:ZFIN;Acc:ZDB-GENE-110408-34]"
"ENSDARG00000056211";"ENSDARG00000056211";"40 x 18";"24hpf_pos";"ogfod2";"2-oxoglutarate and iron-dependent oxygenase domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-061215-54]"
"ENSDARG00000057879";"ENSDARG00000057879";"18 x 40";"72hpf_neg";"p3h3";"prolyl 3-hydroxylase 3 [Source:ZFIN;Acc:ZDB-GENE-060503-231]"
"ENSDARG00000059746";"ENSDARG00000059746";"18 x 37";"72hpf_neg_gata5";"plod1a";"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3165]"
"ENSDARG00000062562";"ENSDARG00000062562";"40 x 24";"24hpf_pos.1";"egln2";"egl-9 family hypoxia-inducible factor 2 [Source:ZFIN;Acc:ZDB-GENE-060503-757]"
"ENSDARG00000071082";"ENSDARG00000071082";"18 x 39";"72hpf_neg_gata5";"p4ha1b";"prolyl 4-hydroxylase, alpha polypeptide I b [Source:ZFIN;Acc:ZDB-GENE-030131-4089]"
"ENSDARG00000071212";"ENSDARG00000071212";"34 x 40";"72hpf_neg_gata5";"p3h1";"prolyl 3-hydroxylase 1 [Source:ZFIN;Acc:ZDB-GENE-031010-35]"
"ENSDARG00000071233";"ENSDARG00000071233";"10 x 29";"72hpf_neg_tbx5";"zgc:158254";"zgc:158254 [Source:ZFIN;Acc:ZDB-GENE-070112-2222]"
"ENSDARG00000075209";"ENSDARG00000075209";"5 x 27";"72hpf_neg_gata5";"p4htm";"prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum) [Source:ZFIN;Acc:ZDB-GENE-110131-7]"
"ENSDARG00000076317";"ENSDARG00000076317";"19 x 37";"72hpf_neg_gata5";"plod3";"wu:fb72h05 [Source:ZFIN;Acc:ZDB-GENE-030131-1486]"
"ENSDARG00000094609";"ENSDARG00000094609";"23 x 30";"72hpf_neg_gata5";"";"si:ch73-68b22.2 [Source:ZFIN;Acc:ZDB-GENE-091204-355]"
"ENSDARG00000103026";"ENSDARG00000103026";"13 x 2";"48hpf_pos";"p3h2";"prolyl 3-hydroxylase 2 [Source:ZFIN;Acc:ZDB-GENE-061207-44]"
"ENSDARG00000103692";"ENSDARG00000103692";"33 x 32";"72hpf_pos.1";"p4ha3";"prolyl 4-hydroxylase, alpha polypeptide III [Source:ZFIN;Acc:ZDB-GENE-041010-4]"
