"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001777";"ENSDARG00000001777";"39 x 33";"24hpf_pos";"nup155";"nucleoporin 155 [Source:ZFIN;Acc:ZDB-GENE-040426-711]"
"ENSDARG00000007196";"ENSDARG00000007196";"36 x 27";"24hpf_pos.1";"rae1";"ribonucleic acid export 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1029]"
"ENSDARG00000008727";"ENSDARG00000008727";"32 x 33";"24hpf_pos.1";"ranbp3a";"RAN binding protein 3a [Source:ZFIN;Acc:ZDB-GENE-040426-1132]"
"ENSDARG00000010078";"ENSDARG00000010078";"36 x 33";"24hpf_pos";"nup133";"nucleoporin 133 [Source:ZFIN;Acc:ZDB-GENE-040426-2941]"
"ENSDARG00000014817";"ENSDARG00000014817";"33 x 5";"24hpf_pos";"ranbp1";"RAN binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2548]"
"ENSDARG00000016212";"ENSDARG00000016212";"35 x 34";"24hpf_pos";"";"nucleoporin 214 [Source:ZFIN;Acc:ZDB-GENE-110203-3]"
"ENSDARG00000030022";"ENSDARG00000030022";"36 x 33";"24hpf_neg";"nup188";"nucleoporin 188 [Source:ZFIN;Acc:ZDB-GENE-030131-7184]"
"ENSDARG00000055113";"ENSDARG00000055113";"35 x 38";"24hpf_neg";"pom121";"POM121 transmembrane nucleoporin [Source:ZFIN;Acc:ZDB-GENE-030131-6557]"
"ENSDARG00000069056";"ENSDARG00000069056";"32 x 34";"24hpf_pos.1";"ranbp3b";"RAN binding protein 3b [Source:ZFIN;Acc:ZDB-GENE-040426-1627]"
"ENSDARG00000074955";"ENSDARG00000074955";"32 x 28";"24hpf_pos";"nup98";"nucleoporin 98 [Source:ZFIN;Acc:ZDB-GENE-040426-1180]"
"ENSDARG00000093125";"ENSDARG00000093125";"36 x 36";"24hpf_pos.1";"si:ch1073-55a19.2";"si:ch1073-55a19.2 [Source:ZFIN;Acc:ZDB-GENE-081104-93]"
