"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002830";"ENSDARG00000002830";"36 x 30";"24hpf_pos";"trmt2a";"tRNA methyltransferase 2 homolog A [Source:ZFIN;Acc:ZDB-GENE-030131-6876]"
"ENSDARG00000012827";"ENSDARG00000012827";"33 x 32";"24hpf_pos";"mettl3";"methyltransferase like 3 [Source:ZFIN;Acc:ZDB-GENE-030131-9498]"
"ENSDARG00000016543";"ENSDARG00000016543";"31 x 22";"24hpf_pos";"rnmtl1a";"RNA methyltransferase like 1a [Source:ZFIN;Acc:ZDB-GENE-050417-184]"
"ENSDARG00000018871";"ENSDARG00000018871";"32 x 20";"24hpf_pos";"henmt1";"HEN1 methyltransferase homolog 1 (Arabidopsis) [Source:ZFIN;Acc:ZDB-GENE-050417-387]"
"ENSDARG00000033967";"ENSDARG00000033967";"38 x 5";"24hpf_pos";"trmt2b";"tRNA methyltransferase 2 homolog B [Source:ZFIN;Acc:ZDB-GENE-050809-101]"
"ENSDARG00000043209";"ENSDARG00000043209";"31 x 28";"72hpf_pos_gata5.1";"nsun5";"NOP2/Sun domain family, member 5 [Source:ZFIN;Acc:ZDB-GENE-040426-2476]"
"ENSDARG00000059658";"ENSDARG00000059658";"7 x 25";"72hpf_pos.1";"";"mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-060526-229]"
"ENSDARG00000069082";"ENSDARG00000069082";"34 x 28";"24hpf_pos";"rnmtl1b";"RNA methyltransferase like 1b [Source:ZFIN;Acc:ZDB-GENE-030131-158]"
"ENSDARG00000079055";"ENSDARG00000079055";"32 x 32";"24hpf_pos";"si:dkey-85a20.4";"si:dkey-85a20.4 [Source:ZFIN;Acc:ZDB-GENE-090313-347]"
"ENSDARG00000092550";"ENSDARG00000092550";"28 x 22";"24hpf_neg";"";"si:dkey-85a20.4 [Source:ZFIN;Acc:ZDB-GENE-090313-347]"
