"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004372";"ENSDARG00000004372";"36 x 40";"24hpf_pos.1";"";"formin-like 3 [Source:ZFIN;Acc:ZDB-GENE-030131-1571]"
"ENSDARG00000004877";"ENSDARG00000004877";"7 x 13";"72hpf_pos_gata5.1";"rock2b";"rho-associated, coiled-coil containing protein kinase 2b [Source:ZFIN;Acc:ZDB-GENE-060125-2]"
"ENSDARG00000006169";"ENSDARG00000006169";"26 x 5";"48hpf_pos.1";"lrrk2";"leucine-rich repeat kinase 2 [Source:ZFIN;Acc:ZDB-GENE-071218-6]"
"ENSDARG00000009689";"ENSDARG00000009689";"30 x 38";"48hpf_neg";"daam1b";"dishevelled associated activator of morphogenesis 1b [Source:ZFIN;Acc:ZDB-GENE-030131-4212]"
"ENSDARG00000012586";"ENSDARG00000012586";"1 x 13";"72hpf_pos_gata5.1";"fmnl2a";"formin-like 2a [Source:ZFIN;Acc:ZDB-GENE-081105-70]"
"ENSDARG00000015059";"ENSDARG00000015059";"1 x 11";"48hpf_neg";"daam1a";"dishevelled associated activator of morphogenesis 1a [Source:ZFIN;Acc:ZDB-GENE-030911-6]"
"ENSDARG00000017500";"ENSDARG00000017500";"23 x 31";"72hpf_neg_gata5";"rock2a";"rho-associated, coiled-coil containing protein kinase 2a [Source:ZFIN;Acc:ZDB-GENE-030115-3]"
"ENSDARG00000028393";"ENSDARG00000028393";"18 x 8";"72hpf_pos_tbx5.1";"daam2";"dishevelled associated activator of morphogenesis 2 [Source:ZFIN;Acc:ZDB-GENE-070709-1]"
"ENSDARG00000055713";"ENSDARG00000055713";"40 x 1";"24hpf_pos.1";"fmnl1a";"formin-like 1a [Source:ZFIN;Acc:ZDB-GENE-120215-83]"
"ENSDARG00000058993";"ENSDARG00000058993";"37 x 14";"24hpf_pos.1";"rock1";"Rho-associated, coiled-coil containing protein kinase 1 [Source:ZFIN;Acc:ZDB-GENE-100712-2]"
"ENSDARG00000075041";"ENSDARG00000075041";"12 x 40";"48hpf_neg";"fmnl2b";"formin-like 2b [Source:ZFIN;Acc:ZDB-GENE-041111-182]"
"ENSDARG00000076060";"ENSDARG00000076060";"26 x 18";"72hpf_pos_tbx5";"diaph2";"diaphanous-related formin 2 [Source:ZFIN;Acc:ZDB-GENE-090115-1]"
"ENSDARG00000090785";"ENSDARG00000090785";"38 x 34";"24hpf_pos.1";"diaph3";"diaphanous-related formin 3 [Source:ZFIN;Acc:ZDB-GENE-040801-144]"
"ENSDARG00000096433";"ENSDARG00000096433";"32 x 14";"72hpf_pos";"";"rho-associated, coiled-coil containing protein kinase 2b [Source:ZFIN;Acc:ZDB-GENE-060125-2]"
"ENSDARG00000100381";"ENSDARG00000100381";"3 x 22";"72hpf_pos";"";"rho-associated, coiled-coil containing protein kinase 2b, like [Source:ZFIN;Acc:ZDB-GENE-071005-1]"
"ENSDARG00000103671";"ENSDARG00000103671";"30 x 1";"72hpf_pos_gata5.1";"";""
"ENSDARG00000104118";"ENSDARG00000104118";"15 x 34";"72hpf_neg";"antxr2a";"anthrax toxin receptor 2a [Source:ZFIN;Acc:ZDB-GENE-060526-14]"
"ENSDARG00000104263";"ENSDARG00000104263";"25 x 19";"72hpf_pos_hand2";"";"formin like 1 [Source:HGNC Symbol;Acc:HGNC:1212]"
