"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003616";"ENSDARG00000003616";"28 x 33";"72hpf_neg";"arih1";"ariadne ubiquitin-conjugating enzyme E2 binding protein homolog 1 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-5213]"
"ENSDARG00000003974";"ENSDARG00000003974";"23 x 12";"72hpf_pos_gata5.1";"spoplb";"speckle-type POZ protein-like b [Source:ZFIN;Acc:ZDB-GENE-061103-277]"
"ENSDARG00000007691";"ENSDARG00000007691";"36 x 18";"48hpf_neg";"cul1b";"cullin 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2887]"
"ENSDARG00000007971";"ENSDARG00000007971";"32 x 4";"24hpf_pos";"cks1b";"CDC28 protein kinase regulatory subunit 1B [Source:ZFIN;Acc:ZDB-GENE-040801-112]"
"ENSDARG00000010563";"ENSDARG00000010563";"27 x 7";"48hpf_pos";"spopla";"speckle-type POZ protein-like a [Source:ZFIN;Acc:ZDB-GENE-050320-3]"
"ENSDARG00000011055";"ENSDARG00000011055";"20 x 32";"72hpf_neg_gata5";"fbxo9";"F-box protein 9 [Source:ZFIN;Acc:ZDB-GENE-030131-4194]"
"ENSDARG00000019239";"ENSDARG00000019239";"37 x 21";"24hpf_pos.1";"cul1a";"cullin 1a [Source:ZFIN;Acc:ZDB-GENE-030131-2603]"
"ENSDARG00000032369";"ENSDARG00000032369";"11 x 32";"72hpf_neg_tbx5";"btbd6b";"BTB (POZ) domain containing 6b [Source:ZFIN;Acc:ZDB-GENE-030829-65]"
"ENSDARG00000033551";"ENSDARG00000033551";"39 x 24";"24hpf_pos";"fbxw4";"F-box and WD repeat domain containing 4 [Source:ZFIN;Acc:ZDB-GENE-000516-1]"
"ENSDARG00000034497";"ENSDARG00000034497";"21 x 38";"24hpf_neg";"fbxl14a";"F-box and leucine-rich repeat protein 14a [Source:ZFIN;Acc:ZDB-GENE-030131-5920]"
"ENSDARG00000042091";"ENSDARG00000042091";"14 x 33";"72hpf_neg_tbx5";"btbd2a";"BTB (POZ) domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-030829-3]"
"ENSDARG00000045130";"ENSDARG00000045130";"26 x 34";"72hpf_neg_tbx5";"klhl11";"kelch-like family member 11 [Source:ZFIN;Acc:ZDB-GENE-030131-5524]"
"ENSDARG00000045801";"ENSDARG00000045801";"30 x 40";"24hpf_neg";"fbxl14b";"F-box and leucine-rich repeat protein 14b [Source:ZFIN;Acc:ZDB-GENE-030131-3556]"
"ENSDARG00000059751";"ENSDARG00000059751";"3 x 31";"72hpf_neg_gata5";"abtb2a";"ankyrin repeat and BTB (POZ) domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-100422-13]"
"ENSDARG00000062000";"ENSDARG00000062000";"34 x 21";"24hpf_pos";"abtb2b";"ankyrin repeat and BTB (POZ) domain containing 2b [Source:ZFIN;Acc:ZDB-GENE-100422-14]"
"ENSDARG00000062195";"ENSDARG00000062195";"12 x 30";"72hpf_neg_tbx5";"fbxo31";"F-box protein 31 [Source:ZFIN;Acc:ZDB-GENE-070628-4]"
"ENSDARG00000063255";"ENSDARG00000063255";"16 x 40";"72hpf_pos.1";"btbd11a";"BTB (POZ) domain containing 11a [Source:ZFIN;Acc:ZDB-GENE-050419-142]"
"ENSDARG00000063354";"ENSDARG00000063354";"3 x 19";"72hpf_pos_gata5.1";"abtb1";"ankyrin repeat and BTB (POZ) domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-141212-241]"
"ENSDARG00000068983";"ENSDARG00000068983";"9 x 26";"72hpf_pos.1";"btbd9";"BTB (POZ) domain containing 9 [Source:ZFIN;Acc:ZDB-GENE-040704-39]"
"ENSDARG00000069271";"ENSDARG00000069271";"38 x 24";"72hpf_pos_gata5.1";"kbtbd4";"kelch repeat and BTB (POZ) domain containing 4 [Source:ZFIN;Acc:ZDB-GENE-040426-937]"
"ENSDARG00000071410";"ENSDARG00000071410";"33 x 21";"24hpf_pos";"cks2";"CDC28 protein kinase regulatory subunit 2 [Source:ZFIN;Acc:ZDB-GENE-050208-508]"
"ENSDARG00000087517";"ENSDARG00000087517";"7 x 38";"72hpf_neg_tbx5";"btbd3b";"BTB (POZ) domain containing 3b [Source:ZFIN;Acc:ZDB-GENE-041210-282]"
"ENSDARG00000099139";"ENSDARG00000099139";"38 x 12";"24hpf_pos.1";"fbxw5";"F-box and WD repeat domain containing 5 [Source:ZFIN;Acc:ZDB-GENE-040426-2571]"
"ENSDARG00000100519";"ENSDARG00000100519";"30 x 28";"48hpf_neg";"spop";"speckle-type POZ protein [Source:ZFIN;Acc:ZDB-GENE-040426-1378]"
"ENSDARG00000104653";"ENSDARG00000104653";"30 x 28";"48hpf_neg";"btbd2";"BTB (POZ) domain containing 2b [Source:ZFIN;Acc:ZDB-GENE-140106-73]"
"ENSDARG00000105046";"ENSDARG00000105046";"37 x 37";"24hpf_pos.1";"ccnf";"cyclin F [Source:ZFIN;Acc:ZDB-GENE-021030-2]"
