"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000009871";"ENSDARG00000009871";"26 x 40";"24hpf_neg";"snrpc";"small nuclear ribonucleoprotein polypeptide C [Source:ZFIN;Acc:ZDB-GENE-020419-26]"
"ENSDARG00000011125";"ENSDARG00000011125";"39 x 27";"24hpf_pos";"snrpb";"small nuclear ribonucleoprotein polypeptides B and B1 [Source:ZFIN;Acc:ZDB-GENE-040426-1819]"
"ENSDARG00000011740";"ENSDARG00000011740";"35 x 32";"24hpf_neg";"u2af2b";"U2 small nuclear RNA auxiliary factor 2b [Source:ZFIN;Acc:ZDB-GENE-040426-1881]"
"ENSDARG00000012505";"ENSDARG00000012505";"34 x 32";"24hpf_neg";"u2af2a";"U2 small nuclear RNA auxiliary factor 2a [Source:ZFIN;Acc:ZDB-GENE-050706-131]"
"ENSDARG00000014366";"ENSDARG00000014366";"16 x 32";"48hpf_neg";"luc7l3";"LUC7-like 3 pre-mRNA splicing factor [Source:ZFIN;Acc:ZDB-GENE-060616-375]"
"ENSDARG00000019765";"ENSDARG00000019765";"40 x 24";"24hpf_pos";"zgc:158803";"zgc:158803 [Source:ZFIN;Acc:ZDB-GENE-070424-15]"
"ENSDARG00000021107";"ENSDARG00000021107";"36 x 5";"24hpf_pos";"sf3a2";"splicing factor 3a, subunit 2 [Source:ZFIN;Acc:ZDB-GENE-040426-897]"
"ENSDARG00000041887";"ENSDARG00000041887";"34 x 13";"24hpf_neg";"sf3a1";"splicing factor 3a, subunit 1 [Source:ZFIN;Acc:ZDB-GENE-030616-156]"
"ENSDARG00000055903";"ENSDARG00000055903";"23 x 39";"48hpf_neg";"luc7l";"LUC7-like (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040625-111]"
"ENSDARG00000056138";"ENSDARG00000056138";"18 x 36";"72hpf_neg_gata5";"sf3b1";"splicing factor 3b, subunit 1 [Source:ZFIN;Acc:ZDB-GENE-040827-3]"
"ENSDARG00000058328";"ENSDARG00000058328";"32 x 28";"24hpf_pos";"lsm7";"LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:ZFIN;Acc:ZDB-GENE-030131-8284]"
"ENSDARG00000058467";"ENSDARG00000058467";"25 x 36";"24hpf_neg";"prpf40a";"PRP40 pre-mRNA processing factor 40 homolog A [Source:ZFIN;Acc:ZDB-GENE-030131-274]"
"ENSDARG00000059575";"ENSDARG00000059575";"36 x 26";"24hpf_pos.1";"uhmk1";"U2AF homology motif (UHM) kinase 1 [Source:ZFIN;Acc:ZDB-GENE-060929-1014]"
"ENSDARG00000077126";"ENSDARG00000077126";"24 x 35";"24hpf_pos.1";"snrnp70";"small nuclear ribonucleoprotein 70 (U1) [Source:ZFIN;Acc:ZDB-GENE-040825-2]"
"ENSDARG00000087994";"ENSDARG00000087994";"39 x 22";"72hpf_pos";"si:ch211-114c17.1";"si:ch211-114c17.1 [Source:ZFIN;Acc:ZDB-GENE-140106-201]"
"ENSDARG00000099667";"ENSDARG00000099667";"37 x 23";"72hpf_neg_gata5";"snrpg";"small nuclear ribonucleoprotein polypeptide G [Source:ZFIN;Acc:ZDB-GENE-040912-105]"
"ENSDARG00000100209";"ENSDARG00000100209";"30 x 23";"72hpf_neg_hand2";"prpf39";"PRP39 pre-mRNA processing factor 39 homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-030616-420]"
