"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002952";"ENSDARG00000002952";"32 x 40";"24hpf_neg";"smo";"smoothened, frizzled class receptor [Source:ZFIN;Acc:ZDB-GENE-980526-89]"
"ENSDARG00000006921";"ENSDARG00000006921";"32 x 39";"72hpf_neg_gata5";"lrp5";"low density lipoprotein receptor-related protein 5 [Source:ZFIN;Acc:ZDB-GENE-050518-2]"
"ENSDARG00000007231";"ENSDARG00000007231";"10 x 22";"72hpf_pos.1";"ryk";"receptor-like tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-070209-277]"
"ENSDARG00000009534";"ENSDARG00000009534";"20 x 38";"24hpf_neg";"wls";"wntless Wnt ligand secretion mediator [Source:ZFIN;Acc:ZDB-GENE-040426-2161]"
"ENSDARG00000014673";"ENSDARG00000014673";"17 x 39";"72hpf_neg_gata5";"fzd9b";"frizzled class receptor 9b [Source:ZFIN;Acc:ZDB-GENE-000906-4]"
"ENSDARG00000018383";"ENSDARG00000018383";"1 x 35";"72hpf_neg_gata5";"frzb";"frizzled-related protein [Source:ZFIN;Acc:ZDB-GENE-990715-1]"
"ENSDARG00000021664";"ENSDARG00000021664";"12 x 40";"24hpf_neg";"fzd3a";"frizzled class receptor 3a [Source:ZFIN;Acc:ZDB-GENE-990415-225]"
"ENSDARG00000025420";"ENSDARG00000025420";"20 x 40";"24hpf_neg";"fzd5";"frizzled class receptor 5 [Source:ZFIN;Acc:ZDB-GENE-990415-218]"
"ENSDARG00000027589";"ENSDARG00000027589";"18 x 38";"72hpf_neg_gata5";"fzd7b";"frizzled class receptor 7b [Source:ZFIN;Acc:ZDB-GENE-990415-229]"
"ENSDARG00000035185";"ENSDARG00000035185";"28 x 13";"48hpf_pos.1";"fzd9a";"frizzled class receptor 9a [Source:ZFIN;Acc:ZDB-GENE-060531-77]"
"ENSDARG00000035521";"ENSDARG00000035521";"33 x 40";"72hpf_neg";"sfrp1a";"secreted frizzled-related protein 1a [Source:ZFIN;Acc:ZDB-GENE-040310-5]"
"ENSDARG00000038569";"ENSDARG00000038569";"32 x 35";"24hpf_pos.1";"fzd8b";"frizzled class receptor 8b [Source:ZFIN;Acc:ZDB-GENE-000328-4]"
"ENSDARG00000039041";"ENSDARG00000039041";"40 x 8";"48hpf_pos";"sfrp5";"secreted frizzled-related protein 5 [Source:ZFIN;Acc:ZDB-GENE-011108-2]"
"ENSDARG00000045444";"ENSDARG00000045444";"33 x 40";"24hpf_neg";"fzd8a";"frizzled class receptor 8a [Source:ZFIN;Acc:ZDB-GENE-000328-3]"
"ENSDARG00000052739";"ENSDARG00000052739";"11 x 23";"24hpf_neg";"egf";"epidermal growth factor [Source:ZFIN;Acc:ZDB-GENE-070922-1]"
"ENSDARG00000054438";"ENSDARG00000054438";"25 x 32";"72hpf_neg_gata5";"fzd2";"frizzled class receptor 2 [Source:ZFIN;Acc:ZDB-GENE-990415-224]"
"ENSDARG00000057678";"ENSDARG00000057678";"6 x 26";"72hpf_pos.1";"sfrp1b";"secreted frizzled-related protein 1b [Source:ZFIN;Acc:ZDB-GENE-061103-1]"
"ENSDARG00000058692";"ENSDARG00000058692";"31 x 39";"72hpf_neg_tbx5";"fzd3b";"frizzled class receptor 3b [Source:ZFIN;Acc:ZDB-GENE-070122-1]"
"ENSDARG00000060004";"ENSDARG00000060004";"35 x 40";"24hpf_pos";"fzd7a";"frizzled class receptor 7a [Source:ZFIN;Acc:ZDB-GENE-990415-223]"
"ENSDARG00000068213";"ENSDARG00000068213";"18 x 40";"24hpf_neg";"fzd10";"frizzled class receptor 10 [Source:ZFIN;Acc:ZDB-GENE-990415-220]"
"ENSDARG00000070050";"ENSDARG00000070050";"2 x 32";"72hpf_neg_gata5";"sfrp2";"secreted frizzled-related protein 2 [Source:ZFIN;Acc:ZDB-GENE-061013-293]"
"ENSDARG00000088816";"ENSDARG00000088816";"24 x 34";"48hpf_pos.1";"trabd2b";"TraB domain containing 2B [Source:ZFIN;Acc:ZDB-GENE-091204-381]"
"ENSDARG00000089210";"ENSDARG00000089210";"25 x 27";"72hpf_neg";"LOC101884738";""
"ENSDARG00000089563";"ENSDARG00000089563";"33 x 22";"24hpf_pos";"";""
"ENSDARG00000102815";"ENSDARG00000102815";"19 x 14";"48hpf_pos.1";"";"frizzled class receptor 9 [Source:HGNC Symbol;Acc:HGNC:4047]"
"ENSDARG00000104874";"ENSDARG00000104874";"32 x 23";"24hpf_pos";"";""
