"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000423";"ENSDARG00000000423";"31 x 1";"24hpf_pos";"si:ch73-314g15.3";"si:ch73-314g15.3 [Source:ZFIN;Acc:ZDB-GENE-030616-19]"
"ENSDARG00000007745";"ENSDARG00000007745";"7 x 16";"72hpf_pos.1";"uqcrfs1";"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2060]"
"ENSDARG00000013044";"ENSDARG00000013044";"7 x 16";"72hpf_pos_gata5.1";"ndufv2";"NADH dehydrogenase (ubiquinone) flavoprotein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1713]"
"ENSDARG00000020054";"ENSDARG00000020054";"9 x 11";"72hpf_pos.1";"aox6";"aldehyde oxidase 6 [Source:ZFIN;Acc:ZDB-GENE-050208-742]"
"ENSDARG00000026582";"ENSDARG00000026582";"18 x 4";"72hpf_pos_gata5.1";"iscub";"iron-sulfur cluster assembly enzyme b [Source:ZFIN;Acc:ZDB-GENE-050417-332]"
"ENSDARG00000034048";"ENSDARG00000034048";"15 x 30";"72hpf_neg_hand2";"zgc:92275";"zgc:92275 [Source:ZFIN;Acc:ZDB-GENE-040718-356]"
"ENSDARG00000038154";"ENSDARG00000038154";"40 x 19";"24hpf_pos.1";"isca2";"iron-sulfur cluster assembly 2 [Source:ZFIN;Acc:ZDB-GENE-131121-486]"
"ENSDARG00000038956";"ENSDARG00000038956";"15 x 19";"72hpf_pos_gata5";"fdx1b";"ferredoxin 1b [Source:ZFIN;Acc:ZDB-GENE-060526-382]"
"ENSDARG00000042159";"ENSDARG00000042159";"38 x 11";"24hpf_pos.1";"LOC559859";"Rieske Fe-S domain containing [Source:HGNC Symbol;Acc:HGNC:29587]"
"ENSDARG00000043665";"ENSDARG00000043665";"40 x 3";"24hpf_pos.1";"glrx5";"glutaredoxin 5 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-1957]"
"ENSDARG00000045733";"ENSDARG00000045733";"28 x 9";"48hpf_pos";"ciapin1";"cytokine induced apoptosis inhibitor 1 [Source:ZFIN;Acc:ZDB-GENE-040808-57]"
"ENSDARG00000051956";"ENSDARG00000051956";"23 x 1";"24hpf_pos";"isca1";"iron-sulfur cluster assembly 1 [Source:ZFIN;Acc:ZDB-GENE-050626-94]"
"ENSDARG00000052190";"ENSDARG00000052190";"30 x 3";"24hpf_pos";"fdx1l";"ferredoxin 1-like [Source:ZFIN;Acc:ZDB-GENE-060929-1046]"
"ENSDARG00000052703";"ENSDARG00000052703";"36 x 24";"24hpf_pos";"cisd2";"CDGSH iron sulfur domain 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1381]"
"ENSDARG00000055240";"ENSDARG00000055240";"1 x 1";"48hpf_pos.1";"xdh";"xanthine dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-070719-9]"
"ENSDARG00000056410";"ENSDARG00000056410";"15 x 2";"48hpf_pos";"fdx1";"ferredoxin 1 [Source:ZFIN;Acc:ZDB-GENE-071015-2]"
"ENSDARG00000057714";"ENSDARG00000057714";"1 x 27";"72hpf_pos_gata5";"cmah";"cytidine monophospho-N-acetylneuraminic acid hydroxylase [Source:ZFIN;Acc:ZDB-GENE-040704-33]"
"ENSDARG00000058725";"ENSDARG00000058725";"40 x 40";"24hpf_pos.1";"rfesd";"Rieske (Fe-S) domain containing [Source:ZFIN;Acc:ZDB-GENE-050417-254]"
"ENSDARG00000061634";"ENSDARG00000061634";"4 x 1";"48hpf_pos";"aifm4";"apoptosis-inducing factor, mitochondrion-associated, 4 [Source:ZFIN;Acc:ZDB-GENE-070112-2282]"
"ENSDARG00000062780";"ENSDARG00000062780";"34 x 15";"24hpf_neg";"aifm3";"apoptosis-inducing factor, mitochondrion-associated, 3 [Source:ZFIN;Acc:ZDB-GENE-140619-2]"
"ENSDARG00000071333";"ENSDARG00000071333";"5 x 21";"24hpf_pos.1";"si:ch211-212d10.2";"si:ch211-212d10.2 [Source:ZFIN;Acc:ZDB-GENE-050208-516]"
"ENSDARG00000071475";"ENSDARG00000071475";"1 x 1";"48hpf_pos.1";"aox5";"aldehyde oxidase 5 [Source:ZFIN;Acc:ZDB-GENE-001205-2]"
"ENSDARG00000073845";"ENSDARG00000073845";"8 x 13";"72hpf_pos.1";"zgc:110843";"zgc:110843 [Source:ZFIN;Acc:ZDB-GENE-050327-15]"
"ENSDARG00000074356";"ENSDARG00000074356";"39 x 5";"24hpf_pos.1";"";"frataxin [Source:ZFIN;Acc:ZDB-GENE-070209-286]"
"ENSDARG00000075551";"ENSDARG00000075551";"17 x 26";"72hpf_neg_tbx5";"aifm5";"apoptosis-inducing factor, mitochondrion-associated, 5 [Source:ZFIN;Acc:ZDB-GENE-091118-96]"
"ENSDARG00000075768";"ENSDARG00000075768";"6 x 15";"72hpf_pos";"sdhb";"succinate dehydrogenase complex, subunit B, iron sulfur (Ip) [Source:ZFIN;Acc:ZDB-GENE-030131-8005]"
"ENSDARG00000079516";"ENSDARG00000079516";"14 x 4";"72hpf_pos_gata5.1";"cisd1";"CDGSH iron sulfur domain 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1162]"
"ENSDARG00000094204";"ENSDARG00000094204";"36 x 30";"24hpf_pos";"elp1";"elongator complex protein 1 [Source:ZFIN;Acc:ZDB-GENE-071116-7]"
