"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000016117";"ENSDARG00000016117";"35 x 18";"24hpf_pos.1";"exd2";"exonuclease 3'-5' domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6387]"
"ENSDARG00000027689";"ENSDARG00000027689";"40 x 32";"24hpf_neg";"pold1";"polymerase (DNA directed), delta 1, catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-060429-1]"
"ENSDARG00000037708";"ENSDARG00000037708";"34 x 29";"24hpf_neg";"exosc10";"exosome component 10 [Source:ZFIN;Acc:ZDB-GENE-040426-781]"
"ENSDARG00000038917";"ENSDARG00000038917";"38 x 9";"72hpf_pos.1";"rad50";"RAD50 homolog, double strand break repair protein [Source:ZFIN;Acc:ZDB-GENE-050506-110]"
"ENSDARG00000040559";"ENSDARG00000040559";"32 x 2";"72hpf_pos";"rad1";"RAD1 homolog (S. pombe) [Source:ZFIN;Acc:ZDB-GENE-040426-1873]"
"ENSDARG00000045308";"ENSDARG00000045308";"40 x 33";"24hpf_neg";"pola1";"polymerase (DNA directed), alpha 1 [Source:ZFIN;Acc:ZDB-GENE-030114-9]"
"ENSDARG00000056984";"ENSDARG00000056984";"38 x 34";"24hpf_pos";"rad9a";"RAD9 checkpoint clamp component A [Source:ZFIN;Acc:ZDB-GENE-040426-935]"
"ENSDARG00000058533";"ENSDARG00000058533";"40 x 35";"24hpf_neg";"pole";"polymerase (DNA directed), epsilon [Source:ZFIN;Acc:ZDB-GENE-070705-557]"
"ENSDARG00000058801";"ENSDARG00000058801";"19 x 35";"72hpf_neg_tbx5";"rev3l";"REV3-like, polymerase (DNA directed), zeta, catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-050302-55]"
"ENSDARG00000060951";"ENSDARG00000060951";"40 x 29";"24hpf_pos";"polg";"polymerase (DNA directed), gamma [Source:ZFIN;Acc:ZDB-GENE-060303-1]"
"ENSDARG00000063140";"ENSDARG00000063140";"16 x 5";"72hpf_pos";"exd3";"exonuclease 3'-5' domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-091204-349]"
"ENSDARG00000075632";"ENSDARG00000075632";"15 x 24";"72hpf_neg_hand2";"rad9b";"RAD9 checkpoint clamp component B [Source:ZFIN;Acc:ZDB-GENE-040910-3]"
"ENSDARG00000098211";"ENSDARG00000098211";"37 x 33";"24hpf_pos.1";"wrn";"Werner syndrome [Source:ZFIN;Acc:ZDB-GENE-070702-2]"
"ENSDARG00000098669";"ENSDARG00000098669";"25 x 24";"48hpf_neg";"";"exonuclease 3'-5' domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-060825-267]"
"ENSDARG00000105014";"ENSDARG00000105014";"35 x 1";"24hpf_neg";"mre11a";"MRE11 homolog A, double strand break repair nuclease [Source:ZFIN;Acc:ZDB-GENE-040426-2638]"
