"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000006797";"ENSDARG00000006797";"40 x 23";"72hpf_neg_tbx5";"nt5dc1";"5'-nucleotidase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8274]"
"ENSDARG00000018153";"ENSDARG00000018153";"21 x 37";"72hpf_neg_tbx5";"nt5c1ba";"5'-nucleotidase, cytosolic IB a [Source:ZFIN;Acc:ZDB-GENE-070424-103]"
"ENSDARG00000033742";"ENSDARG00000033742";"12 x 6";"72hpf_pos_hand2.1";"nt5c1bb";"5'-nucleotidase, cytosolic IB b [Source:ZFIN;Acc:ZDB-GENE-030131-7205]"
"ENSDARG00000034852";"ENSDARG00000034852";"40 x 40";"24hpf_pos.1";"nt5c2l1";"5'-nucleotidase, cytosolic II, like 1 [Source:ZFIN;Acc:ZDB-GENE-031006-8]"
"ENSDARG00000035883";"ENSDARG00000035883";"13 x 30";"72hpf_neg_hand2";"nt5c1aa";"5'-nucleotidase, cytosolic IAa [Source:ZFIN;Acc:ZDB-GENE-070705-423]"
"ENSDARG00000039399";"ENSDARG00000039399";"24 x 31";"72hpf_pos_hand2";"nt5c2a";"5'-nucleotidase, cytosolic IIa [Source:ZFIN;Acc:ZDB-GENE-030131-3566]"
"ENSDARG00000058231";"ENSDARG00000058231";"2 x 23";"72hpf_pos_gata5";"nt5c2b";"5'-nucleotidase, cytosolic IIb [Source:ZFIN;Acc:ZDB-GENE-061013-522]"
"ENSDARG00000058597";"ENSDARG00000058597";"16 x 8";"72hpf_pos_hand2";"nt5c3a";"5'-nucleotidase, cytosolic IIIA [Source:ZFIN;Acc:ZDB-GENE-030131-439]"
"ENSDARG00000059646";"ENSDARG00000059646";"6 x 12";"72hpf_pos_tbx5.1";"nt5dc2";"5'-nucleotidase domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-060810-17]"
"ENSDARG00000062949";"ENSDARG00000062949";"32 x 29";"24hpf_pos";"nt5dc3";"5'-nucleotidase domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-080523-3]"
"ENSDARG00000070590";"ENSDARG00000070590";"13 x 28";"72hpf_neg_hand2";"nt5c1ab";"5'-nucleotidase, cytosolic IAb [Source:ZFIN;Acc:ZDB-GENE-131120-153]"
