"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000012407";"ENSDARG00000012407";"10 x 15";"72hpf_pos_gata5";"mgat1a";"mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase a [Source:ZFIN;Acc:ZDB-GENE-040426-1515]"
"ENSDARG00000035198";"ENSDARG00000035198";"37 x 34";"24hpf_pos";"gcnt4a";"glucosaminyl (N-acetyl) transferase 4, core 2, a [Source:ZFIN;Acc:ZDB-GENE-030131-3231]"
"ENSDARG00000036065";"ENSDARG00000036065";"34 x 18";"24hpf_pos.1";"mgat1b";"mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase b [Source:ZFIN;Acc:ZDB-GENE-061103-589]"
"ENSDARG00000040608";"ENSDARG00000040608";"34 x 13";"24hpf_pos.1";"gcnt7";"glucosaminyl (N-acetyl) transferase family member 7 [Source:ZFIN;Acc:ZDB-GENE-120919-3]"
"ENSDARG00000044755";"ENSDARG00000044755";"12 x 2";"72hpf_pos_hand2.1";"si:dkeyp-87d8.8";"si:dkeyp-87d8.8 [Source:ZFIN;Acc:ZDB-GENE-041111-161]"
"ENSDARG00000052025";"ENSDARG00000052025";"34 x 14";"48hpf_neg";"pomgnt1";"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-) [Source:ZFIN;Acc:ZDB-GENE-070112-991]"
"ENSDARG00000059557";"ENSDARG00000059557";"29 x 13";"48hpf_pos.1";"xylt2";"xylosyltransferase II [Source:ZFIN;Acc:ZDB-GENE-081022-125]"
"ENSDARG00000060471";"ENSDARG00000060471";"10 x 20";"72hpf_pos.1";"gcnt3";"glucosaminyl (N-acetyl) transferase 3, mucin type [Source:ZFIN;Acc:ZDB-GENE-110411-253]"
"ENSDARG00000061248";"ENSDARG00000061248";"13 x 40";"72hpf_neg_gata5";"xylt1";"xylosyltransferase I [Source:ZFIN;Acc:ZDB-GENE-111017-2]"
"ENSDARG00000077550";"ENSDARG00000077550";"22 x 16";"72hpf_pos_tbx5.1";"gcnt4b";"glucosaminyl (N-acetyl) transferase 4, core 2, b [Source:ZFIN;Acc:ZDB-GENE-091118-69]"
