"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000007244";"ENSDARG00000007244";"6 x 10";"72hpf_pos_tbx5.1";"";"acid phosphatase 2, lysosomal [Source:ZFIN;Acc:ZDB-GENE-050306-40]"
"ENSDARG00000019763";"ENSDARG00000019763";"10 x 6";"72hpf_pos_hand2.1";"acp5a";"acid phosphatase 5a, tartrate resistant [Source:ZFIN;Acc:ZDB-GENE-040426-2864]"
"ENSDARG00000040064";"ENSDARG00000040064";"12 x 7";"72hpf_pos.1";"acp6";"acid phosphatase 6, lysophosphatidic [Source:ZFIN;Acc:ZDB-GENE-050208-290]"
"ENSDARG00000040644";"ENSDARG00000040644";"15 x 39";"72hpf_neg_gata5";"pxylp1";"2-phosphoxylose phosphatase 1 [Source:ZFIN;Acc:ZDB-GENE-040718-127]"
"ENSDARG00000045172";"ENSDARG00000045172";"31 x 10";"72hpf_pos.1";"minpp1b";"multiple inositol-polyphosphate phosphatase 1b [Source:ZFIN;Acc:ZDB-GENE-040426-888]"
"ENSDARG00000057058";"ENSDARG00000057058";"14 x 20";"24hpf_neg";"minpp1a";"multiple inositol-polyphosphate phosphatase 1a [Source:ZFIN;Acc:ZDB-GENE-060929-1194]"
"ENSDARG00000073909";"ENSDARG00000073909";"12 x 7";"72hpf_pos_gata5";"ppip5k1b";"diphosphoinositol pentakisphosphate kinase 1b [Source:ZFIN;Acc:ZDB-GENE-100426-5]"
"ENSDARG00000076143";"ENSDARG00000076143";"16 x 30";"72hpf_neg_tbx5";"ppip5k1a";"diphosphoinositol pentakisphosphate kinase 1a [Source:ZFIN;Acc:ZDB-GENE-100426-4]"
"ENSDARG00000076486";"ENSDARG00000076486";"35 x 23";"24hpf_pos";"acp1";"acid phosphatase 1, soluble [Source:ZFIN;Acc:ZDB-GENE-050327-12]"
"ENSDARG00000078441";"ENSDARG00000078441";"10 x 27";"72hpf_neg_hand2";"ppip5k2";"diphosphoinositol pentakisphosphate kinase 2 [Source:ZFIN;Acc:ZDB-GENE-091204-125]"
"ENSDARG00000101456";"ENSDARG00000101456";"40 x 18";"24hpf_pos.1";"acp5b";"acid phosphatase 5b, tartrate resistant [Source:ZFIN;Acc:ZDB-GENE-040718-151]"
"ENSDARG00000102421";"ENSDARG00000102421";"5 x 4";"72hpf_pos_tbx5.1";"papl";"iron/zinc purple acid phosphatase-like protein [Source:ZFIN;Acc:ZDB-GENE-070615-9]"
