"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001234";"ENSDARG00000001234";"38 x 37";"24hpf_pos.1";"map4k2";"mitogen-activated protein kinase kinase kinase kinase 2 [Source:ZFIN;Acc:ZDB-GENE-030616-163]"
"ENSDARG00000009031";"ENSDARG00000009031";"33 x 39";"72hpf_neg_tbx5";"tnikb";"TRAF2 and NCK interacting kinase b [Source:ZFIN;Acc:ZDB-GENE-051113-320]"
"ENSDARG00000013576";"ENSDARG00000013576";"3 x 3";"72hpf_pos";"gadd45bb";"growth arrest and DNA-damage-inducible, beta b [Source:ZFIN;Acc:ZDB-GENE-050223-1]"
"ENSDARG00000016725";"ENSDARG00000016725";"7 x 40";"72hpf_neg_gata5";"gadd45gb.1";"growth arrest and DNA-damage-inducible, gamma b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2321]"
"ENSDARG00000019417";"ENSDARG00000019417";"3 x 10";"72hpf_pos_tbx5.1";"gadd45ga";"growth arrest and DNA-damage-inducible, gamma a [Source:ZFIN;Acc:ZDB-GENE-040426-1882]"
"ENSDARG00000023878";"ENSDARG00000023878";"32 x 28";"24hpf_pos";"stk24b";"serine/threonine kinase 24b (STE20 homolog, yeast) [Source:ZFIN;Acc:ZDB-GENE-040426-2841]"
"ENSDARG00000027744";"ENSDARG00000027744";"8 x 8";"72hpf_pos_hand2";"gadd45ba";"growth arrest and DNA-damage-inducible, beta a [Source:ZFIN;Acc:ZDB-GENE-040426-1971]"
"ENSDARG00000033444";"ENSDARG00000033444";"11 x 37";"72hpf_neg_hand2";"map4k6";"mitogen-activated protein kinase kinase kinase kinase 6 [Source:ZFIN;Acc:ZDB-GENE-060512-339]"
"ENSDARG00000035360";"ENSDARG00000035360";"3 x 10";"72hpf_pos_gata5.1";"mink1";"misshapen-like kinase 1 [Source:ZFIN;Acc:ZDB-GENE-060526-45]"
"ENSDARG00000039022";"ENSDARG00000039022";"3 x 19";"72hpf_pos_gata5";"stk25b";"serine/threonine kinase 25b [Source:ZFIN;Acc:ZDB-GENE-040426-2537]"
"ENSDARG00000039125";"ENSDARG00000039125";"34 x 17";"24hpf_pos.1";"map4k5";"mitogen-activated protein kinase kinase kinase kinase 5 [Source:ZFIN;Acc:ZDB-GENE-030131-6497]"
"ENSDARG00000043581";"ENSDARG00000043581";"5 x 5";"48hpf_pos";"gadd45aa";"growth arrest and DNA-damage-inducible, alpha, a [Source:ZFIN;Acc:ZDB-GENE-040426-1501]"
"ENSDARG00000044676";"ENSDARG00000044676";"18 x 40";"72hpf_neg_gata5";"";"growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]"
"ENSDARG00000056218";"ENSDARG00000056218";"1 x 9";"72hpf_pos_tbx5.1";"tnika";"TRAF2 and NCK interacting kinase a [Source:ZFIN;Acc:ZDB-GENE-030131-3767]"
"ENSDARG00000060390";"ENSDARG00000060390";"40 x 12";"24hpf_pos.1";"stk26";"serine/threonine protein kinase 26 [Source:ZFIN;Acc:ZDB-GENE-080516-5]"
"ENSDARG00000071357";"ENSDARG00000071357";"25 x 32";"48hpf_pos.1";"map4k3b";"mitogen-activated protein kinase kinase kinase kinase 3b [Source:ZFIN;Acc:ZDB-GENE-090428-1]"
"ENSDARG00000077226";"ENSDARG00000077226";"28 x 40";"24hpf_neg";"smarca4a";"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4a [Source:ZFIN;Acc:ZDB-GENE-030605-1]"
"ENSDARG00000087742";"ENSDARG00000087742";"23 x 7";"72hpf_pos_gata5.1";"map4k3a";"mitogen-activated protein kinase kinase kinase kinase 3a [Source:ZFIN;Acc:ZDB-GENE-130329-1]"
