"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000014727";"ENSDARG00000014727";"5 x 13";"72hpf_pos.1";"acox1";"acyl-CoA oxidase 1, palmitoyl [Source:ZFIN;Acc:ZDB-GENE-041010-219]"
"ENSDARG00000016687";"ENSDARG00000016687";"8 x 13";"72hpf_pos.1";"acadvl";"acyl-CoA dehydrogenase, very long chain [Source:ZFIN;Acc:ZDB-GENE-030131-899]"
"ENSDARG00000020149";"ENSDARG00000020149";"27 x 15";"48hpf_pos.1";"acoxl";"acyl-CoA oxidase-like [Source:ZFIN;Acc:ZDB-GENE-081107-18]"
"ENSDARG00000027009";"ENSDARG00000027009";"5 x 12";"72hpf_pos";"zgc:85777";"zgc:85777 [Source:ZFIN;Acc:ZDB-GENE-040426-2210]"
"ENSDARG00000030781";"ENSDARG00000030781";"7 x 15";"72hpf_pos.1";"acads";"acyl-CoA dehydrogenase, C-2 to C-3 short chain [Source:ZFIN;Acc:ZDB-GENE-040808-64]"
"ENSDARG00000037057";"ENSDARG00000037057";"4 x 11";"72hpf_pos_gata5.1";"gcdha";"glutaryl-CoA dehydrogenase a [Source:ZFIN;Acc:ZDB-GENE-040426-1855]"
"ENSDARG00000038865";"ENSDARG00000038865";"15 x 6";"72hpf_pos_tbx5";"acox3";"acyl-CoA oxidase 3, pristanoyl [Source:ZFIN;Acc:ZDB-GENE-040426-2163]"
"ENSDARG00000038900";"ENSDARG00000038900";"5 x 10";"72hpf_pos";"acadm";"acyl-CoA dehydrogenase, C-4 to C-12 straight chain [Source:ZFIN;Acc:ZDB-GENE-040426-1945]"
"ENSDARG00000042658";"ENSDARG00000042658";"37 x 22";"24hpf_pos";"acad8";"acyl-CoA dehydrogenase family, member 8 [Source:ZFIN;Acc:ZDB-GENE-040426-828]"
"ENSDARG00000042853";"ENSDARG00000042853";"4 x 13";"72hpf_pos";"ivd";"isovaleryl-CoA dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-030616-262]"
"ENSDARG00000045411";"ENSDARG00000045411";"40 x 6";"24hpf_pos.1";"acad11";"acyl-CoA dehydrogenase family, member 11 [Source:ZFIN;Acc:ZDB-GENE-040426-814]"
"ENSDARG00000055620";"ENSDARG00000055620";"13 x 14";"72hpf_pos_tbx5";"acad9";"acyl-CoA dehydrogenase family, member 9 [Source:ZFIN;Acc:ZDB-GENE-060616-196]"
"ENSDARG00000076780";"ENSDARG00000076780";"10 x 14";"72hpf_pos.1";"acadsb";"acyl-CoA dehydrogenase, short/branched chain [Source:ZFIN;Acc:ZDB-GENE-070410-109]"
"ENSDARG00000088357";"ENSDARG00000088357";"5 x 9";"72hpf_pos_tbx5.1";"acadl";"acyl-CoA dehydrogenase, long chain [Source:ZFIN;Acc:ZDB-GENE-040426-771]"
"ENSDARG00000098174";"ENSDARG00000098174";"10 x 16";"72hpf_pos_gata5";"";"acyl-CoA dehydrogenase, short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]"
"ENSDARG00000098831";"ENSDARG00000098831";"4 x 16";"72hpf_pos_tbx5.1";"gcdhb";"glutaryl-CoA dehydrogenase b [Source:ZFIN;Acc:ZDB-GENE-041010-117]"
