"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003113";"ENSDARG00000003113";"1 x 8";"72hpf_pos_hand2.1";"ada";"adenosine deaminase [Source:ZFIN;Acc:ZDB-GENE-040718-393]"
"ENSDARG00000003544";"ENSDARG00000003544";"8 x 30";"72hpf_neg_tbx5";"adarb1b";"adenosine deaminase, RNA-specific, B1b [Source:ZFIN;Acc:ZDB-GENE-030219-15]"
"ENSDARG00000012389";"ENSDARG00000012389";"25 x 37";"48hpf_neg";"adar";"adenosine deaminase, RNA-specific [Source:ZFIN;Acc:ZDB-GENE-000616-5]"
"ENSDARG00000015623";"ENSDARG00000015623";"40 x 1";"72hpf_pos_hand2";"cecr1b";"cat eye syndrome chromosome region, candidate 1b [Source:ZFIN;Acc:ZDB-GENE-041210-77]"
"ENSDARG00000041609";"ENSDARG00000041609";"5 x 40";"72hpf_neg_tbx5";"adarb1a";"adenosine deaminase, RNA-specific, B1a [Source:ZFIN;Acc:ZDB-GENE-000627-2]"
"ENSDARG00000051746";"ENSDARG00000051746";"12 x 6";"72hpf_pos.1";"cecr1a";"cat eye syndrome chromosome region, candidate 1a [Source:ZFIN;Acc:ZDB-GENE-030902-4]"
"ENSDARG00000061348";"ENSDARG00000061348";"35 x 35";"24hpf_pos";"adat1";"adenosine deaminase, tRNA-specific 1 [Source:ZFIN;Acc:ZDB-GENE-070410-64]"
"ENSDARG00000071823";"ENSDARG00000071823";"12 x 35";"72hpf_neg_tbx5";"adarb2";"adenosine deaminase, RNA-specific, B2 (non-functional) [Source:ZFIN;Acc:ZDB-GENE-060503-160]"
"ENSDARG00000089181";"ENSDARG00000089181";"26 x 23";"24hpf_neg";"adad1";"adenosine deaminase domain containing 1 (testis-specific) [Source:ZFIN;Acc:ZDB-GENE-030131-6285]"
"ENSDARG00000105626";"ENSDARG00000105626";"15 x 19";"72hpf_pos_gata5";"adad2";"adenosine deaminase domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-130530-788]"
