"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000016439";"ENSDARG00000016439";"5 x 10";"72hpf_pos_tbx5.1";"slc7a1";"solute carrier family 7 (cationic amino acid transporter, y+ system), member 1 [Source:ZFIN;Acc:ZDB-GENE-091116-69]"
"ENSDARG00000020645";"ENSDARG00000020645";"30 x 34";"72hpf_neg_gata5";"slc7a3a";"solute carrier family 7 (cationic amino acid transporter, y+ system), member 3a [Source:ZFIN;Acc:ZDB-GENE-041114-206]"
"ENSDARG00000032769";"ENSDARG00000032769";"38 x 4";"24hpf_pos.1";"slc38a9";"solute carrier family 38, member 9 [Source:ZFIN;Acc:ZDB-GENE-061013-597]"
"ENSDARG00000037097";"ENSDARG00000037097";"8 x 10";"72hpf_pos_tbx5.1";"slc7a2";"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:ZFIN;Acc:ZDB-GENE-041212-5]"
"ENSDARG00000045886";"ENSDARG00000045886";"30 x 36";"24hpf_pos.1";"slc38a2";"solute carrier family 38, member 2 [Source:ZFIN;Acc:ZDB-GENE-030131-9659]"
"ENSDARG00000054343";"ENSDARG00000054343";"30 x 19";"24hpf_pos";"slc7a8b";"solute carrier family 7 (amino acid transporter light chain, L system), member 8b [Source:ZFIN;Acc:ZDB-GENE-030616-586]"
"ENSDARG00000057352";"ENSDARG00000057352";"30 x 29";"72hpf_pos.1";"slc25a29";"solute carrier family 25 (mitochondrial carnitine/acylcarnitine carrier), member 29 [Source:ZFIN;Acc:ZDB-GENE-050913-70]"
"ENSDARG00000061566";"ENSDARG00000061566";"39 x 35";"24hpf_pos.1";"slc7a3b";"solute carrier family 7 (cationic amino acid transporter, y+ system), member 3b [Source:ZFIN;Acc:ZDB-GENE-120813-6]"
"ENSDARG00000075831";"ENSDARG00000075831";"1 x 8";"72hpf_pos_hand2.1";"slc7a8a";"solute carrier family 7 (amino acid transporter light chain, L system), member 8a [Source:ZFIN;Acc:ZDB-GENE-121120-2]"
"ENSDARG00000098849";"ENSDARG00000098849";"12 x 17";"24hpf_pos";"LOC100329459";"solute carrier family 25 member 29 [Source:HGNC Symbol;Acc:HGNC:20116]"
"ENSDARG00000099111";"ENSDARG00000099111";"10 x 23";"72hpf_pos.1";"zgc:175280";"zgc:175280 [Source:ZFIN;Acc:ZDB-GENE-080219-39]"
"ENSDARG00000099265";"ENSDARG00000099265";"16 x 36";"72hpf_neg_gata5";"slc7a5";"solute carrier family 7 (amino acid transporter light chain, L system), member 5 [Source:ZFIN;Acc:ZDB-GENE-080818-4]"
"ENSDARG00000100227";"ENSDARG00000100227";"38 x 31";"24hpf_neg";"zgc:63694";"solute carrier family 7 member 1 [Source:HGNC Symbol;Acc:HGNC:11057]"
