"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003520";"ENSDARG00000003520";"5 x 22";"72hpf_pos.1";"tbc1d14";"TBC1 domain family, member 14 [Source:ZFIN;Acc:ZDB-GENE-030131-6136]"
"ENSDARG00000004151";"ENSDARG00000004151";"40 x 24";"24hpf_pos.1";"rab23";"RAB23, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-050522-328]"
"ENSDARG00000011837";"ENSDARG00000011837";"12 x 5";"48hpf_pos.1";"zgc:100846";"zgc:100846 [Source:ZFIN;Acc:ZDB-GENE-040801-47]"
"ENSDARG00000038237";"ENSDARG00000038237";"25 x 19";"72hpf_pos_hand2.1";"";"TBC1 domain family, member 12a [Source:ZFIN;Acc:ZDB-GENE-030131-3920]"
"ENSDARG00000044551";"ENSDARG00000044551";"1 x 22";"72hpf_neg_gata5";"atg9a";"ATG9 autophagy related 9 homolog A (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-070209-65]"
"ENSDARG00000054032";"ENSDARG00000054032";"25 x 7";"72hpf_pos_gata5.1";"rab24";"RAB24, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-050706-110]"
"ENSDARG00000055292";"ENSDARG00000055292";"4 x 9";"72hpf_pos_gata5.1";"atg9b";"autophagy related 9B [Source:ZFIN;Acc:ZDB-GENE-091111-3]"
"ENSDARG00000073771";"ENSDARG00000073771";"1 x 17";"48hpf_pos.1";"tbc1d12b";"TBC1 domain family, member 12b [Source:ZFIN;Acc:ZDB-GENE-121214-108]"
"ENSDARG00000075014";"ENSDARG00000075014";"4 x 6";"72hpf_pos_gata5";"sqstm1";"sequestosome 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2204]"
"ENSDARG00000075333";"ENSDARG00000075333";"10 x 29";"72hpf_neg_tbx5";"tbc1d25";"TBC1 domain family, member 25 [Source:ZFIN;Acc:ZDB-GENE-041111-25]"
"ENSDARG00000077297";"ENSDARG00000077297";"1 x 24";"72hpf_pos_gata5";"nbr1a";"neighbor of brca1 gene 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9112]"
"ENSDARG00000078772";"ENSDARG00000078772";"2 x 22";"72hpf_neg_gata5";"nbr1b";"neighbor of brca1 gene 1b [Source:ZFIN;Acc:ZDB-GENE-170215-1]"
"ENSDARG00000088178";"ENSDARG00000088178";"2 x 16";"72hpf_pos";"tp53inp2";"tumor protein p53 inducible nuclear protein 2 [Source:ZFIN;Acc:ZDB-GENE-120420-1]"
"ENSDARG00000089986";"ENSDARG00000089986";"1 x 11";"48hpf_pos.1";"";"tumor protein p53 inducible nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16104]"
