"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002831";"ENSDARG00000002831";"30 x 32";"24hpf_neg";"col4a4";"collagen, type IV, alpha 4 [Source:ZFIN;Acc:ZDB-GENE-101001-1]"
"ENSDARG00000003395";"ENSDARG00000003395";"21 x 36";"24hpf_neg";"";"collagen, type IV, alpha 3 [Source:ZFIN;Acc:ZDB-GENE-070802-4]"
"ENSDARG00000005762";"ENSDARG00000005762";"37 x 39";"24hpf_neg";"col14a1a";"collagen, type XIV, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9889]"
"ENSDARG00000036279";"ENSDARG00000036279";"25 x 30";"72hpf_neg";"lamc1";"laminin, gamma 1 [Source:ZFIN;Acc:ZDB-GENE-021226-3]"
"ENSDARG00000044010";"ENSDARG00000044010";"9 x 38";"72hpf_neg_hand2";"loxl2a";"lysyl oxidase-like 2a [Source:ZFIN;Acc:ZDB-GENE-070818-1]"
"ENSDARG00000044074";"ENSDARG00000044074";"14 x 39";"72hpf_neg";"loxl2b";"lysyl oxidase-like 2b [Source:ZFIN;Acc:ZDB-GENE-050208-29]"
"ENSDARG00000052061";"ENSDARG00000052061";"16 x 40";"72hpf_neg";"col4a6";"collagen, type IV, alpha 6 [Source:ZFIN;Acc:ZDB-GENE-101001-2]"
"ENSDARG00000052063";"ENSDARG00000052063";"16 x 40";"72hpf_neg";"col4a5";"collagen, type IV, alpha 5 (Alport syndrome) [Source:ZFIN;Acc:ZDB-GENE-030131-2281]"
"ENSDARG00000054619";"ENSDARG00000054619";"34 x 40";"72hpf_neg";"fras1";"Fraser extracellular matrix complex subunit 1 [Source:ZFIN;Acc:ZDB-GENE-060526-68]"
"ENSDARG00000055009";"ENSDARG00000055009";"4 x 30";"72hpf_neg";"col4a1";"collagen, type IV, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-081105-114]"
"ENSDARG00000068288";"ENSDARG00000068288";"26 x 30";"72hpf_neg";"lamc2";"laminin, gamma 2 [Source:ZFIN;Acc:ZDB-GENE-110222-3]"
"ENSDARG00000069473";"ENSDARG00000069473";"35 x 40";"72hpf_neg";"frem1a";"Fras1 related extracellular matrix 1a [Source:ZFIN;Acc:ZDB-GENE-081119-1]"
"ENSDARG00000074677";"ENSDARG00000074677";"36 x 37";"24hpf_neg";"frem3";"Fras1 related extracellular matrix 3 [Source:ZFIN;Acc:ZDB-GENE-030131-9788]"
"ENSDARG00000075441";"ENSDARG00000075441";"33 x 40";"72hpf_neg";"vwa2";"von Willebrand factor A domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-100302-1]"
"ENSDARG00000104110";"ENSDARG00000104110";"4 x 29";"72hpf_neg";"col4a2";"collagen, type IV, alpha 2 [Source:ZFIN;Acc:ZDB-GENE-070725-3]"
