"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000008237";"ENSDARG00000008237";"29 x 23";"24hpf_neg";"sars";"seryl-tRNA synthetase [Source:ZFIN;Acc:ZDB-GENE-040831-1]"
"ENSDARG00000012025";"ENSDARG00000012025";"23 x 37";"24hpf_neg";"hs6st2";"heparan sulfate 6-O-sulfotransferase 2 [Source:ZFIN;Acc:ZDB-GENE-030909-14]"
"ENSDARG00000013250";"ENSDARG00000013250";"29 x 29";"24hpf_pos";"tars";"threonyl-tRNA synthetase [Source:ZFIN;Acc:ZDB-GENE-041010-218]"
"ENSDARG00000018958";"ENSDARG00000018958";"30 x 40";"24hpf_neg";"nrarpb";"notch-regulated ankyrin repeat protein b [Source:ZFIN;Acc:ZDB-GENE-030515-7]"
"ENSDARG00000020610";"ENSDARG00000020610";"4 x 1";"72hpf_pos_hand2";"tnnt2a";"troponin T type 2a (cardiac) [Source:ZFIN;Acc:ZDB-GENE-000626-1]"
"ENSDARG00000031894";"ENSDARG00000031894";"5 x 34";"48hpf_neg";"lef1";"lymphoid enhancer-binding factor 1 [Source:ZFIN;Acc:ZDB-GENE-990714-26]"
"ENSDARG00000033327";"ENSDARG00000033327";"35 x 40";"24hpf_pos";"unc5b";"unc-5 netrin receptor B [Source:ZFIN;Acc:ZDB-GENE-041213-1]"
"ENSDARG00000061017";"ENSDARG00000061017";"39 x 39";"24hpf_pos.1";"spns2";"spinster homolog 2 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-5843]"
"ENSDARG00000069640";"ENSDARG00000069640";"39 x 7";"72hpf_pos_hand2.1";"vegfc";"vascular endothelial growth factor c [Source:ZFIN;Acc:ZDB-GENE-040303-4]"
"ENSDARG00000070425";"ENSDARG00000070425";"32 x 38";"72hpf_neg_gata5";"dll4";"delta-like 4 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-041014-73]"
"ENSDARG00000091419";"ENSDARG00000091419";"30 x 35";"72hpf_pos.1";"nrarpa";"notch-regulated ankyrin repeat protein a [Source:ZFIN;Acc:ZDB-GENE-030515-6]"
"ENSDARG00000103542";"ENSDARG00000103542";"20 x 37";"24hpf_neg";"vegfaa";"vascular endothelial growth factor Aa [Source:ZFIN;Acc:ZDB-GENE-990415-273]"
"ENSDARG00000104138";"ENSDARG00000104138";"5 x 28";"72hpf_pos.1";"igfbp7";"insulin-like growth factor binding protein 7 [Source:ZFIN;Acc:ZDB-GENE-040426-2423]"
"ENSDARG00000105112";"ENSDARG00000105112";"8 x 40";"24hpf_neg";"ntn1a";"netrin 1a [Source:ZFIN;Acc:ZDB-GENE-990415-169]"
