"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001776";"ENSDARG00000001776";"29 x 33";"24hpf_pos.1";"stim2b";"stromal interaction molecule 2b [Source:ZFIN;Acc:ZDB-GENE-120404-3]"
"ENSDARG00000004150";"ENSDARG00000004150";"8 x 36";"72hpf_neg_hand2";"grm2a";"glutamate receptor, metabotropic 2a [Source:ZFIN;Acc:ZDB-GENE-030131-8097]"
"ENSDARG00000006598";"ENSDARG00000006598";"3 x 6";"72hpf_pos_hand2";"sgk2b";"serum/glucocorticoid regulated kinase 2b [Source:ZFIN;Acc:ZDB-GENE-060929-44]"
"ENSDARG00000007195";"ENSDARG00000007195";"10 x 40";"72hpf_neg_tbx5";"grm2b";"glutamate receptor, metabotropic 2b [Source:ZFIN;Acc:ZDB-GENE-060201-5]"
"ENSDARG00000020544";"ENSDARG00000020544";"2 x 19";"72hpf_neg_tbx5";"rem1";"RAS (RAD and GEM)-like GTP-binding 1 [Source:ZFIN;Acc:ZDB-GENE-040317-1]"
"ENSDARG00000029112";"ENSDARG00000029112";"8 x 28";"72hpf_neg_hand2";"gem";"GTP binding protein overexpressed in skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-060825-251]"
"ENSDARG00000052011";"ENSDARG00000052011";"10 x 8";"72hpf_pos_hand2";"rrad";"Ras-related associated with diabetes [Source:ZFIN;Acc:ZDB-GENE-030131-5607]"
"ENSDARG00000060723";"ENSDARG00000060723";"14 x 13";"72hpf_pos";"stim1a";"stromal interaction molecule 1a [Source:ZFIN;Acc:ZDB-GENE-060503-914]"
"ENSDARG00000061560";"ENSDARG00000061560";"6 x 11";"72hpf_pos_tbx5";"stim1b";"stromal interaction molecule 1b [Source:ZFIN;Acc:ZDB-GENE-060531-4]"
"ENSDARG00000062460";"ENSDARG00000062460";"6 x 7";"72hpf_pos_hand2.1";"sgk3";"serum/glucocorticoid regulated kinase family, member 3 [Source:ZFIN;Acc:ZDB-GENE-070424-62]"
"ENSDARG00000063370";"ENSDARG00000063370";"40 x 38";"24hpf_pos.1";"sgk2a";"serum/glucocorticoid regulated kinase 2a [Source:ZFIN;Acc:ZDB-GENE-030131-9632]"
"ENSDARG00000068883";"ENSDARG00000068883";"6 x 23";"72hpf_pos.1";"tspan13a";"tetraspanin 13a [Source:ZFIN;Acc:ZDB-GENE-040718-19]"
"ENSDARG00000070479";"ENSDARG00000070479";"30 x 35";"24hpf_pos.1";"";"tetraspanin 13b [Source:ZFIN;Acc:ZDB-GENE-041010-45]"
"ENSDARG00000074064";"ENSDARG00000074064";"13 x 35";"72hpf_neg_tbx5";"rem2";"RAS (RAD and GEM)-like GTP binding 2 [Source:ZFIN;Acc:ZDB-GENE-081110-1]"
"ENSDARG00000074867";"ENSDARG00000074867";"40 x 6";"24hpf_neg";"stim2a";"tromal interaction molecule 2a [Source:ZFIN;Acc:ZDB-GENE-130530-765]"
"ENSDARG00000097256";"ENSDARG00000097256";"11 x 22";"48hpf_pos.1";"";"si:ch211-270g19.5 [Source:ZFIN;Acc:ZDB-GENE-131121-121]"
"ENSDARG00000100267";"ENSDARG00000100267";"9 x 34";"72hpf_neg_tbx5";"";"glutamate metabotropic receptor 7 [Source:HGNC Symbol;Acc:HGNC:4599]"
