"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004415";"ENSDARG00000004415";"7 x 40";"48hpf_neg";"tcf7l2";"transcription factor 7-like 2 (T-cell specific, HMG-box) [Source:ZFIN;Acc:ZDB-GENE-991110-8]"
"ENSDARG00000007369";"ENSDARG00000007369";"32 x 39";"24hpf_neg";"tcf7l1b";"transcription factor 7-like 1b (T-cell specific, HMG-box) [Source:ZFIN;Acc:ZDB-GENE-991110-10]"
"ENSDARG00000010515";"ENSDARG00000010515";"12 x 26";"72hpf_pos_tbx5";"dvl1a";"dishevelled segment polarity protein 1a [Source:ZFIN;Acc:ZDB-GENE-090312-40]"
"ENSDARG00000014673";"ENSDARG00000014673";"17 x 39";"72hpf_neg_gata5";"fzd9b";"frizzled class receptor 9b [Source:ZFIN;Acc:ZDB-GENE-000906-4]"
"ENSDARG00000015707";"ENSDARG00000015707";"22 x 40";"24hpf_neg";"dvl3a";"dishevelled segment polarity protein 3a [Source:ZFIN;Acc:ZDB-GENE-010319-1]"
"ENSDARG00000016022";"ENSDARG00000016022";"8 x 40";"72hpf_neg_gata5";"zic5";"zic family member 5 (odd-paired homolog, Drosophila) [Source:ZFIN;Acc:ZDB-GENE-040622-1]"
"ENSDARG00000018383";"ENSDARG00000018383";"1 x 35";"72hpf_neg_gata5";"frzb";"frizzled-related protein [Source:ZFIN;Acc:ZDB-GENE-990715-1]"
"ENSDARG00000021664";"ENSDARG00000021664";"12 x 40";"24hpf_neg";"fzd3a";"frizzled class receptor 3a [Source:ZFIN;Acc:ZDB-GENE-990415-225]"
"ENSDARG00000023472";"ENSDARG00000023472";"12 x 23";"72hpf_pos.1";"";"catenin, beta 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2575]"
"ENSDARG00000027397";"ENSDARG00000027397";"27 x 40";"48hpf_neg";"vangl2";"VANGL planar cell polarity protein 2 [Source:ZFIN;Acc:ZDB-GENE-020507-3]"
"ENSDARG00000027589";"ENSDARG00000027589";"18 x 38";"72hpf_neg_gata5";"fzd7b";"frizzled class receptor 7b [Source:ZFIN;Acc:ZDB-GENE-990415-229]"
"ENSDARG00000031894";"ENSDARG00000031894";"5 x 34";"48hpf_neg";"lef1";"lymphoid enhancer-binding factor 1 [Source:ZFIN;Acc:ZDB-GENE-990714-26]"
"ENSDARG00000032619";"ENSDARG00000032619";"1 x 21";"72hpf_pos.1";"tob1a";"transducer of ERBB2, 1a [Source:ZFIN;Acc:ZDB-GENE-031030-4]"
"ENSDARG00000035185";"ENSDARG00000035185";"28 x 13";"48hpf_pos.1";"fzd9a";"frizzled class receptor 9a [Source:ZFIN;Acc:ZDB-GENE-060531-77]"
"ENSDARG00000035521";"ENSDARG00000035521";"33 x 40";"72hpf_neg";"sfrp1a";"secreted frizzled-related protein 1a [Source:ZFIN;Acc:ZDB-GENE-040310-5]"
"ENSDARG00000036687";"ENSDARG00000036687";"13 x 40";"24hpf_neg";"bcl9";"B-cell CLL/lymphoma 9 [Source:ZFIN;Acc:ZDB-GENE-090313-135]"
"ENSDARG00000038159";"ENSDARG00000038159";"33 x 35";"24hpf_neg";"tcf7l1a";"transcription factor 7-like 1a (T-cell specific, HMG-box) [Source:ZFIN;Acc:ZDB-GENE-980605-30]"
"ENSDARG00000038569";"ENSDARG00000038569";"32 x 35";"24hpf_pos.1";"fzd8b";"frizzled class receptor 8b [Source:ZFIN;Acc:ZDB-GENE-000328-4]"
"ENSDARG00000038672";"ENSDARG00000038672";"39 x 26";"24hpf_neg";"tcf7";"transcription factor 7 (T-cell specific, HMG-box) [Source:ZFIN;Acc:ZDB-GENE-050222-4]"
"ENSDARG00000039041";"ENSDARG00000039041";"40 x 8";"48hpf_pos";"sfrp5";"secreted frizzled-related protein 5 [Source:ZFIN;Acc:ZDB-GENE-011108-2]"
"ENSDARG00000043531";"ENSDARG00000043531";"12 x 11";"72hpf_pos.1";"jun";"jun proto-oncogene [Source:ZFIN;Acc:ZDB-GENE-030131-7859]"
