"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001953";"ENSDARG00000001953";"12 x 9";"72hpf_pos_hand2.1";"pfkfb3";"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2724]"
"ENSDARG00000002037";"ENSDARG00000002037";"1 x 19";"48hpf_pos";"pfkfb2b";"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2b [Source:ZFIN;Acc:ZDB-GENE-120222-1]"
"ENSDARG00000003208";"ENSDARG00000003208";"22 x 33";"72hpf_pos_tbx5.1";"pomk";"protein-O-mannose kinase [Source:ZFIN;Acc:ZDB-GENE-041114-119]"
"ENSDARG00000004059";"ENSDARG00000004059";"10 x 5";"72hpf_pos_tbx5.1";"galk2";"galactokinase 2 [Source:ZFIN;Acc:ZDB-GENE-041114-143]"
"ENSDARG00000019877";"ENSDARG00000019877";"29 x 1";"24hpf_pos.1";"rbks";"ribokinase [Source:ZFIN;Acc:ZDB-GENE-040625-112]"
"ENSDARG00000023840";"ENSDARG00000023840";"9 x 16";"72hpf_pos_gata5.1";"pfkfb2a";"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2a [Source:ZFIN;Acc:ZDB-GENE-040426-966]"
"ENSDARG00000028000";"ENSDARG00000028000";"4 x 32";"72hpf_neg_tbx5";"pfkpa";"phosphofructokinase, platelet a [Source:ZFIN;Acc:ZDB-GENE-091112-22]"
"ENSDARG00000028088";"ENSDARG00000028088";"3 x 4";"72hpf_pos_gata5";"galk1";"galactokinase 1 [Source:ZFIN;Acc:ZDB-GENE-041010-79]"
"ENSDARG00000029075";"ENSDARG00000029075";"11 x 12";"72hpf_pos.1";"pfkfb4b";"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4b [Source:ZFIN;Acc:ZDB-GENE-031031-4]"
"ENSDARG00000029874";"ENSDARG00000029874";"9 x 17";"72hpf_pos.1";"khk";"ketohexokinase [Source:ZFIN;Acc:ZDB-GENE-040718-381]"
"ENSDARG00000030153";"ENSDARG00000030153";"38 x 3";"24hpf_pos.1";"";"N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits [Source:ZFIN;Acc:ZDB-GENE-030131-4714]"
"ENSDARG00000037140";"ENSDARG00000037140";"31 x 1";"72hpf_pos";"pfkfb1";"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5664]"
"ENSDARG00000038703";"ENSDARG00000038703";"37 x 11";"72hpf_pos_tbx5";"hkdc1";"hexokinase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9801]"
"ENSDARG00000039452";"ENSDARG00000039452";"31 x 16";"48hpf_pos.1";"hk1";"hexokinase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2848]"
"ENSDARG00000043260";"ENSDARG00000043260";"24 x 9";"72hpf_pos_gata5.1";"";"xylulokinase homolog (H. influenzae) [Source:ZFIN;Acc:ZDB-GENE-040426-1373]"
"ENSDARG00000055540";"ENSDARG00000055540";"14 x 11";"72hpf_pos_hand2.1";"pfkfb4a";"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4a [Source:ZFIN;Acc:ZDB-GENE-051120-51]"
"ENSDARG00000068006";"ENSDARG00000068006";"17 x 20";"72hpf_pos_gata5";"gck";"glucokinase (hexokinase 4) [Source:ZFIN;Acc:ZDB-GENE-060825-204]"
"ENSDARG00000074457";"ENSDARG00000074457";"20 x 16";"72hpf_pos";"si:dkey-96f10.1";"si:dkey-96f10.1 [Source:ZFIN;Acc:ZDB-GENE-090312-154]"
"ENSDARG00000101482";"ENSDARG00000101482";"12 x 8";"72hpf_pos_hand2.1";"hk2";"hexokinase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2017]"
