"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000006818";"ENSDARG00000006818";"40 x 40";"24hpf_pos";"urod";"uroporphyrinogen decarboxylase [Source:ZFIN;Acc:ZDB-GENE-000208-18]"
"ENSDARG00000015537";"ENSDARG00000015537";"1 x 40";"72hpf_neg_tbx5";"gad2";"glutamate decarboxylase 2 [Source:ZFIN;Acc:ZDB-GENE-030909-9]"
"ENSDARG00000016494";"ENSDARG00000016494";"14 x 33";"72hpf_neg_gata5";"ddc";"dopa decarboxylase [Source:ZFIN;Acc:ZDB-GENE-040426-2656]"
"ENSDARG00000026348";"ENSDARG00000026348";"29 x 24";"72hpf_pos_tbx5.1";"csad";"cysteine sulfinic acid decarboxylase [Source:ZFIN;Acc:ZDB-GENE-041114-36]"
"ENSDARG00000027419";"ENSDARG00000027419";"1 x 40";"72hpf_neg_tbx5";"gad1b";"glutamate decarboxylase 1b [Source:ZFIN;Acc:ZDB-GENE-030909-3]"
"ENSDARG00000043856";"ENSDARG00000043856";"13 x 15";"72hpf_pos_tbx5";"amd1";"adenosylmethionine decarboxylase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-760]"
"ENSDARG00000052462";"ENSDARG00000052462";"14 x 28";"48hpf_neg";"pisd";"phosphatidylserine decarboxylase [Source:ZFIN;Acc:ZDB-GENE-061215-46]"
"ENSDARG00000055370";"ENSDARG00000055370";"16 x 17";"72hpf_pos_gata5";"zgc:163121";"zgc:163121 [Source:ZFIN;Acc:ZDB-GENE-070424-80]"
"ENSDARG00000056102";"ENSDARG00000056102";"20 x 9";"72hpf_pos_tbx5.1";"uxs1";"UDP-glucuronate decarboxylase 1 [Source:ZFIN;Acc:ZDB-GENE-020419-37]"
"ENSDARG00000061375";"ENSDARG00000061375";"5 x 5";"72hpf_pos_tbx5.1";"sgpl1";"sphingosine-1-phosphate lyase 1 [Source:ZFIN;Acc:ZDB-GENE-070410-24]"
"ENSDARG00000062549";"ENSDARG00000062549";"17 x 11";"72hpf_pos_tbx5";"acmsd";"aminocarboxymuconate semialdehyde decarboxylase [Source:ZFIN;Acc:ZDB-GENE-070410-103]"
"ENSDARG00000071579";"ENSDARG00000071579";"20 x 10";"72hpf_pos_tbx5.1";"urad";"ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase [Source:ZFIN;Acc:ZDB-GENE-070112-472]"
"ENSDARG00000075454";"ENSDARG00000075454";"25 x 31";"72hpf_neg_tbx5";"hdc";"histidine decarboxylase [Source:ZFIN;Acc:ZDB-GENE-080102-5]"
"ENSDARG00000093411";"ENSDARG00000093411";"12 x 33";"48hpf_neg";"gad1a";"glutamate decarboxylase 1a [Source:ZFIN;Acc:ZDB-GENE-070912-472]"
"ENSDARG00000099336";"ENSDARG00000099336";"35 x 18";"24hpf_pos.1";"mvda";"mevalonate (diphospho) decarboxylase a [Source:ZFIN;Acc:ZDB-GENE-041114-127]"
"ENSDARG00000101886";"ENSDARG00000101886";"1 x 18";"48hpf_pos.1";"pdxdc1";"pyridoxal-dependent decarboxylase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040912-16]"
