"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000005236";"ENSDARG00000005236";"28 x 40";"48hpf_neg";"srcap";"Snf2-related CREBBP activator protein [Source:ZFIN;Acc:ZDB-GENE-041008-127]"
"ENSDARG00000009266";"ENSDARG00000009266";"12 x 3";"72hpf_pos_tbx5.1";"uevld";"UEV and lactate/malate dehyrogenase domains [Source:ZFIN;Acc:ZDB-GENE-040801-138]"
"ENSDARG00000015537";"ENSDARG00000015537";"1 x 40";"72hpf_neg_tbx5";"gad2";"glutamate decarboxylase 2 [Source:ZFIN;Acc:ZDB-GENE-030909-9]"
"ENSDARG00000016494";"ENSDARG00000016494";"14 x 33";"72hpf_neg_gata5";"ddc";"dopa decarboxylase [Source:ZFIN;Acc:ZDB-GENE-040426-2656]"
"ENSDARG00000017772";"ENSDARG00000017772";"1 x 2";"48hpf_pos.1";"mdh1aa";"malate dehydrogenase 1Aa, NAD (soluble) [Source:ZFIN;Acc:ZDB-GENE-040204-1]"
"ENSDARG00000019644";"ENSDARG00000019644";"1 x 10";"48hpf_pos";"ldhba";"lactate dehydrogenase Ba [Source:ZFIN;Acc:ZDB-GENE-991026-6]"
"ENSDARG00000026348";"ENSDARG00000026348";"29 x 24";"72hpf_pos_tbx5.1";"csad";"cysteine sulfinic acid decarboxylase [Source:ZFIN;Acc:ZDB-GENE-041114-36]"
"ENSDARG00000027419";"ENSDARG00000027419";"1 x 40";"72hpf_neg_tbx5";"gad1b";"glutamate decarboxylase 1b [Source:ZFIN;Acc:ZDB-GENE-030909-3]"
"ENSDARG00000043371";"ENSDARG00000043371";"3 x 12";"72hpf_pos_gata5";"mdh2";"malate dehydrogenase 2, NAD (mitochondrial) [Source:ZFIN;Acc:ZDB-GENE-040426-2143]"
"ENSDARG00000055370";"ENSDARG00000055370";"16 x 17";"72hpf_pos_gata5";"zgc:163121";"zgc:163121 [Source:ZFIN;Acc:ZDB-GENE-070424-80]"
"ENSDARG00000061375";"ENSDARG00000061375";"5 x 5";"72hpf_pos_tbx5.1";"sgpl1";"sphingosine-1-phosphate lyase 1 [Source:ZFIN;Acc:ZDB-GENE-070410-24]"
"ENSDARG00000071076";"ENSDARG00000071076";"1 x 23";"72hpf_pos_tbx5";"ldhbb";"lactate dehydrogenase Bb [Source:ZFIN;Acc:ZDB-GENE-040718-176]"
"ENSDARG00000075454";"ENSDARG00000075454";"25 x 31";"72hpf_neg_tbx5";"hdc";"histidine decarboxylase [Source:ZFIN;Acc:ZDB-GENE-080102-5]"
"ENSDARG00000093411";"ENSDARG00000093411";"12 x 33";"48hpf_neg";"gad1a";"glutamate decarboxylase 1a [Source:ZFIN;Acc:ZDB-GENE-070912-472]"
"ENSDARG00000101251";"ENSDARG00000101251";"1 x 15";"72hpf_pos.1";"ldha";"lactate dehydrogenase A4 [Source:ZFIN;Acc:ZDB-GENE-991026-5]"
"ENSDARG00000101886";"ENSDARG00000101886";"1 x 18";"48hpf_pos.1";"pdxdc1";"pyridoxal-dependent decarboxylase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040912-16]"
