"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000005841";"ENSDARG00000005841";"3 x 11";"72hpf_pos.1";"";"troponin I type 2a (skeletal, fast), tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040426-970]"
"ENSDARG00000011400";"ENSDARG00000011400";"4 x 1";"72hpf_pos_hand2";"tnnc1a";"troponin C type 1a (slow) [Source:ZFIN;Acc:ZDB-GENE-030523-1]"
"ENSDARG00000013752";"ENSDARG00000013752";"11 x 17";"72hpf_pos.1";"tnni2a.3";"troponin I type 2a (skeletal, fast), tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-040718-80]"
"ENSDARG00000023963";"ENSDARG00000023963";"40 x 7";"72hpf_pos_hand2";"tpm4a";"tropomyosin 4a [Source:ZFIN;Acc:ZDB-GENE-040426-2185]"
"ENSDARG00000029069";"ENSDARG00000029069";"1 x 7";"72hpf_pos.1";"tnni2a.4";"troponin I type 2a (skeletal, fast), tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-040625-119]"
"ENSDARG00000033683";"ENSDARG00000033683";"1 x 8";"72hpf_pos.1";"tpma";"alpha-tropomyosin [Source:ZFIN;Acc:ZDB-GENE-990415-269]"
"ENSDARG00000035958";"ENSDARG00000035958";"10 x 28";"24hpf_neg";"tnni2b.1";"troponin I type 2b (skeletal, fast), tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-050417-49]"
"ENSDARG00000036671";"ENSDARG00000036671";"4 x 8";"72hpf_pos_tbx5.1";"tnni4b.2";"troponin I4b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040625-81]"
"ENSDARG00000037539";"ENSDARG00000037539";"4 x 5";"72hpf_pos_tbx5";"tnnc1b";"troponin C type 1b (slow) [Source:ZFIN;Acc:ZDB-GENE-040625-62]"
"ENSDARG00000042559";"ENSDARG00000042559";"9 x 12";"72hpf_pos_tbx5";"tnni1c";"troponin I, skeletal, slow c [Source:ZFIN;Acc:ZDB-GENE-060825-192]"
"ENSDARG00000045592";"ENSDARG00000045592";"9 x 10";"72hpf_pos.1";"tnni2a.1";"troponin I type 2a (skeletal, fast), tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-041114-60]"
"ENSDARG00000052708";"ENSDARG00000052708";"4 x 1";"72hpf_pos_hand2";"tnni1b";"troponin I type 1b (skeletal, slow) [Source:ZFIN;Acc:ZDB-GENE-041212-37]"
"ENSDARG00000058820";"ENSDARG00000058820";"13 x 12";"24hpf_pos";"bin1b";"bridging integrator 1b [Source:ZFIN;Acc:ZDB-GENE-030425-1]"
"ENSDARG00000073766";"ENSDARG00000073766";"9 x 23";"72hpf_pos.1";"tnni1d";"troponin I, skeletal, slow d [Source:ZFIN;Acc:ZDB-GENE-040718-374]"
"ENSDARG00000092999";"ENSDARG00000092999";"17 x 8";"72hpf_pos_tbx5";"tnni4b.1";"troponin I4b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-090312-198]"
