"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000779";"ENSDARG00000000779";"22 x 4";"72hpf_pos_gata5.1";"scfd1";"sec1 family domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030116-3]"
"ENSDARG00000001939";"ENSDARG00000001939";"25 x 37";"24hpf_pos";"b3gat3";"beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I) [Source:ZFIN;Acc:ZDB-GENE-020419-3]"
"ENSDARG00000002235";"ENSDARG00000002235";"4 x 31";"72hpf_neg";"mmp14a";"matrix metallopeptidase 14a (membrane-inserted) [Source:ZFIN;Acc:ZDB-GENE-030901-1]"
"ENSDARG00000002952";"ENSDARG00000002952";"32 x 40";"24hpf_neg";"smo";"smoothened, frizzled class receptor [Source:ZFIN;Acc:ZDB-GENE-980526-89]"
"ENSDARG00000003259";"ENSDARG00000003259";"17 x 34";"72hpf_neg";"loxa";"lysyl oxidase a [Source:ZFIN;Acc:ZDB-GENE-040426-2398]"
"ENSDARG00000003293";"ENSDARG00000003293";"3 x 32";"72hpf_neg_gata5";"sox9a";"SRY (sex determining region Y)-box 9a [Source:ZFIN;Acc:ZDB-GENE-001103-1]"
"ENSDARG00000003399";"ENSDARG00000003399";"34 x 25";"24hpf_neg";"fgf8a";"fibroblast growth factor 8a [Source:ZFIN;Acc:ZDB-GENE-990415-72]"
"ENSDARG00000007886";"ENSDARG00000007886";"40 x 24";"24hpf_pos.1";"slc35b2";"solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B2 [Source:ZFIN;Acc:ZDB-GENE-050213-1]"
"ENSDARG00000008034";"ENSDARG00000008034";"17 x 40";"72hpf_neg";"skib";"v-ski avian sarcoma viral oncogene homolog b [Source:ZFIN;Acc:ZDB-GENE-990715-10]"
"ENSDARG00000008133";"ENSDARG00000008133";"2 x 32";"72hpf_neg";"foxl1";"forkhead box L1 [Source:ZFIN;Acc:ZDB-GENE-040426-1181]"
"ENSDARG00000008388";"ENSDARG00000008388";"7 x 26";"72hpf_neg";"mmp14b";"matrix metallopeptidase 14b (membrane-inserted) [Source:ZFIN;Acc:ZDB-GENE-030901-2]"
"ENSDARG00000011188";"ENSDARG00000011188";"1 x 18";"72hpf_neg_tbx5";"acvr2aa";"activin A receptor, type IIAa [Source:ZFIN;Acc:ZDB-GENE-980526-227]"
"ENSDARG00000011257";"ENSDARG00000011257";"32 x 37";"72hpf_neg";"enpp2";"ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1156]"
"ENSDARG00000011876";"ENSDARG00000011876";"26 x 32";"48hpf_pos.1";"ednraa";"endothelin receptor type Aa [Source:ZFIN;Acc:ZDB-GENE-010906-2]"
"ENSDARG00000012066";"ENSDARG00000012066";"10 x 40";"72hpf_neg";"dcn";"decorin [Source:ZFIN;Acc:ZDB-GENE-010102-1]"
"ENSDARG00000012667";"ENSDARG00000012667";"1 x 40";"48hpf_neg";"tfap2b";"transcription factor AP-2 beta [Source:ZFIN;Acc:ZDB-GENE-050417-394]"
"ENSDARG00000013125";"ENSDARG00000013125";"8 x 40";"72hpf_neg";"dlx1a";"distal-less homeobox 1a [Source:ZFIN;Acc:ZDB-GENE-990415-48]"
"ENSDARG00000014634";"ENSDARG00000014634";"36 x 20";"24hpf_pos.1";"mbtps1";"membrane-bound transcription factor peptidase, site 1 [Source:ZFIN;Acc:ZDB-GENE-030131-4909]"
"ENSDARG00000014986";"ENSDARG00000014986";"34 x 19";"24hpf_pos";"acvr1l";"activin A receptor, type I like [Source:ZFIN;Acc:ZDB-GENE-990415-9]"
"ENSDARG00000015472";"ENSDARG00000015472";"4 x 18";"72hpf_pos.1";"gpc4";"glypican 4 [Source:ZFIN;Acc:ZDB-GENE-011119-1]"
