"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000013855";"ENSDARG00000013855";"10 x 9";"72hpf_pos_hand2";"slc12a3";"solute carrier family 12 (sodium/chloride transporter), member 3 [Source:ZFIN;Acc:ZDB-GENE-030131-9505]"
"ENSDARG00000014378";"ENSDARG00000014378";"22 x 5";"72hpf_pos_gata5.1";"slc12a4";"solute carrier family 12 (potassium/chloride transporter), member 4 [Source:ZFIN;Acc:ZDB-GENE-090218-27]"
"ENSDARG00000055253";"ENSDARG00000055253";"24 x 10";"72hpf_pos_hand2";"slc12a10.3";"slc12a10.3 solute carrier family 12 (sodium/potassium/chloride transporters), member 10, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-060503-518]"
"ENSDARG00000055313";"ENSDARG00000055313";"15 x 24";"72hpf_neg_hand2";"slc12a10.1";"solute carrier family 12 (sodium/potassium/chloride transporters), member 10, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-060503-330]"
"ENSDARG00000062058";"ENSDARG00000062058";"10 x 14";"72hpf_pos.1";"slc12a7b";"solute carrier family 12 (potassium/chloride transporter), member 7b [Source:ZFIN;Acc:ZDB-GENE-030829-61]"
"ENSDARG00000071173";"ENSDARG00000071173";"1 x 36";"72hpf_neg";"slc12a10.2";"solute carrier family 12 (sodium/potassium/chloride transporters), member 10, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-060503-425]"
"ENSDARG00000073756";"ENSDARG00000073756";"38 x 3";"24hpf_pos";"slc12a7a";"solute carrier family 12 (potassium/chloride transporter), member 7a [Source:ZFIN;Acc:ZDB-GENE-070912-696]"
"ENSDARG00000075815";"ENSDARG00000075815";"4 x 37";"72hpf_neg_tbx5";"si:ch211-59d13.2";"solute carrier family 12 (potassium/chloride transporter), member 5a [Source:ZFIN;Acc:ZDB-GENE-120927-3]"
"ENSDARG00000078187";"ENSDARG00000078187";"3 x 37";"72hpf_neg_tbx5";"slc12a5b";"solute carrier family 12 (potassium/chloride transporter), member 5b [Source:ZFIN;Acc:ZDB-GENE-080707-1]"
"ENSDARG00000098096";"ENSDARG00000098096";"23 x 5";"72hpf_pos_gata5.1";"";"solute carrier family 12 (sodium/potassium/chloride transporter), member 1 [Source:ZFIN;Acc:ZDB-GENE-080130-3]"
"ENSDARG00000104573";"ENSDARG00000104573";"4 x 13";"72hpf_pos_hand2.1";"";"solute carrier family 12 (sodium/potassium/chloride transporter), member 2 [Source:ZFIN;Acc:ZDB-GENE-040625-53]"
