"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000010878";"ENSDARG00000010878";"18 x 40";"24hpf_neg";"cdkn1ca";"cyclin-dependent kinase inhibitor 1Ca [Source:ZFIN;Acc:ZDB-GENE-040123-1]"
"ENSDARG00000017953";"ENSDARG00000017953";"35 x 28";"24hpf_pos.1";"tp73";"tumor protein p73 [Source:ZFIN;Acc:ZDB-GENE-030814-2]"
"ENSDARG00000024006";"ENSDARG00000024006";"34 x 20";"24hpf_pos";"rprmb";"reprimo, TP53 dependent G2 arrest mediator candidate b [Source:ZFIN;Acc:ZDB-GENE-040426-1779]"
"ENSDARG00000029018";"ENSDARG00000029018";"18 x 32";"72hpf_neg_gata5";"cdkn1ba";"cyclin-dependent kinase inhibitor 1Ba [Source:ZFIN;Acc:ZDB-GENE-040812-3]"
"ENSDARG00000035559";"ENSDARG00000035559";"30 x 12";"48hpf_pos.1";"tp53";"tumor protein p53 [Source:ZFIN;Acc:ZDB-GENE-990415-270]"
"ENSDARG00000039130";"ENSDARG00000039130";"40 x 34";"24hpf_pos.1";"cdkn3";"cyclin-dependent kinase inhibitor 3 [Source:ZFIN;Acc:ZDB-GENE-060427-2]"
"ENSDARG00000053383";"ENSDARG00000053383";"15 x 27";"72hpf_neg_hand2";"rprma";"reprimo, TP53 dependent G2 arrest mediator candidate a [Source:ZFIN;Acc:ZDB-GENE-050522-218]"
"ENSDARG00000054271";"ENSDARG00000054271";"5 x 32";"72hpf_neg_gata5";"cdkn1bb";"cyclin-dependent kinase inhibitor 1Bb [Source:ZFIN;Acc:ZDB-GENE-030521-13]"
"ENSDARG00000058868";"ENSDARG00000058868";"12 x 38";"72hpf_neg_tbx5";"apc";"adenomatous polyposis coli [Source:ZFIN;Acc:ZDB-GENE-031112-7]"
"ENSDARG00000075025";"ENSDARG00000075025";"13 x 5";"72hpf_pos_gata5";"cdc123";"cell division cycle 123 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-1680]"
"ENSDARG00000076554";"ENSDARG00000076554";"8 x 5";"72hpf_pos.1";"cdkn1a";"cyclin-dependent kinase inhibitor 1A [Source:ZFIN;Acc:ZDB-GENE-070705-7]"
"ENSDARG00000087393";"ENSDARG00000087393";"40 x 32";"24hpf_pos.1";"prr11";"proline rich 11 [Source:ZFIN;Acc:ZDB-GENE-091118-97]"
"ENSDARG00000092792";"ENSDARG00000092792";"16 x 19";"72hpf_pos_gata5";"zgc:92658";"zgc:92658 [Source:ZFIN;Acc:ZDB-GENE-040718-123]"
"ENSDARG00000099719";"ENSDARG00000099719";"1 x 37";"72hpf_neg_gata5";"cdkn1d";"cyclin-dependent kinase inhibitor 1D [Source:ZFIN;Acc:ZDB-GENE-110215-1]"
"ENSDARG00000103011";"ENSDARG00000103011";"18 x 8";"72hpf_pos";"";"WAS protein homolog associated with actin, golgi membranes and microtubules [Source:HGNC Symbol;Acc:HGNC:30493]"
"ENSDARG00000104903";"ENSDARG00000104903";"39 x 5";"24hpf_pos.1";"cdkn1cb";"cyclin-dependent kinase inhibitor 1Cb [Source:ZFIN;Acc:ZDB-GENE-131127-286]"
