"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002403";"ENSDARG00000002403";"35 x 35";"24hpf_neg";"nusap1";"nucleolar and spindle associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-030827-5]"
"ENSDARG00000002479";"ENSDARG00000002479";"39 x 36";"24hpf_pos.1";"ercc6l";"excision repair cross-complementation group 6-like [Source:ZFIN;Acc:ZDB-GENE-060531-56]"
"ENSDARG00000003867";"ENSDARG00000003867";"15 x 34";"72hpf_neg_gata5";"cdk20";"cyclin-dependent kinase 20 [Source:ZFIN;Acc:ZDB-GENE-041212-84]"
"ENSDARG00000004160";"ENSDARG00000004160";"30 x 9";"72hpf_pos";"reep3b";"receptor accessory protein 3b [Source:ZFIN;Acc:ZDB-GENE-040426-730]"
"ENSDARG00000004280";"ENSDARG00000004280";"31 x 7";"24hpf_pos";"seh1l";"SEH1-like (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-6689]"
"ENSDARG00000005058";"ENSDARG00000005058";"39 x 36";"24hpf_pos.1";"ncapd2";"non-SMC condensin I complex, subunit D2 [Source:ZFIN;Acc:ZDB-GENE-050506-59]"
"ENSDARG00000005456";"ENSDARG00000005456";"6 x 14";"72hpf_pos_gata5.1";"katnb1";"katanin p80 (WD repeat containing) subunit B 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1954]"
"ENSDARG00000006584";"ENSDARG00000006584";"18 x 37";"48hpf_neg";"phf8";"PHD finger protein 8 [Source:ZFIN;Acc:ZDB-GENE-060419-1]"
"ENSDARG00000006719";"ENSDARG00000006719";"40 x 13";"24hpf_pos.1";"specc1la";"sperm antigen with calponin homology and coiled-coil domains 1-like a [Source:ZFIN;Acc:ZDB-GENE-060810-139]"
"ENSDARG00000006915";"ENSDARG00000006915";"11 x 5";"72hpf_pos_gata5";"arl8ba";"ADP-ribosylation factor-like 8Ba [Source:ZFIN;Acc:ZDB-GENE-030131-9370]"
"ENSDARG00000007196";"ENSDARG00000007196";"36 x 27";"24hpf_pos.1";"rae1";"ribonucleic acid export 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1029]"
"ENSDARG00000007438";"ENSDARG00000007438";"34 x 11";"72hpf_neg";"ube2ib";"ubiquitin-conjugating enzyme E2Ib [Source:ZFIN;Acc:ZDB-GENE-990614-17]"
"ENSDARG00000007971";"ENSDARG00000007971";"32 x 4";"24hpf_pos";"cks1b";"CDC28 protein kinase regulatory subunit 1B [Source:ZFIN;Acc:ZDB-GENE-040801-112]"
"ENSDARG00000008107";"ENSDARG00000008107";"31 x 38";"24hpf_pos.1";"src";"v-src avian sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog [Source:ZFIN;Acc:ZDB-GENE-030131-3809]"
"ENSDARG00000008141";"ENSDARG00000008141";"38 x 4";"24hpf_pos.1";"rbl1";"retinoblastoma-like 1 (p107) [Source:ZFIN;Acc:ZDB-GENE-030131-8179]"
"ENSDARG00000008986";"ENSDARG00000008986";"40 x 35";"24hpf_neg";"e2f7";"E2F transcription factor 7 [Source:ZFIN;Acc:ZDB-GENE-030131-3527]"
"ENSDARG00000009208";"ENSDARG00000009208";"36 x 34";"24hpf_pos.1";"prkcda";"protein kinase C, delta a [Source:ZFIN;Acc:ZDB-GENE-030131-6503]"
"ENSDARG00000011510";"ENSDARG00000011510";"22 x 40";"48hpf_neg";"rcc2";"regulator of chromosome condensation 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2213]"
"ENSDARG00000012485";"ENSDARG00000012485";"39 x 36";"24hpf_pos";"aurka";"aurora kinase A [Source:ZFIN;Acc:ZDB-GENE-040801-161]"
"ENSDARG00000013822";"ENSDARG00000013822";"19 x 1";"72hpf_pos";"anapc16";"anaphase promoting complex subunit 16 [Source:ZFIN;Acc:ZDB-GENE-050417-430]"
"ENSDARG00000014685";"ENSDARG00000014685";"38 x 36";"24hpf_neg";"esco2";"establishment of sister chromatid cohesion N-acetyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-050913-156]"
"ENSDARG00000016304";"ENSDARG00000016304";"36 x 32";"24hpf_pos.1";"tfdp1b";"transcription factor Dp-1, b [Source:ZFIN;Acc:ZDB-GENE-040426-1746]"
"ENSDARG00000016490";"ENSDARG00000016490";"34 x 40";"24hpf_pos.1";"";"RAB11 family interacting protein 3 (class II) [Source:ZFIN;Acc:ZDB-GENE-040724-138]"
"ENSDARG00000017140";"ENSDARG00000017140";"5 x 13";"72hpf_pos.1";"zgc:63587";"zgc:63587 [Source:ZFIN;Acc:ZDB-GENE-040426-1175]"
"ENSDARG00000018918";"ENSDARG00000018918";"38 x 32";"24hpf_pos";"rad17";"RAD17 checkpoint clamp loader component [Source:ZFIN;Acc:ZDB-GENE-040718-409]"
"ENSDARG00000019293";"ENSDARG00000019293";"38 x 31";"24hpf_neg";"tfdp1a";"transcription factor Dp-1, a [Source:ZFIN;Acc:ZDB-GENE-040426-2883]"
"ENSDARG00000020008";"ENSDARG00000020008";"39 x 8";"24hpf_pos.1";"vcp";"valosin containing protein [Source:ZFIN;Acc:ZDB-GENE-030131-5408]"
"ENSDARG00000020345";"ENSDARG00000020345";"14 x 37";"48hpf_neg";"clasp2";"cytoplasmic linker associated protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2343]"
"ENSDARG00000021827";"ENSDARG00000021827";"34 x 3";"24hpf_pos.1";"katna1";"katanin p60 (ATPase containing) subunit A 1 [Source:ZFIN;Acc:ZDB-GENE-050522-514]"
"ENSDARG00000023920";"ENSDARG00000023920";"9 x 21";"72hpf_pos.1";"llgl2";"lethal giant larvae homolog 2 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-9877]"
"ENSDARG00000024933";"ENSDARG00000024933";"14 x 20";"48hpf_pos.1";"spast";"spastin [Source:ZFIN;Acc:ZDB-GENE-040426-2331]"
"ENSDARG00000025824";"ENSDARG00000025824";"16 x 29";"72hpf_neg_tbx5";"";"cyclin D binding myb-like transcription factor 1 [Source:ZFIN;Acc:ZDB-GENE-040718-413]"
"ENSDARG00000026454";"ENSDARG00000026454";"35 x 31";"24hpf_pos.1";"mis12";"MIS12 kinetochore complex component [Source:ZFIN;Acc:ZDB-GENE-040426-1372]"
"ENSDARG00000026595";"ENSDARG00000026595";"3 x 19";"72hpf_pos_gata5.1";"pafah1b1b";"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1b [Source:ZFIN;Acc:ZDB-GENE-040116-3]"
"ENSDARG00000026799";"ENSDARG00000026799";"29 x 18";"24hpf_pos";"suv39h1a";"suppressor of variegation 3-9 homolog 1a [Source:ZFIN;Acc:ZDB-GENE-040801-111]"
"ENSDARG00000027391";"ENSDARG00000027391";"28 x 17";"24hpf_pos";"ccnd3";"cyclin D3 [Source:ZFIN;Acc:ZDB-GENE-041010-110]"
"ENSDARG00000027590";"ENSDARG00000027590";"15 x 6";"72hpf_pos";"sept2";"septin 2 [Source:ZFIN;Acc:ZDB-GENE-030131-911]"
