"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003399";"ENSDARG00000003399";"34 x 25";"24hpf_neg";"fgf8a";"fibroblast growth factor 8a [Source:ZFIN;Acc:ZDB-GENE-990415-72]"
"ENSDARG00000007682";"ENSDARG00000007682";"8 x 11";"72hpf_pos.1";"ppdpfa";"pancreatic progenitor cell differentiation and proliferation factor a [Source:ZFIN;Acc:ZDB-GENE-030219-204]"
"ENSDARG00000010878";"ENSDARG00000010878";"18 x 40";"24hpf_neg";"cdkn1ca";"cyclin-dependent kinase inhibitor 1Ca [Source:ZFIN;Acc:ZDB-GENE-040123-1]"
"ENSDARG00000013057";"ENSDARG00000013057";"13 x 36";"72hpf_neg";"hoxb5a";"homeobox B5a [Source:ZFIN;Acc:ZDB-GENE-980526-70]"
"ENSDARG00000026599";"ENSDARG00000026599";"20 x 40";"24hpf_neg";"en2a";"engrailed homeobox 2a [Source:ZFIN;Acc:ZDB-GENE-980526-167]"
"ENSDARG00000028148";"ENSDARG00000028148";"5 x 40";"48hpf_neg";"pax2a";"paired box 2a [Source:ZFIN;Acc:ZDB-GENE-990415-8]"
"ENSDARG00000031317";"ENSDARG00000031317";"1 x 9";"72hpf_neg_hand2";"ppdpfb";"pancreatic progenitor cell differentiation and proliferation factor b [Source:ZFIN;Acc:ZDB-GENE-030131-8247]"
"ENSDARG00000058924";"ENSDARG00000058924";"37 x 14";"24hpf_pos.1";"pou1f1";"POU class 1 homeobox 1 [Source:ZFIN;Acc:ZDB-GENE-040630-7]"
"ENSDARG00000068567";"ENSDARG00000068567";"1 x 30";"72hpf_neg_gata5";"shha";"sonic hedgehog a [Source:ZFIN;Acc:ZDB-GENE-980526-166]"
"ENSDARG00000101540";"ENSDARG00000101540";"29 x 11";"24hpf_neg";"fgf3";"fibroblast growth factor 3 [Source:ZFIN;Acc:ZDB-GENE-980526-178]"
