"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000019367";"ENSDARG00000019367";"30 x 36";"72hpf_neg_gata5";"tgfb3";"transforming growth factor, beta 3 [Source:ZFIN;Acc:ZDB-GENE-030723-4]"
"ENSDARG00000019920";"ENSDARG00000019920";"26 x 23";"24hpf_neg";"lft1";"lefty1 [Source:ZFIN;Acc:ZDB-GENE-990630-10]"
"ENSDARG00000027087";"ENSDARG00000027087";"6 x 27";"72hpf_pos.1";"tgfb2";"transforming growth factor, beta 2 [Source:ZFIN;Acc:ZDB-GENE-030723-3]"
"ENSDARG00000030154";"ENSDARG00000030154";"12 x 37";"72hpf_neg_gata5";"";"p21 protein (Cdc42/Rac)-activated kinase 7 [Source:ZFIN;Acc:ZDB-GENE-040426-2085]"
"ENSDARG00000036428";"ENSDARG00000036428";"1 x 11";"72hpf_pos_gata5.1";"si:dkey-264d12.4";"si:dkey-264d12.4 [Source:ZFIN;Acc:ZDB-GENE-141216-123]"
"ENSDARG00000041502";"ENSDARG00000041502";"17 x 33";"72hpf_neg_gata5";"tgfb1a";"transforming growth factor, beta 1a [Source:ZFIN;Acc:ZDB-GENE-030618-1]"
"ENSDARG00000044059";"ENSDARG00000044059";"40 x 37";"24hpf_pos";"lft2";"lefty2 [Source:ZFIN;Acc:ZDB-GENE-990630-11]"
"ENSDARG00000071879";"ENSDARG00000071879";"4 x 26";"72hpf_pos.1";"tgfb2l";"transforming growth factor, beta 2, like [Source:ZFIN;Acc:ZDB-GENE-130425-3]"
"ENSDARG00000098637";"ENSDARG00000098637";"13 x 34";"48hpf_neg";"";""
"ENSDARG00000101461";"ENSDARG00000101461";"29 x 11";"72hpf_pos";"emp3b";"epithelial membrane protein 3b [Source:ZFIN;Acc:ZDB-GENE-050913-51]"
