"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003403";"ENSDARG00000003403";"5 x 36";"72hpf_neg_hand2";"tenm1";"teneurin transmembrane protein 1 [Source:ZFIN;Acc:ZDB-GENE-060531-26]"
"ENSDARG00000007278";"ENSDARG00000007278";"38 x 38";"24hpf_pos.1";"ect2";"epithelial cell transforming 2 [Source:ZFIN;Acc:ZDB-GENE-040831-2]"
"ENSDARG00000011171";"ENSDARG00000011171";"1 x 39";"72hpf_neg_tbx5";"si:ch211-12m10.1";"si:ch211-12m10.1 [Source:ZFIN;Acc:ZDB-GENE-060503-100]"
"ENSDARG00000013921";"ENSDARG00000013921";"2 x 33";"72hpf_neg_gata5";"frya";"furry homolog a (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-060510-4]"
"ENSDARG00000016350";"ENSDARG00000016350";"6 x 12";"72hpf_pos_hand2.1";"cap1";"CAP, adenylate cyclase-associated protein 1 (yeast) [Source:ZFIN;Acc:ZDB-GENE-030131-6459]"
"ENSDARG00000027397";"ENSDARG00000027397";"27 x 40";"48hpf_neg";"vangl2";"VANGL planar cell polarity protein 2 [Source:ZFIN;Acc:ZDB-GENE-020507-3]"
"ENSDARG00000028213";"ENSDARG00000028213";"40 x 8";"72hpf_pos.1";"";"titin, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030113-2]"
"ENSDARG00000033466";"ENSDARG00000033466";"38 x 12";"24hpf_pos.1";"tagln2";"transgelin 2 [Source:ZFIN;Acc:ZDB-GENE-020802-2]"
"ENSDARG00000037116";"ENSDARG00000037116";"33 x 39";"72hpf_neg";"cxcl12a";"chemokine (C-X-C motif) ligand 12a (stromal cell-derived factor 1) [Source:ZFIN;Acc:ZDB-GENE-030318-1]"
"ENSDARG00000037122";"ENSDARG00000037122";"7 x 37";"72hpf_neg_tbx5";"si:dkey-34l15.2";"si:dkey-34l15.2 [Source:ZFIN;Acc:ZDB-GENE-081027-5]"
"ENSDARG00000040001";"ENSDARG00000040001";"40 x 36";"24hpf_pos.1";"fryl";"furry homolog, like [Source:ZFIN;Acc:ZDB-GENE-040914-58]"
"ENSDARG00000055100";"ENSDARG00000055100";"40 x 40";"24hpf_pos";"cxcl12b";"chemokine (C-X-C motif) ligand 12b (stromal cell-derived factor 1) [Source:ZFIN;Acc:ZDB-GENE-030721-1]"
"ENSDARG00000055678";"ENSDARG00000055678";"34 x 40";"24hpf_pos";"akap12b";"A kinase (PRKA) anchor protein 12b [Source:ZFIN;Acc:ZDB-GENE-030131-9753]"
"ENSDARG00000056001";"ENSDARG00000056001";"7 x 40";"72hpf_neg_tbx5";"fryb";"furry homolog b (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-080215-5]"
"ENSDARG00000057633";"ENSDARG00000057633";"40 x 37";"24hpf_pos";"cxcr4a";"chemokine (C-X-C motif) receptor 4a [Source:ZFIN;Acc:ZDB-GENE-020102-1]"
"ENSDARG00000087599";"ENSDARG00000087599";"9 x 39";"72hpf_neg_tbx5";"si:dkey-237h12.3";"si:dkey-237h12.3 [Source:ZFIN;Acc:ZDB-GENE-081027-3]"
"ENSDARG00000100252";"ENSDARG00000100252";"5 x 17";"72hpf_pos_gata5";"capzb";"capping protein (actin filament) muscle Z-line, beta [Source:ZFIN;Acc:ZDB-GENE-030131-7023]"
"ENSDARG00000102180";"ENSDARG00000102180";"30 x 39";"24hpf_pos.1";"";"shroom family member 3 [Source:ZFIN;Acc:ZDB-GENE-120817-1]"
