"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000005185";"ENSDARG00000005185";"19 x 23";"24hpf_pos";"cpn1";"carboxypeptidase N, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9116]"
"ENSDARG00000009830";"ENSDARG00000009830";"13 x 14";"72hpf_pos_tbx5";"hdlbpa";"high density lipoprotein binding protein a [Source:ZFIN;Acc:ZDB-GENE-030131-2032]"
"ENSDARG00000012609";"ENSDARG00000012609";"24 x 26";"72hpf_neg";"hpx";"hemopexin [Source:ZFIN;Acc:ZDB-GENE-030131-5773]"
"ENSDARG00000013961";"ENSDARG00000013961";"24 x 4";"72hpf_pos_tbx5";"slc31a1";"solute carrier family 31 (copper transporter), member 1 [Source:ZFIN;Acc:ZDB-GENE-040415-3]"
"ENSDARG00000016319";"ENSDARG00000016319";"2 x 6";"72hpf_pos_tbx5";"c9";"complement component 9 [Source:ZFIN;Acc:ZDB-GENE-050522-442]"
"ENSDARG00000016448";"ENSDARG00000016448";"34 x 10";"24hpf_pos";"";"vitellogenin 3, phosvitinless [Source:ZFIN;Acc:ZDB-GENE-991019-2]"
"ENSDARG00000018478";"ENSDARG00000018478";"1 x 5";"72hpf_pos_tbx5";"agxtb";"alanine-glyoxylate aminotransferase b [Source:ZFIN;Acc:ZDB-GENE-010302-3]"
"ENSDARG00000019444";"ENSDARG00000019444";"17 x 16";"72hpf_pos";"ssr4";"signal sequence receptor, delta [Source:ZFIN;Acc:ZDB-GENE-030131-4900]"
"ENSDARG00000020143";"ENSDARG00000020143";"1 x 2";"48hpf_pos.1";"pah";"phenylalanine hydroxylase [Source:ZFIN;Acc:ZDB-GENE-031006-2]"
"ENSDARG00000020364";"ENSDARG00000020364";"1 x 5";"72hpf_pos_tbx5";"fbp1b";"fructose-1,6-bisphosphatase 1b [Source:ZFIN;Acc:ZDB-GENE-021206-11]"
"ENSDARG00000023151";"ENSDARG00000023151";"6 x 9";"72hpf_pos_tbx5";"ucp1";"uncoupling protein 1 [Source:ZFIN;Acc:ZDB-GENE-010503-1]"
"ENSDARG00000030357";"ENSDARG00000030357";"27 x 23";"24hpf_neg";"zgc:66313";"zgc:66313 [Source:ZFIN;Acc:ZDB-GENE-040426-1606]"
"ENSDARG00000037000";"ENSDARG00000037000";"33 x 13";"72hpf_pos.1";"fkbp11";"FK506 binding protein 11 [Source:ZFIN;Acc:ZDB-GENE-030616-357]"
"ENSDARG00000042684";"ENSDARG00000042684";"8 x 9";"72hpf_pos_tbx5";"serpinc1";"serpin peptidase inhibitor, clade C (antithrombin), member 1 [Source:ZFIN;Acc:ZDB-GENE-030131-264]"
"ENSDARG00000043279";"ENSDARG00000043279";"19 x 9";"72hpf_pos_tbx5";"aqp12";"aquaporin 12 [Source:ZFIN;Acc:ZDB-GENE-040718-310]"
"ENSDARG00000052207";"ENSDARG00000052207";"1 x 5";"72hpf_pos_tbx5";"c3a.3";"complement component c3a, duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-990415-37]"
"ENSDARG00000056605";"ENSDARG00000056605";"40 x 14";"24hpf_pos.1";"wbp2";"WW domain binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-050522-137]"
"ENSDARG00000060325";"ENSDARG00000060325";"20 x 23";"72hpf_neg_tbx5";"fam20cl";"family with sequence similarity 20, member C like [Source:ZFIN;Acc:ZDB-GENE-070705-319]"
"ENSDARG00000061121";"ENSDARG00000061121";"11 x 39";"72hpf_neg_tbx5";"adgrl3.1";"adhesion G protein-coupled receptor L3.1 [Source:ZFIN;Acc:ZDB-GENE-030131-7856]"
"ENSDARG00000069980";"ENSDARG00000069980";"20 x 36";"72hpf_neg";"lman1";"lectin, mannose-binding, 1 [Source:ZFIN;Acc:ZDB-GENE-060201-4]"
"ENSDARG00000076223";"ENSDARG00000076223";"4 x 12";"72hpf_pos_gata5.1";"zgc:92744";"zgc:92744 [Source:ZFIN;Acc:ZDB-GENE-040718-312]"
"ENSDARG00000087359";"ENSDARG00000087359";"1 x 5";"72hpf_pos_tbx5";"c3a.2";"complement component c3a, duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-990415-36]"
"ENSDARG00000092233";"ENSDARG00000092233";"14 x 25";"72hpf_neg_hand2";"vtg1";"vitellogenin 1 [Source:ZFIN;Acc:ZDB-GENE-001201-1]"
"ENSDARG00000094557";"ENSDARG00000094557";"16 x 5";"72hpf_pos_tbx5";"nupr1";"nuclear protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-4653]"
"ENSDARG00000101627";"ENSDARG00000101627";"9 x 23";"72hpf_pos.1";"ssr1";"signal sequence receptor, alpha [Source:ZFIN;Acc:ZDB-GENE-030826-28]"
