"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003615";"ENSDARG00000003615";"40 x 9";"24hpf_pos";"slc26a3.2";"solute carrier family 26 (anion exchanger), member 3, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-041210-179]"
"ENSDARG00000007371";"ENSDARG00000007371";"23 x 15";"72hpf_pos_tbx5.1";"slc26a3.1";"solute carrier family 26 (anion exchanger), member 3 [Source:ZFIN;Acc:ZDB-GENE-041210-180]"
"ENSDARG00000007678";"ENSDARG00000007678";"8 x 40";"72hpf_neg_tbx5";"ttyh3b";"tweety family member 3b [Source:ZFIN;Acc:ZDB-GENE-051120-105]"
"ENSDARG00000010625";"ENSDARG00000010625";"10 x 1";"72hpf_pos_hand2";"clic2";"chloride intracellular channel 2 [Source:ZFIN;Acc:ZDB-GENE-040718-299]"
"ENSDARG00000010727";"ENSDARG00000010727";"4 x 13";"72hpf_pos";"ttyh2l";"tweety homolog 2, like [Source:ZFIN;Acc:ZDB-GENE-040426-2394]"
"ENSDARG00000011618";"ENSDARG00000011618";"6 x 4";"48hpf_pos";"slc26a2";"solute carrier family 26 (anion exchanger), member 2 [Source:ZFIN;Acc:ZDB-GENE-030717-3]"
"ENSDARG00000012019";"ENSDARG00000012019";"4 x 36";"72hpf_neg_tbx5";"glra1";"glycine receptor, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-991117-1]"
"ENSDARG00000016934";"ENSDARG00000016934";"16 x 40";"48hpf_neg";"ttyh2";"tweety family member 2 [Source:ZFIN;Acc:ZDB-GENE-040718-193]"
"ENSDARG00000022424";"ENSDARG00000022424";"10 x 5";"72hpf_pos_tbx5";"slc26a5";"solute carrier family 26 (anion exchanger), member 5 [Source:ZFIN;Acc:ZDB-GENE-030131-1566]"
"ENSDARG00000022995";"ENSDARG00000022995";"21 x 36";"24hpf_neg";"clic4";"chloride intracellular channel 4 [Source:ZFIN;Acc:ZDB-GENE-030326-3]"
"ENSDARG00000029832";"ENSDARG00000029832";"6 x 6";"72hpf_pos.1";"slc26a1";"solute carrier family 26 (anion exchanger), member 1 [Source:ZFIN;Acc:ZDB-GENE-070112-2182]"
"ENSDARG00000034473";"ENSDARG00000034473";"28 x 12";"48hpf_pos.1";"ttyh3a";"tweety family member 3a [Source:ZFIN;Acc:ZDB-GENE-120508-1]"
"ENSDARG00000041107";"ENSDARG00000041107";"19 x 33";"72hpf_neg_gata5";"cftr";"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7) [Source:ZFIN;Acc:ZDB-GENE-050517-20]"
"ENSDARG00000043021";"ENSDARG00000043021";"5 x 4";"72hpf_pos_gata5.1";"slc26a11";"solute carrier family 26 (anion exchanger), member 11 [Source:ZFIN;Acc:ZDB-GENE-030131-5349]"
"ENSDARG00000044776";"ENSDARG00000044776";"30 x 26";"72hpf_pos_gata5";"clic3";"chloride intracellular channel 3 [Source:ZFIN;Acc:ZDB-GENE-010507-2]"
"ENSDARG00000054127";"ENSDARG00000054127";"7 x 9";"72hpf_pos_tbx5.1";"slc26a6l";"solute carrier family 26, member 6, like [Source:ZFIN;Acc:ZDB-GENE-080220-10]"
"ENSDARG00000055835";"ENSDARG00000055835";"18 x 9";"72hpf_pos_tbx5.1";"slc26a6";"solute carrier family 26, member 6 [Source:ZFIN;Acc:ZDB-GENE-081105-83]"
"ENSDARG00000058953";"ENSDARG00000058953";"36 x 3";"24hpf_pos.1";"abcc4";"ATP-binding cassette, sub-family C (CFTR/MRP), member 4 [Source:ZFIN;Acc:ZDB-GENE-030616-511]"
"ENSDARG00000062427";"ENSDARG00000062427";"18 x 31";"72hpf_neg_gata5";"";"chloride channel, voltage-sensitive 2a [Source:ZFIN;Acc:ZDB-GENE-070705-19]"
"ENSDARG00000069431";"ENSDARG00000069431";"40 x 16";"24hpf_pos.1";"slc26a4";"solute carrier family 26 (anion exchanger), member 4 [Source:ZFIN;Acc:ZDB-GENE-060503-544]"
"ENSDARG00000070584";"ENSDARG00000070584";"8 x 9";"72hpf_pos_tbx5";"clic5b";"chloride intracellular channel 5b [Source:ZFIN;Acc:ZDB-GENE-040426-2542]"
"ENSDARG00000075993";"ENSDARG00000075993";"26 x 16";"72hpf_pos_tbx5";"clic5a";"chloride intracellular channel 5a [Source:ZFIN;Acc:ZDB-GENE-041114-84]"
"ENSDARG00000076804";"ENSDARG00000076804";"8 x 38";"72hpf_neg_tbx5";"ttyh1";"tweety family member 1 [Source:ZFIN;Acc:ZDB-GENE-100922-257]"
"ENSDARG00000078331";"ENSDARG00000078331";"17 x 6";"72hpf_pos_tbx5";"best1";"bestrophin 1 [Source:ZFIN;Acc:ZDB-GENE-110411-214]"
"ENSDARG00000078455";"ENSDARG00000078455";"37 x 15";"24hpf_pos.1";"";"bestrophin 4 [Source:ZFIN;Acc:ZDB-GENE-070912-6]"
"ENSDARG00000078800";"ENSDARG00000078800";"21 x 34";"24hpf_neg";"slc26a10";"solute carrier family 26, member 10 [Source:ZFIN;Acc:ZDB-GENE-030131-9845]"
"ENSDARG00000079163";"ENSDARG00000079163";"23 x 10";"72hpf_pos_gata5.1";"";"bestrophin 2 [Source:ZFIN;Acc:ZDB-GENE-090312-127]"
