"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000006137";"ENSDARG00000006137";"5 x 26";"72hpf_neg_gata5";"star";"steroidogenic acute regulatory protein [Source:ZFIN;Acc:ZDB-GENE-001120-3]"
"ENSDARG00000012076";"ENSDARG00000012076";"1 x 3";"72hpf_pos_tbx5.1";"apoa1a";"apolipoprotein A-Ia [Source:ZFIN;Acc:ZDB-GENE-990415-14]"
"ENSDARG00000017809";"ENSDARG00000017809";"16 x 1";"72hpf_pos_gata5.1";"stard3";"StAR-related lipid transfer (START) domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-001120-2]"
"ENSDARG00000018096";"ENSDARG00000018096";"36 x 25";"48hpf_neg";"scap";"SREBF chaperone [Source:ZFIN;Acc:ZDB-GENE-040107-41]"
"ENSDARG00000020866";"ENSDARG00000020866";"3 x 4";"72hpf_pos_tbx5";"apoa4b.2";"apolipoprotein A-IV b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3143]"
"ENSDARG00000021991";"ENSDARG00000021991";"12 x 20";"72hpf_pos.1";"erlin1";"ER lipid raft associated 1 [Source:ZFIN;Acc:ZDB-GENE-050327-13]"
"ENSDARG00000038226";"ENSDARG00000038226";"18 x 22";"48hpf_pos.1";"LOC100331467";""
"ENSDARG00000040295";"ENSDARG00000040295";"1 x 5";"72hpf_pos_tbx5";"apoeb";"apolipoprotein Eb [Source:ZFIN;Acc:ZDB-GENE-980526-368]"
"ENSDARG00000040298";"ENSDARG00000040298";"1 x 4";"72hpf_pos_tbx5";"apoa4b.1";"apolipoprotein A-IV b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1263]"
"ENSDARG00000045421";"ENSDARG00000045421";"14 x 5";"72hpf_pos_tbx5.1";"stard3nl";"STARD3 N-terminal like [Source:ZFIN;Acc:ZDB-GENE-040718-4]"
"ENSDARG00000069375";"ENSDARG00000069375";"6 x 8";"72hpf_pos_tbx5.1";"zgc:162608";"zgc:162608 [Source:ZFIN;Acc:ZDB-GENE-070410-86]"
"ENSDARG00000076117";"ENSDARG00000076117";"15 x 10";"72hpf_pos_tbx5.1";"";"StAR-related lipid transfer (START) domain containing 5 [Source:ZFIN;Acc:ZDB-GENE-130103-4]"
"ENSDARG00000086523";"ENSDARG00000086523";"35 x 23";"24hpf_pos";"erlin2";"ER lipid raft associated 2 [Source:NCBI gene;Acc:100151163]"
"ENSDARG00000094929";"ENSDARG00000094929";"16 x 7";"72hpf_pos_tbx5.1";"apoa4b.3";"apolipoprotein A-IV b, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-100921-47]"
"ENSDARG00000095863";"ENSDARG00000095863";"3 x 5";"72hpf_pos_tbx5";"afp4";"antifreeze protein type IV [Source:ZFIN;Acc:ZDB-GENE-030131-5217]"
"ENSDARG00000102004";"ENSDARG00000102004";"1 x 3";"72hpf_pos_tbx5.1";"apoea";"apolipoprotein Ea [Source:ZFIN;Acc:ZDB-GENE-010724-18]"
"ENSDARG00000102477";"ENSDARG00000102477";"29 x 3";"72hpf_pos_gata5";"stard4";"StAR-related lipid transfer (START) domain containing 4 [Source:ZFIN;Acc:ZDB-GENE-050417-168]"
