"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004131";"ENSDARG00000004131";"38 x 36";"24hpf_pos.1";"rttn";"rotatin [Source:ZFIN;Acc:ZDB-GENE-090609-5]"
"ENSDARG00000025974";"ENSDARG00000025974";"8 x 32";"72hpf_neg_tbx5";"";"membrane associated guanylate kinase, WW and PDZ domain containing 3b [Source:ZFIN;Acc:ZDB-GENE-060503-301]"
"ENSDARG00000027397";"ENSDARG00000027397";"27 x 40";"48hpf_neg";"vangl2";"VANGL planar cell polarity protein 2 [Source:ZFIN;Acc:ZDB-GENE-020507-3]"
"ENSDARG00000033227";"ENSDARG00000033227";"10 x 1";"24hpf_pos.1";"lect2l";"leukocyte cell-derived chemotaxin 2 like [Source:ZFIN;Acc:ZDB-GENE-070127-4]"
"ENSDARG00000034941";"ENSDARG00000034941";"6 x 5";"72hpf_pos_gata5.1";"si:dkey-224e22.2";"si:dkey-224e22.2 [Source:ZFIN;Acc:ZDB-GENE-061207-59]"
"ENSDARG00000044812";"ENSDARG00000044812";"27 x 34";"24hpf_pos.1";"ttc17";"tetratricopeptide repeat domain 17 [Source:ZFIN;Acc:ZDB-GENE-100422-15]"
"ENSDARG00000054026";"ENSDARG00000054026";"36 x 15";"24hpf_pos.1";"mustn1a";"musculoskeletal, embryonic nuclear protein 1a [Source:ZFIN;Acc:ZDB-GENE-111129-3]"
"ENSDARG00000058638";"ENSDARG00000058638";"40 x 9";"24hpf_pos.1";"si:ch211-71m22.1";"si:ch211-71m22.1 [Source:ZFIN;Acc:ZDB-GENE-070705-193]"
"ENSDARG00000059903";"ENSDARG00000059903";"40 x 18";"24hpf_pos.1";"hs3st3l";"heparan sulfate (glucosamine) 3-O-sulfotransferase 3-like [Source:ZFIN;Acc:ZDB-GENE-070202-6]"
"ENSDARG00000062606";"ENSDARG00000062606";"7 x 26";"72hpf_pos.1";"si:dkey-26i13.8";"si:dkey-26i13.8 [Source:ZFIN;Acc:ZDB-GENE-090312-134]"
"ENSDARG00000063009";"ENSDARG00000063009";"1 x 5";"72hpf_pos_tbx5.1";"catip";"ciliogenesis associated TTC17 interacting protein [Source:ZFIN;Acc:ZDB-GENE-060929-1170]"
"ENSDARG00000078106";"ENSDARG00000078106";"7 x 5";"72hpf_pos_tbx5.1";"ocrl";"oculocerebrorenal syndrome of Lowe [Source:ZFIN;Acc:ZDB-GENE-061110-61]"
"ENSDARG00000090052";"ENSDARG00000090052";"40 x 33";"24hpf_pos.1";"si:dkey-165a24.9";"si:dkey-165a24.9 [Source:ZFIN;Acc:ZDB-GENE-141209-1]"
