"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000012866";"ENSDARG00000012866";"3 x 18";"48hpf_pos";"picalma";"phosphatidylinositol binding clathrin assembly protein a [Source:ZFIN;Acc:ZDB-GENE-040426-761]"
"ENSDARG00000014137";"ENSDARG00000014137";"11 x 36";"72hpf_neg_tbx5";"picalmb";"phosphatidylinositol binding clathrin assembly protein b [Source:ZFIN;Acc:ZDB-GENE-030131-6795]"
"ENSDARG00000015931";"ENSDARG00000015931";"1 x 40";"72hpf_neg_tbx5";"si:ch211-214j24.9";"si:ch211-214j24.9 [Source:ZFIN;Acc:ZDB-GENE-041210-81]"
"ENSDARG00000029170";"ENSDARG00000029170";"38 x 16";"24hpf_pos.1";"si:ch211-200p22.4";"si:ch211-200p22.4 [Source:ZFIN;Acc:ZDB-GENE-081104-61]"
"ENSDARG00000036008";"ENSDARG00000036008";"11 x 32";"72hpf_neg_hand2";"caly";"calcyon neuron-specific vesicular protein [Source:ZFIN;Acc:ZDB-GENE-090313-405]"
"ENSDARG00000043493";"ENSDARG00000043493";"38 x 33";"24hpf_pos.1";"cltca";"clathrin, heavy chain a (Hc) [Source:ZFIN;Acc:ZDB-GENE-030131-2299]"
"ENSDARG00000060841";"ENSDARG00000060841";"13 x 14";"72hpf_pos_hand2";"pik3c2a";"phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha [Source:ZFIN;Acc:ZDB-GENE-030328-39]"
"ENSDARG00000062972";"ENSDARG00000062972";"23 x 31";"72hpf_neg_gata5";"hip1";"huntingtin interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-010328-15]"
"ENSDARG00000079264";"ENSDARG00000079264";"8 x 35";"72hpf_neg_tbx5";"baiap3";"BAI1-associated protein 3 [Source:ZFIN;Acc:ZDB-GENE-130530-863]"
"ENSDARG00000090716";"ENSDARG00000090716";"28 x 35";"72hpf_neg_tbx5";"cltcb";"clathrin, heavy chain b (Hc) [Source:ZFIN;Acc:ZDB-GENE-050227-12]"
"ENSDARG00000091618";"ENSDARG00000091618";"15 x 35";"72hpf_neg_hand2";"cltcl1";"clathrin, heavy chain-like 1 [Source:ZFIN;Acc:ZDB-GENE-130530-1029]"
"ENSDARG00000098809";"ENSDARG00000098809";"3 x 40";"72hpf_neg_tbx5";"snap91";"synaptosomal-associated protein 91 [Source:ZFIN;Acc:ZDB-GENE-100422-6]"
"ENSDARG00000102975";"ENSDARG00000102975";"4 x 40";"72hpf_neg_tbx5";"hmp19";"HMP19 protein [Source:ZFIN;Acc:ZDB-GENE-030131-3694]"
