"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000229";"ENSDARG00000000229";"27 x 39";"48hpf_neg";"usp49";"ubiquitin specific peptidase 49 [Source:ZFIN;Acc:ZDB-GENE-050208-484]"
"ENSDARG00000003902";"ENSDARG00000003902";"1 x 4";"72hpf_pos_hand2.1";"ctsl.1";"cathepsin L.1 [Source:ZFIN;Acc:ZDB-GENE-040718-61]"
"ENSDARG00000004325";"ENSDARG00000004325";"20 x 1";"72hpf_pos_gata5.1";"casp9";"caspase 9, apoptosis-related cysteine peptidase [Source:ZFIN;Acc:ZDB-GENE-030825-5]"
"ENSDARG00000004866";"ENSDARG00000004866";"27 x 5";"72hpf_pos_gata5.1";"fam63a";"family with sequence similarity 63, member A [Source:ZFIN;Acc:ZDB-GENE-070717-2]"
"ENSDARG00000007836";"ENSDARG00000007836";"5 x 4";"72hpf_pos_tbx5";"ctsla";"cathepsin La [Source:ZFIN;Acc:ZDB-GENE-030131-106]"
"ENSDARG00000008165";"ENSDARG00000008165";"10 x 8";"72hpf_pos_hand2.1";"caspa";"caspase a [Source:ZFIN;Acc:ZDB-GENE-000616-3]"
"ENSDARG00000008542";"ENSDARG00000008542";"24 x 40";"48hpf_neg";"yod1";"YOD1 deubiquitinase [Source:ZFIN;Acc:ZDB-GENE-050417-217]"
"ENSDARG00000008553";"ENSDARG00000008553";"23 x 15";"72hpf_pos_tbx5.1";"zgc:136872";"zgc:136872 [Source:ZFIN;Acc:ZDB-GENE-060421-5204]"
"ENSDARG00000010758";"ENSDARG00000010758";"34 x 40";"72hpf_neg";"capn12";"calpain 12 [Source:ZFIN;Acc:ZDB-GENE-050419-245]"
"ENSDARG00000011462";"ENSDARG00000011462";"33 x 12";"72hpf_pos";"otub1b";"OTU deubiquitinase, ubiquitin aldehyde binding 1b [Source:ZFIN;Acc:ZDB-GENE-040718-204]"
"ENSDARG00000011701";"ENSDARG00000011701";"16 x 23";"48hpf_pos";"ctsll";"cathepsin L, like [Source:ZFIN;Acc:ZDB-GENE-041010-76]"
"ENSDARG00000012341";"ENSDARG00000012341";"1 x 27";"72hpf_pos_gata5";"capn9";"calpain 9 [Source:ZFIN;Acc:ZDB-GENE-010724-2]"
"ENSDARG00000013771";"ENSDARG00000013771";"8 x 1";"72hpf_pos_hand2.1";"ctss2.2";"cathepsin S, ortholog 2, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050626-55]"
"ENSDARG00000014517";"ENSDARG00000014517";"30 x 23";"24hpf_neg";"usp5";"ubiquitin specific peptidase 5 (isopeptidase T) [Source:ZFIN;Acc:ZDB-GENE-040426-2584]"
"ENSDARG00000014531";"ENSDARG00000014531";"37 x 23";"48hpf_pos.1";"atg4a";"autophagy related 4A, cysteine peptidase [Source:ZFIN;Acc:ZDB-GENE-050522-430]"
"ENSDARG00000014657";"ENSDARG00000014657";"15 x 20";"72hpf_pos_gata5";"zgc:171731";"zgc:171731 [Source:ZFIN;Acc:ZDB-GENE-071004-27]"
"ENSDARG00000016163";"ENSDARG00000016163";"16 x 30";"72hpf_neg_gata5";"usp33";"ubiquitin specific peptidase 33 [Source:ZFIN;Acc:ZDB-GENE-040426-2323]"
"ENSDARG00000017905";"ENSDARG00000017905";"18 x 36";"48hpf_neg";"casp3a";"caspase 3, apoptosis-related cysteine peptidase a [Source:ZFIN;Acc:ZDB-GENE-011210-1]"
"ENSDARG00000019595";"ENSDARG00000019595";"35 x 3";"24hpf_pos";"senp8";"SUMO/sentrin peptidase family member, NEDD8 specific [Source:ZFIN;Acc:ZDB-GENE-060929-1186]"
"ENSDARG00000025608";"ENSDARG00000025608";"17 x 18";"72hpf_pos_gata5";"casp6l1";"caspase 6, apoptosis-related cysteine peptidase, like 1 [Source:ZFIN;Acc:ZDB-GENE-041010-48]"
"ENSDARG00000025977";"ENSDARG00000025977";"36 x 22";"48hpf_pos";"blmh";"bleomycin hydrolase [Source:ZFIN;Acc:ZDB-GENE-030131-8485]"
"ENSDARG00000026871";"ENSDARG00000026871";"1 x 4";"72hpf_pos_gata5.1";"uchl1";"ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase) [Source:ZFIN;Acc:ZDB-GENE-030131-3844]"
"ENSDARG00000027501";"ENSDARG00000027501";"12 x 30";"72hpf_neg_hand2";"usp20";"ubiquitin specific peptidase 20 [Source:ZFIN;Acc:ZDB-GENE-040426-1219]"
"ENSDARG00000028715";"ENSDARG00000028715";"24 x 39";"24hpf_neg";"fam188a";"family with sequence similarity 188, member A [Source:ZFIN;Acc:ZDB-GENE-061110-13]"
"ENSDARG00000030177";"ENSDARG00000030177";"6 x 16";"72hpf_pos.1";"uchl3";"ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase) [Source:ZFIN;Acc:ZDB-GENE-050522-158]"
"ENSDARG00000034211";"ENSDARG00000034211";"6 x 14";"72hpf_pos_gata5";"zgc:92480";"zgc:92480 [Source:ZFIN;Acc:ZDB-GENE-040801-227]"
"ENSDARG00000034825";"ENSDARG00000034825";"28 x 36";"48hpf_neg";"uspl1";"ubiquitin specific peptidase like 1 [Source:ZFIN;Acc:ZDB-GENE-040930-7]"
"ENSDARG00000035663";"ENSDARG00000035663";"22 x 1";"72hpf_pos_gata5.1";"zgc:103438";"zgc:103438 [Source:ZFIN;Acc:ZDB-GENE-041010-131]"
"ENSDARG00000035665";"ENSDARG00000035665";"7 x 7";"72hpf_pos";"si:dkey-267n13.1";"si:dkey-267n13.1 [Source:ZFIN;Acc:ZDB-GENE-141211-35]"
"ENSDARG00000036940";"ENSDARG00000036940";"14 x 18";"72hpf_pos_gata5";"ctss1";"cathepsin S, ortholog 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1583]"
"ENSDARG00000039173";"ENSDARG00000039173";"34 x 26";"24hpf_neg";"ctslb";"cathepsin Lb [Source:ZFIN;Acc:ZDB-GENE-980526-285]"
"ENSDARG00000040251";"ENSDARG00000040251";"5 x 9";"72hpf_pos_tbx5";"ctsk";"cathepsin K [Source:ZFIN;Acc:ZDB-GENE-001205-4]"
"ENSDARG00000040407";"ENSDARG00000040407";"25 x 36";"48hpf_neg";"usp22";"ubiquitin specific peptidase 22 [Source:ZFIN;Acc:ZDB-GENE-060512-211]"
"ENSDARG00000041108";"ENSDARG00000041108";"8 x 3";"72hpf_pos_hand2.1";"ctsh";"cathepsin H [Source:ZFIN;Acc:ZDB-GENE-030131-3539]"
"ENSDARG00000041864";"ENSDARG00000041864";"34 x 9";"72hpf_pos.1";"capn3a";"calpain 3a, (p94) [Source:ZFIN;Acc:ZDB-GENE-040912-97]"
"ENSDARG00000042753";"ENSDARG00000042753";"1 x 29";"72hpf_pos.1";"cts12";"cathepsin 12 [Source:ZFIN;Acc:ZDB-GENE-050208-336]"
"ENSDARG00000043035";"ENSDARG00000043035";"10 x 13";"72hpf_pos.1";"capn3b";"calpain 3b [Source:ZFIN;Acc:ZDB-GENE-041001-149]"
"ENSDARG00000043081";"ENSDARG00000043081";"3 x 4";"72hpf_pos_hand2.1";"ctsz";"cathepsin Z [Source:ZFIN;Acc:ZDB-GENE-041010-139]"
"ENSDARG00000043548";"ENSDARG00000043548";"31 x 28";"48hpf_neg";"atg4da";"autophagy related 4D, cysteine peptidase a [Source:ZFIN;Acc:ZDB-GENE-041111-102]"
"ENSDARG00000044373";"ENSDARG00000044373";"14 x 7";"72hpf_pos";"atg4c";"autophagy related 4C, cysteine peptidase [Source:ZFIN;Acc:ZDB-GENE-040625-84]"
"ENSDARG00000045199";"ENSDARG00000045199";"13 x 1";"24hpf_pos.1";"zgc:55262";"zgc:55262 [Source:ZFIN;Acc:ZDB-GENE-040426-2814]"
"ENSDARG00000045343";"ENSDARG00000045343";"24 x 34";"72hpf_pos_tbx5";"usp46";"ubiquitin specific peptidase 46 [Source:ZFIN;Acc:ZDB-GENE-070705-213]"
"ENSDARG00000045641";"ENSDARG00000045641";"37 x 37";"24hpf_pos.1";"usp3";"ubiquitin specific peptidase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-5142]"
"ENSDARG00000052039";"ENSDARG00000052039";"1 x 8";"72hpf_pos_gata5";"caspb";"caspase b [Source:ZFIN;Acc:ZDB-GENE-020812-1]"
"ENSDARG00000052104";"ENSDARG00000052104";"17 x 6";"72hpf_pos";"atg4b";"autophagy related 4B, cysteine peptidase [Source:ZFIN;Acc:ZDB-GENE-040917-3]"
"ENSDARG00000052702";"ENSDARG00000052702";"1 x 12";"48hpf_pos.1";"capn1a";"calpain 1, (mu/I) large subunit a [Source:ZFIN;Acc:ZDB-GENE-040426-1263]"
"ENSDARG00000052748";"ENSDARG00000052748";"13 x 36";"72hpf_neg_gata5";"capn1b";"calpain 1, (mu/I) large subunit b [Source:ZFIN;Acc:ZDB-GENE-060503-491]"
"ENSDARG00000052855";"ENSDARG00000052855";"16 x 11";"48hpf_pos";"ctso";"cathepsin O [Source:ZFIN;Acc:ZDB-GENE-080724-8]"
"ENSDARG00000052917";"ENSDARG00000052917";"1 x 27";"72hpf_pos_gata5";"";"si:ch211-202f3.3 [Source:ZFIN;Acc:ZDB-GENE-080917-19]"
"ENSDARG00000055045";"ENSDARG00000055045";"28 x 1";"24hpf_pos.1";"casp3b";"caspase 3, apoptosis-related cysteine peptidase b [Source:ZFIN;Acc:ZDB-GENE-070607-1]"
"ENSDARG00000055120";"ENSDARG00000055120";"4 x 2";"72hpf_pos_gata5";"ctsba";"cathepsin Ba [Source:ZFIN;Acc:ZDB-GENE-040426-2650]"
"ENSDARG00000055338";"ENSDARG00000055338";"30 x 24";"72hpf_pos_gata5.1";"si:dkeyp-50d11.2";"si:dkeyp-50d11.2 [Source:ZFIN;Acc:ZDB-GENE-091113-22]"
"ENSDARG00000055536";"ENSDARG00000055536";"25 x 9";"48hpf_pos";"otub1a";"OTU deubiquitinase, ubiquitin aldehyde binding 1a [Source:ZFIN;Acc:ZDB-GENE-040718-108]"
"ENSDARG00000055550";"ENSDARG00000055550";"18 x 5";"72hpf_pos_hand2.1";"LOC100331324";""
"ENSDARG00000055592";"ENSDARG00000055592";"5 x 4";"72hpf_pos_gata5.1";"capn2b";"calpain 2, (m/II) large subunit b [Source:ZFIN;Acc:ZDB-GENE-050522-84]"
"ENSDARG00000055715";"ENSDARG00000055715";"1 x 27";"24hpf_neg";"capn8";"calpain 8 [Source:ZFIN;Acc:ZDB-GENE-050522-279]"
"ENSDARG00000055966";"ENSDARG00000055966";"12 x 5";"72hpf_pos.1";"cflara";"CASP8 and FADD-like apoptosis regulator a [Source:ZFIN;Acc:ZDB-GENE-030826-3]"
"ENSDARG00000056741";"ENSDARG00000056741";"33 x 11";"24hpf_pos";"senp3b";"SUMO1/sentrin/SMT3 specific peptidase 3b [Source:ZFIN;Acc:ZDB-GENE-030131-6714]"
"ENSDARG00000056842";"ENSDARG00000056842";"34 x 8";"24hpf_pos";"usp30";"ubiquitin specific peptidase 30 [Source:ZFIN;Acc:ZDB-GENE-060526-335]"
"ENSDARG00000058325";"ENSDARG00000058325";"7 x 5";"72hpf_pos_gata5.1";"casp8";"caspase 8, apoptosis-related cysteine peptidase [Source:ZFIN;Acc:ZDB-GENE-000713-1]"
