"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000009499";"ENSDARG00000009499";"11 x 37";"72hpf_neg_tbx5";"";"spectrin repeat containing, nuclear envelope 1a [Source:ZFIN;Acc:ZDB-GENE-030131-4172]"
"ENSDARG00000023237";"ENSDARG00000023237";"8 x 15";"72hpf_pos.1";"syne3";"spectrin repeat containing, nuclear envelope family member 3 [Source:ZFIN;Acc:ZDB-GENE-070209-271]"
"ENSDARG00000030107";"ENSDARG00000030107";"1 x 31";"72hpf_neg_gata5";"";"si:ch211-207i1.2 [Source:ZFIN;Acc:ZDB-GENE-041014-149]"
"ENSDARG00000053484";"ENSDARG00000053484";"29 x 38";"24hpf_neg";"";"spectrin repeat containing, nuclear envelope 2b [Source:ZFIN;Acc:ZDB-GENE-071218-5]"
"ENSDARG00000055350";"ENSDARG00000055350";"15 x 37";"72hpf_neg_gata5";"sun1";"Sad1 and UNC84 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-050522-551]"
"ENSDARG00000063068";"ENSDARG00000063068";"9 x 37";"72hpf_neg_tbx5";"";"spectrin repeat containing, nuclear envelope 1b [Source:ZFIN;Acc:ZDB-GENE-071218-4]"
"ENSDARG00000077178";"ENSDARG00000077178";"18 x 15";"72hpf_pos";"zgc:152977";"zgc:152977 [Source:ZFIN;Acc:ZDB-GENE-060825-353]"
"ENSDARG00000086490";"ENSDARG00000086490";"39 x 32";"24hpf_pos.1";"si:dkey-92f12.2";"si:dkey-92f12.2 [Source:ZFIN;Acc:ZDB-GENE-091204-379]"
"ENSDARG00000093000";"ENSDARG00000093000";"7 x 20";"72hpf_pos.1";"";"si:dkeyp-77c8.2 [Source:ZFIN;Acc:ZDB-GENE-090313-398]"
"ENSDARG00000093940";"ENSDARG00000093940";"30 x 5";"48hpf_pos.1";"";"si:dkeyp-77c8.1 [Source:ZFIN;Acc:ZDB-GENE-090313-397]"
