"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000037020";"ENSDARG00000037020";"5 x 33";"72hpf_neg_tbx5";"kif1b";"kinesin family member 1B [Source:ZFIN;Acc:ZDB-GENE-030820-1]"
"ENSDARG00000042946";"ENSDARG00000042946";"4 x 32";"72hpf_neg_tbx5";"hook1";"hook microtubule-tethering protein 1 [Source:ZFIN;Acc:ZDB-GENE-041001-159]"
"ENSDARG00000053713";"ENSDARG00000053713";"31 x 40";"48hpf_neg";"ccdc88c";"coiled-coil domain containing 88C [Source:ZFIN;Acc:ZDB-GENE-100419-3]"
"ENSDARG00000059818";"ENSDARG00000059818";"6 x 30";"72hpf_pos.1";"kif5ab";"kinesin family member 5A, b [Source:ZFIN;Acc:ZDB-GENE-110510-3]"
"ENSDARG00000061817";"ENSDARG00000061817";"1 x 40";"72hpf_neg_tbx5";"kif1aa";"kinesin family member 1Aa [Source:ZFIN;Acc:ZDB-GENE-100913-3]"
"ENSDARG00000062024";"ENSDARG00000062024";"1 x 40";"72hpf_neg_tbx5";"kif1ab";"kinesin family member 1Ab [Source:ZFIN;Acc:ZDB-GENE-070912-480]"
"ENSDARG00000069594";"ENSDARG00000069594";"10 x 14";"72hpf_pos.1";"kif13a";"kinesin family member 13A [Source:ZFIN;Acc:ZDB-GENE-090901-1]"
"ENSDARG00000073859";"ENSDARG00000073859";"1 x 28";"72hpf_pos_gata5";"kif13bb";"kinesin family member 13Bb [Source:ZFIN;Acc:ZDB-GENE-090908-5]"
"ENSDARG00000074131";"ENSDARG00000074131";"16 x 5";"48hpf_pos.1";"kif5ba";"kinesin family member 5B, a [Source:ZFIN;Acc:ZDB-GENE-070629-2]"
"ENSDARG00000076027";"ENSDARG00000076027";"3 x 40";"72hpf_neg_hand2";"kif5c";"kinesin family member 5C [Source:ZFIN;Acc:ZDB-GENE-081105-14]"
"ENSDARG00000076189";"ENSDARG00000076189";"40 x 1";"72hpf_pos_hand2.1";"ccdc88b";"coiled-coil domain containing 88B [Source:ZFIN;Acc:ZDB-GENE-080303-31]"
"ENSDARG00000078440";"ENSDARG00000078440";"1 x 38";"72hpf_neg_tbx5";"";"coiled-coil domain containing 88Aa [Source:ZFIN;Acc:ZDB-GENE-100701-2]"
"ENSDARG00000079500";"ENSDARG00000079500";"4 x 40";"72hpf_neg_hand2";"kif3cb";"kinesin family member 3Cb [Source:ZFIN;Acc:ZDB-GENE-080709-4]"
"ENSDARG00000079731";"ENSDARG00000079731";"27 x 14";"72hpf_pos_tbx5";"kif13ba";"kinesin family member 13Ba [Source:ZFIN;Acc:ZDB-GENE-070521-1]"
"ENSDARG00000097418";"ENSDARG00000097418";"14 x 25";"72hpf_neg_hand2";"";"si:ch211-63b16.3 [Source:ZFIN;Acc:ZDB-GENE-131127-202]"
"ENSDARG00000098655";"ENSDARG00000098655";"5 x 11";"72hpf_pos_gata5.1";"kif1c";"kinesin family member 1C [Source:HGNC Symbol;Acc:HGNC:6317]"
"ENSDARG00000101120";"ENSDARG00000101120";"15 x 32";"72hpf_neg_tbx5";"kif3b";"kinesin family member 3B [Source:ZFIN;Acc:ZDB-GENE-050119-3]"
