"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001889";"ENSDARG00000001889";"7 x 40";"72hpf_neg_tbx5";"tuba1a";"tubulin, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-090507-4]"
"ENSDARG00000001909";"ENSDARG00000001909";"1 x 27";"72hpf_pos.1";"vill";"villin-like [Source:ZFIN;Acc:ZDB-GENE-081222-1]"
"ENSDARG00000002255";"ENSDARG00000002255";"8 x 35";"72hpf_neg_hand2";"epb41l3a";"erythrocyte membrane protein band 4.1-like 3a [Source:ZFIN;Acc:ZDB-GENE-040822-8]"
"ENSDARG00000002344";"ENSDARG00000002344";"14 x 26";"72hpf_neg_hand2";"tubb4b";"tubulin, beta 4B class IVb [Source:ZFIN;Acc:ZDB-GENE-030131-8625]"
"ENSDARG00000004372";"ENSDARG00000004372";"36 x 40";"24hpf_pos.1";"";"formin-like 3 [Source:ZFIN;Acc:ZDB-GENE-030131-1571]"
"ENSDARG00000004672";"ENSDARG00000004672";"14 x 37";"72hpf_neg_tbx5";"ptk2ab";"protein tyrosine kinase 2ab [Source:ZFIN;Acc:ZDB-GENE-020114-1]"
"ENSDARG00000006260";"ENSDARG00000006260";"36 x 32";"24hpf_neg";"tuba8l4";"tubulin, alpha 8 like 4 [Source:ZFIN;Acc:ZDB-GENE-040426-860]"
"ENSDARG00000012586";"ENSDARG00000012586";"1 x 13";"72hpf_pos_gata5.1";"fmnl2a";"formin-like 2a [Source:ZFIN;Acc:ZDB-GENE-081105-70]"
"ENSDARG00000013110";"ENSDARG00000013110";"30 x 1";"24hpf_pos.1";"dmtn";"dematin actin binding protein [Source:ZFIN;Acc:ZDB-GENE-030131-9438]"
"ENSDARG00000014536";"ENSDARG00000014536";"24 x 4";"72hpf_pos_gata5.1";"pfdn1";"prefoldin subunit 1 [Source:ZFIN;Acc:ZDB-GENE-050306-50]"
"ENSDARG00000015970";"ENSDARG00000015970";"27 x 34";"48hpf_neg";"phip";"pleckstrin homology domain interacting protein [Source:ZFIN;Acc:ZDB-GENE-050208-261]"
"ENSDARG00000016301";"ENSDARG00000016301";"1 x 40";"72hpf_neg_hand2";"zgc:65894";"zgc:65894 [Source:ZFIN;Acc:ZDB-GENE-030131-7741]"
"ENSDARG00000016350";"ENSDARG00000016350";"6 x 12";"72hpf_pos_hand2.1";"cap1";"CAP, adenylate cyclase-associated protein 1 (yeast) [Source:ZFIN;Acc:ZDB-GENE-030131-6459]"
"ENSDARG00000017036";"ENSDARG00000017036";"28 x 13";"48hpf_pos.1";"si:dkeyp-57f11.2";"si:dkeyp-57f11.2 [Source:ZFIN;Acc:ZDB-GENE-041008-237]"
