"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000747";"ENSDARG00000000747";"36 x 6";"24hpf_pos";"lcmt2";"leucine carboxyl methyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-110714-2]"
"ENSDARG00000000853";"ENSDARG00000000853";"5 x 14";"72hpf_pos_gata5.1";"dstyk";"dual serine/threonine and tyrosine protein kinase [Source:ZFIN;Acc:ZDB-GENE-040826-2]"
"ENSDARG00000001686";"ENSDARG00000001686";"14 x 20";"72hpf_pos_gata5";"uckl1a";"uridine-cytidine kinase 1-like 1a [Source:ZFIN;Acc:ZDB-GENE-040724-238]"
"ENSDARG00000001929";"ENSDARG00000001929";"13 x 14";"24hpf_pos";"pink1";"PTEN induced putative kinase 1 [Source:ZFIN;Acc:ZDB-GENE-041212-53]"
"ENSDARG00000002184";"ENSDARG00000002184";"12 x 20";"72hpf_pos_gata5";"igbp1";"immunoglobulin (CD79A) binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2928]"
"ENSDARG00000002190";"ENSDARG00000002190";"5 x 5";"72hpf_pos_tbx5.1";"chmp2bb";"charged multivesicular body protein 2Bb [Source:ZFIN;Acc:ZDB-GENE-040426-2539]"
"ENSDARG00000002690";"ENSDARG00000002690";"29 x 7";"72hpf_pos.1";"rabif";"RAB interacting factor [Source:ZFIN;Acc:ZDB-GENE-040718-216]"
"ENSDARG00000004130";"ENSDARG00000004130";"40 x 19";"24hpf_pos.1";"mvk";"mevalonate kinase [Source:ZFIN;Acc:ZDB-GENE-041114-37]"
"ENSDARG00000004616";"ENSDARG00000004616";"14 x 1";"72hpf_pos";"mtmr2";"myotubularin related protein 2 [Source:ZFIN;Acc:ZDB-GENE-990715-14]"
"ENSDARG00000004904";"ENSDARG00000004904";"7 x 10";"72hpf_pos_tbx5.1";"gys2";"glycogen synthase 2 [Source:ZFIN;Acc:ZDB-GENE-030826-31]"
"ENSDARG00000005034";"ENSDARG00000005034";"40 x 22";"72hpf_neg_gata5";"ispd";"isoprenoid synthase domain containing [Source:ZFIN;Acc:ZDB-GENE-061110-16]"
"ENSDARG00000005134";"ENSDARG00000005134";"39 x 18";"24hpf_pos.1";"psmd11b";"proteasome 26S subunit, non-ATPase 11b [Source:ZFIN;Acc:ZDB-GENE-030131-984]"
"ENSDARG00000005191";"ENSDARG00000005191";"9 x 14";"72hpf_pos_tbx5";"ahcy";"adenosylhomocysteinase [Source:ZFIN;Acc:ZDB-GENE-031219-6]"
"ENSDARG00000005251";"ENSDARG00000005251";"15 x 4";"72hpf_pos_hand2.1";"rpe";"ribulose-5-phosphate-3-epimerase [Source:ZFIN;Acc:ZDB-GENE-030131-6837]"
"ENSDARG00000005372";"ENSDARG00000005372";"11 x 33";"72hpf_neg_gata5";"camk4";"calcium/calmodulin-dependent protein kinase IV [Source:ZFIN;Acc:ZDB-GENE-050417-76]"
"ENSDARG00000005423";"ENSDARG00000005423";"4 x 8";"48hpf_pos";"pgam1a";"phosphoglycerate mutase 1a [Source:ZFIN;Acc:ZDB-GENE-030131-1827]"
"ENSDARG00000005629";"ENSDARG00000005629";"33 x 31";"24hpf_neg";"smyd2b";"SET and MYND domain containing 2b [Source:ZFIN;Acc:ZDB-GENE-041001-201]"
"ENSDARG00000005776";"ENSDARG00000005776";"2 x 32";"72hpf_neg";"guk1b";"guanylate kinase 1b [Source:ZFIN;Acc:ZDB-GENE-020916-1]"
"ENSDARG00000005941";"ENSDARG00000005941";"4 x 18";"48hpf_pos.1";"yes1";"YES proto-oncogene 1, Src family tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-050126-1]"
