"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004952";"ENSDARG00000004952";"23 x 26";"72hpf_neg_tbx5";"rsad2";"radical S-adenosyl methionine domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-050913-129]"
"ENSDARG00000007467";"ENSDARG00000007467";"18 x 25";"72hpf_neg_tbx5";"ifit10";"interferon-induced protein with tetratricopeptide repeats 10 [Source:ZFIN;Acc:ZDB-GENE-121214-248]"
"ENSDARG00000008098";"ENSDARG00000008098";"27 x 23";"72hpf_pos_tbx5";"ifit9";"interferon-induced protein with tetratricopeptide repeats 9 [Source:ZFIN;Acc:ZDB-GENE-121214-233]"
"ENSDARG00000008153";"ENSDARG00000008153";"38 x 27";"24hpf_neg";"serinc5";"serine incorporator 5 [Source:ZFIN;Acc:ZDB-GENE-040426-2918]"
"ENSDARG00000014427";"ENSDARG00000014427";"14 x 17";"72hpf_pos_gata5";"mxe";"myxovirus (influenza virus) resistance E [Source:ZFIN;Acc:ZDB-GENE-030131-9609]"
"ENSDARG00000023759";"ENSDARG00000023759";"6 x 4";"72hpf_pos";"zgc:73226";"zgc:73226 [Source:ZFIN;Acc:ZDB-GENE-050703-8]"
"ENSDARG00000024789";"ENSDARG00000024789";"12 x 18";"72hpf_pos_gata5";"mxc";"myxovirus (influenza virus) resistance C [Source:ZFIN;Acc:ZDB-GENE-030721-7]"
"ENSDARG00000025468";"ENSDARG00000025468";"21 x 3";"72hpf_pos_hand2.1";"bnip3la";"BCL2/adenovirus E1B interacting protein 3-like a [Source:ZFIN;Acc:ZDB-GENE-030131-2283]"
"ENSDARG00000025607";"ENSDARG00000025607";"23 x 26";"72hpf_neg";"ifnphi1";"interferon phi 1 [Source:ZFIN;Acc:ZDB-GENE-030721-3]"
"ENSDARG00000028067";"ENSDARG00000028067";"5 x 20";"72hpf_pos_tbx5.1";"bnip3lb";"BCL2/adenovirus E1B interacting protein 3-like b [Source:ZFIN;Acc:ZDB-GENE-040325-1]"
"ENSDARG00000043584";"ENSDARG00000043584";"25 x 19";"72hpf_pos_tbx5";"ifit15";"interferon-induced protein with tetratricopeptide repeats 15 [Source:ZFIN;Acc:ZDB-GENE-030131-1055]"
"ENSDARG00000044490";"ENSDARG00000044490";"27 x 23";"24hpf_neg";"tlr9";"toll-like receptor 9 [Source:ZFIN;Acc:ZDB-GENE-040219-10]"
"ENSDARG00000045681";"ENSDARG00000045681";"19 x 2";"72hpf_pos_hand2";"irf5";"interferon regulatory factor 5 [Source:ZFIN;Acc:ZDB-GENE-040426-2587]"
"ENSDARG00000056976";"ENSDARG00000056976";"33 x 21";"24hpf_pos";"ifit16";"interferon-induced protein with tetratricopeptide repeats 16 [Source:ZFIN;Acc:ZDB-GENE-131120-86]"
"ENSDARG00000068681";"ENSDARG00000068681";"18 x 9";"72hpf_pos";"crfb1";"cytokine receptor family member b1 [Source:ZFIN;Acc:ZDB-GENE-030131-8673]"
"ENSDARG00000068812";"ENSDARG00000068812";"13 x 28";"72hpf_neg_hand2";"tlr7";"toll-like receptor 7 [Source:ZFIN;Acc:ZDB-GENE-040219-11]"
"ENSDARG00000069733";"ENSDARG00000069733";"1 x 4";"48hpf_pos";"mavs";"mitochondrial antiviral signaling protein [Source:ZFIN;Acc:ZDB-GENE-070112-1402]"
"ENSDARG00000070676";"ENSDARG00000070676";"30 x 19";"72hpf_pos_tbx5.1";"ifnphi3";"interferon phi 3 [Source:ZFIN;Acc:ZDB-GENE-071128-2]"
"ENSDARG00000071012";"ENSDARG00000071012";"17 x 23";"72hpf_neg_hand2";"ifit14";"interferon-induced protein with tetratricopeptide repeats 14 [Source:ZFIN;Acc:ZDB-GENE-131120-20]"
"ENSDARG00000073675";"ENSDARG00000073675";"8 x 1";"72hpf_pos_hand2.1";"";"toll-like receptor 8b [Source:ZFIN;Acc:ZDB-GENE-040219-12]"
"ENSDARG00000088069";"ENSDARG00000088069";"14 x 27";"72hpf_pos_tbx5";"LOC572297";"interferon-induced protein with tetratricopeptide repeats 5  [Source:RefSeq peptide;Acc:NP_001289169]"
"ENSDARG00000089756";"ENSDARG00000089756";"15 x 19";"72hpf_pos_gata5";"traf3ip2b";"TRAF3 interacting protein 2b [Source:ZFIN;Acc:ZDB-GENE-031118-74]"
"ENSDARG00000090119";"ENSDARG00000090119";"24 x 3";"24hpf_pos";"tlr8a";"toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632]"
"ENSDARG00000090537";"ENSDARG00000090537";"5 x 7";"72hpf_pos.1";"ifit11";"interferon-induced protein with tetratricopeptide repeats 11 [Source:ZFIN;Acc:ZDB-GENE-121214-302]"
"ENSDARG00000090977";"ENSDARG00000090977";"26 x 25";"72hpf_pos_tbx5.1";"ifit12";"interferon-induced protein with tetratricopeptide repeats 12 [Source:ZFIN;Acc:ZDB-GENE-120406-2]"
"ENSDARG00000093750";"ENSDARG00000093750";"14 x 9";"24hpf_pos.1";"cd180";"CD180 molecule [Source:ZFIN;Acc:ZDB-GENE-070705-323]"
"ENSDARG00000104832";"ENSDARG00000104832";"13 x 9";"72hpf_pos_tbx5";"";""
