"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000606";"ENSDARG00000000606";"17 x 39";"72hpf_neg_gata5";"dnah6";"dynein, axonemal, heavy chain 6 [Source:ZFIN;Acc:ZDB-GENE-030616-623]"
"ENSDARG00000004151";"ENSDARG00000004151";"40 x 24";"24hpf_pos.1";"rab23";"RAB23, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-050522-328]"
"ENSDARG00000004592";"ENSDARG00000004592";"31 x 35";"72hpf_pos.1";"gpr22a";"G protein-coupled receptor 22a [Source:ZFIN;Acc:ZDB-GENE-041210-48]"
"ENSDARG00000007025";"ENSDARG00000007025";"31 x 1";"24hpf_pos.1";"ttc9c";"tetratricopeptide repeat domain 9C [Source:ZFIN;Acc:ZDB-GENE-040426-1053]"
"ENSDARG00000010472";"ENSDARG00000010472";"10 x 13";"72hpf_pos.1";"atp1a2a";"ATPase, Na+/K+ transporting, alpha 2a polypeptide [Source:ZFIN;Acc:ZDB-GENE-001212-6]"
"ENSDARG00000010721";"ENSDARG00000010721";"30 x 1";"72hpf_pos_gata5.1";"sept6";"septin 6 [Source:ZFIN;Acc:ZDB-GENE-030131-1414]"
"ENSDARG00000011257";"ENSDARG00000011257";"32 x 37";"72hpf_neg";"enpp2";"ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1156]"
"ENSDARG00000011693";"ENSDARG00000011693";"8 x 10";"72hpf_pos_tbx5";"ttc36";"tetratricopeptide repeat domain 36 [Source:ZFIN;Acc:ZDB-GENE-041114-87]"
"ENSDARG00000014098";"ENSDARG00000014098";"19 x 33";"72hpf_neg";"pkd2";"polycystic kidney disease 2 [Source:ZFIN;Acc:ZDB-GENE-040827-4]"
"ENSDARG00000014309";"ENSDARG00000014309";"18 x 26";"72hpf_neg_tbx5";"spaw";"southpaw [Source:ZFIN;Acc:ZDB-GENE-030219-1]"
"ENSDARG00000014986";"ENSDARG00000014986";"34 x 19";"24hpf_pos";"acvr1l";"activin A receptor, type I like [Source:ZFIN;Acc:ZDB-GENE-990415-9]"
"ENSDARG00000017078";"ENSDARG00000017078";"26 x 23";"24hpf_neg";"mespaa";"mesoderm posterior aa [Source:ZFIN;Acc:ZDB-GENE-000406-8]"
"ENSDARG00000019728";"ENSDARG00000019728";"33 x 37";"72hpf_neg";"bmpr1aa";"bone morphogenetic protein receptor, type IAa [Source:ZFIN;Acc:ZDB-GENE-000502-1]"
"ENSDARG00000019920";"ENSDARG00000019920";"26 x 23";"24hpf_neg";"lft1";"lefty1 [Source:ZFIN;Acc:ZDB-GENE-990630-10]"
"ENSDARG00000019995";"ENSDARG00000019995";"40 x 6";"24hpf_pos";"bmp4";"bone morphogenetic protein 4 [Source:ZFIN;Acc:ZDB-GENE-980528-2059]"
"ENSDARG00000021124";"ENSDARG00000021124";"13 x 6";"72hpf_pos_hand2.1";"cfl1";"cofilin 1 [Source:ZFIN;Acc:ZDB-GENE-030131-215]"
"ENSDARG00000021201";"ENSDARG00000021201";"28 x 25";"24hpf_neg";"noto";"notochord homeobox [Source:ZFIN;Acc:ZDB-GENE-990415-75]"
"ENSDARG00000035957";"ENSDARG00000035957";"32 x 24";"24hpf_neg";"gmnn";"geminin, DNA replication inhibitor [Source:ZFIN;Acc:ZDB-GENE-030429-30]"
"ENSDARG00000040085";"ENSDARG00000040085";"18 x 34";"72hpf_neg_gata5";"ccsapb";"centriole, cilia and spindle-associated protein b [Source:ZFIN;Acc:ZDB-GENE-081107-51]"
"ENSDARG00000044339";"ENSDARG00000044339";"7 x 13";"72hpf_pos_gata5";"rp2";"RP2, ARL3 GTPase activating protein [Source:ZFIN;Acc:ZDB-GENE-040426-2795]"
"ENSDARG00000044405";"ENSDARG00000044405";"34 x 1";"24hpf_pos.1";"ttc4";"tetratricopeptide repeat domain 4 [Source:ZFIN;Acc:ZDB-GENE-040426-1021]"
"ENSDARG00000052535";"ENSDARG00000052535";"23 x 14";"72hpf_pos_tbx5.1";"ubxn10";"UBX domain protein 10 [Source:ZFIN;Acc:ZDB-GENE-060825-319]"
"ENSDARG00000055128";"ENSDARG00000055128";"29 x 24";"72hpf_pos_gata5.1";"armc4";"armadillo repeat containing 4 [Source:ZFIN;Acc:ZDB-GENE-100316-7]"
"ENSDARG00000056888";"ENSDARG00000056888";"8 x 24";"72hpf_pos_hand2.1";"dnah5l";"dynein, axonemal, heavy chain 5 like [Source:ZFIN;Acc:ZDB-GENE-091204-287]"
"ENSDARG00000058322";"ENSDARG00000058322";"19 x 39";"72hpf_pos.1";"";"ectodermal-neural cortex 3 [Source:ZFIN;Acc:ZDB-GENE-030131-5742]"
"ENSDARG00000062909";"ENSDARG00000062909";"3 x 24";"72hpf_neg_gata5";"furina";"furin (paired basic amino acid cleaving enzyme) a [Source:ZFIN;Acc:ZDB-GENE-040901-1]"
"ENSDARG00000062978";"ENSDARG00000062978";"35 x 16";"24hpf_pos.1";"ccdc151";"coiled-coil domain containing 151 [Source:ZFIN;Acc:ZDB-GENE-061013-787]"
"ENSDARG00000063009";"ENSDARG00000063009";"1 x 5";"72hpf_pos_tbx5.1";"catip";"ciliogenesis associated TTC17 interacting protein [Source:ZFIN;Acc:ZDB-GENE-060929-1170]"
"ENSDARG00000063522";"ENSDARG00000063522";"20 x 37";"48hpf_neg";"bbs4";"Bardet-Biedl syndrome 4 [Source:ZFIN;Acc:ZDB-GENE-060126-2]"
"ENSDARG00000068761";"ENSDARG00000068761";"26 x 22";"24hpf_neg";"mespab";"mesoderm posterior ab [Source:ZFIN;Acc:ZDB-GENE-090817-2]"
"ENSDARG00000069014";"ENSDARG00000069014";"31 x 40";"24hpf_neg";"";"nephronophthisis 4 [Source:ZFIN;Acc:ZDB-GENE-060503-715]"
"ENSDARG00000091906";"ENSDARG00000091906";"18 x 22";"48hpf_pos.1";"rbp7a";"retinol binding protein 7a, cellular [Source:ZFIN;Acc:ZDB-GENE-071004-2]"
"ENSDARG00000097947";"ENSDARG00000097947";"16 x 19";"72hpf_pos_gata5";"mespbb";"mesoderm posterior bb [Source:ZFIN;Acc:ZDB-GENE-110609-1]"
"ENSDARG00000100081";"ENSDARG00000100081";"31 x 12";"24hpf_pos";"";"dynein, axonemal, intermediate chain 1, paralog 1 [Source:ZFIN;Acc:ZDB-GENE-040910-7]"
"ENSDARG00000101576";"ENSDARG00000101576";"17 x 16";"24hpf_neg";"ta";"T, brachyury homolog a [Source:ZFIN;Acc:ZDB-GENE-980526-437]"
"ENSDARG00000101717";"ENSDARG00000101717";"40 x 11";"24hpf_pos.1";"sox17";"SRY (sex determining region Y)-box 17 [Source:ZFIN;Acc:ZDB-GENE-991213-1]"
"ENSDARG00000101814";"ENSDARG00000101814";"3 x 28";"72hpf_neg";"lpar3";"lysophosphatidic acid receptor 3 [Source:ZFIN;Acc:ZDB-GENE-120202-1]"
"ENSDARG00000102308";"ENSDARG00000102308";"1 x 20";"72hpf_pos_hand2.1";"ttc39c";"tetratricopeptide repeat domain 39C [Source:ZFIN;Acc:ZDB-GENE-050522-194]"
"ENSDARG00000103607";"ENSDARG00000103607";"40 x 25";"24hpf_neg";"wtip";"WT1 interacting protein [Source:ZFIN;Acc:ZDB-GENE-050419-261]"
"ENSDARG00000104441";"ENSDARG00000104441";"6 x 1";"72hpf_pos_hand2";"hspb7";"heat shock protein family, member 7 (cardiovascular) [Source:ZFIN;Acc:ZDB-GENE-041010-136]"
"ENSDARG00000104837";"ENSDARG00000104837";"19 x 11";"72hpf_pos";"nudc";"nudC nuclear distribution protein [Source:ZFIN;Acc:ZDB-GENE-040426-899]"
"ENSDARG00000105045";"ENSDARG00000105045";"32 x 35";"24hpf_pos";"bmpr1ab";"bone morphogenetic protein receptor, type IAb [Source:ZFIN;Acc:ZDB-GENE-040912-150]"
