"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001249";"ENSDARG00000001249";"37 x 25";"24hpf_neg";"pcgf1";"polycomb group ring finger 1 [Source:ZFIN;Acc:ZDB-GENE-030616-605]"
"ENSDARG00000011948";"ENSDARG00000011948";"11 x 27";"72hpf_neg_hand2";"insra";"insulin receptor a [Source:ZFIN;Acc:ZDB-GENE-020503-3]"
"ENSDARG00000021405";"ENSDARG00000021405";"1 x 37";"72hpf_neg_tbx5";"chd3";"chromodomain helicase DNA binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-121031-4]"
"ENSDARG00000055754";"ENSDARG00000055754";"5 x 37";"72hpf_neg_tbx5";"smc1a";"structural maintenance of chromosomes 1A [Source:ZFIN;Acc:ZDB-GENE-090506-9]"
"ENSDARG00000061052";"ENSDARG00000061052";"27 x 39";"48hpf_neg";"nipblb";"nipped-B homolog b (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-6070]"
"ENSDARG00000069089";"ENSDARG00000069089";"18 x 16";"72hpf_pos";"agrp";"agouti related neuropeptide [Source:ZFIN;Acc:ZDB-GENE-040817-1]"
"ENSDARG00000071524";"ENSDARG00000071524";"18 x 32";"72hpf_neg_gata5";"insrb";"insulin receptor b [Source:ZFIN;Acc:ZDB-GENE-020503-4]"
"ENSDARG00000074763";"ENSDARG00000074763";"16 x 33";"24hpf_pos.1";"mrap2a";"melanocortin 2 receptor accessory protein 2a [Source:ZFIN;Acc:ZDB-GENE-100729-3]"
"ENSDARG00000079216";"ENSDARG00000079216";"38 x 36";"24hpf_pos";"dpep2";"dipeptidase 2 [Source:ZFIN;Acc:ZDB-GENE-120419-2]"
"ENSDARG00000094857";"ENSDARG00000094857";"23 x 15";"72hpf_pos_tbx5.1";"dio2";"deiodinase, iodothyronine, type II [Source:ZFIN;Acc:ZDB-GENE-030327-4]"
