"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000006584";"ENSDARG00000006584";"18 x 37";"48hpf_neg";"phf8";"PHD finger protein 8 [Source:ZFIN;Acc:ZDB-GENE-060419-1]"
"ENSDARG00000010085";"ENSDARG00000010085";"19 x 36";"24hpf_neg";"p4ha2";"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide 2 [Source:ZFIN;Acc:ZDB-GENE-030827-1]"
"ENSDARG00000011821";"ENSDARG00000011821";"4 x 31";"72hpf_neg_gata5";"plod2";"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 [Source:ZFIN;Acc:ZDB-GENE-070326-1]"
"ENSDARG00000016789";"ENSDARG00000016789";"40 x 15";"24hpf_pos.1";"zgc:152891";"zgc:152891 [Source:ZFIN;Acc:ZDB-GENE-061013-229]"
"ENSDARG00000018111";"ENSDARG00000018111";"27 x 34";"48hpf_neg";"kdm7aa";"lysine (K)-specific demethylase 7Aa [Source:ZFIN;Acc:ZDB-GENE-030131-9829]"
"ENSDARG00000020448";"ENSDARG00000020448";"8 x 2";"72hpf_pos_gata5.1";"adi1";"acireductone dioxygenase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2799]"
"ENSDARG00000023176";"ENSDARG00000023176";"24 x 9";"72hpf_pos_gata5.1";"tdo2b";"tryptophan 2,3-dioxygenase b [Source:ZFIN;Acc:ZDB-GENE-030131-6014]"
"ENSDARG00000029905";"ENSDARG00000029905";"1 x 1";"72hpf_pos_gata5.1";"phyhd1";"phytanoyl-CoA dioxygenase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-041114-159]"
"ENSDARG00000031915";"ENSDARG00000031915";"29 x 22";"24hpf_pos";"hif1an";"hypoxia inducible factor 1, alpha subunit inhibitor [Source:ZFIN;Acc:ZDB-GENE-030826-19]"
"ENSDARG00000033594";"ENSDARG00000033594";"18 x 12";"72hpf_pos";"ido1";"indoleamine 2,3-dioxygenase 1 [Source:ZFIN;Acc:ZDB-GENE-080228-2]"
"ENSDARG00000043085";"ENSDARG00000043085";"15 x 20";"72hpf_pos_gata5";"";"arachidonate 5-lipoxygenase b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-131219-3]"
"ENSDARG00000043089";"ENSDARG00000043089";"25 x 27";"72hpf_neg";"alox5b.2";"arachidonate 5-lipoxygenase b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-060623-19]"
"ENSDARG00000045606";"ENSDARG00000045606";"24 x 9";"72hpf_pos_gata5.1";"alkbh3";"alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase [Source:ZFIN;Acc:ZDB-GENE-040801-254]"
"ENSDARG00000053571";"ENSDARG00000053571";"18 x 15";"72hpf_pos";"adob";"2-aminoethanethiol (cysteamine) dioxygenase b [Source:ZFIN;Acc:ZDB-GENE-040426-2267]"
"ENSDARG00000056211";"ENSDARG00000056211";"40 x 18";"24hpf_pos";"ogfod2";"2-oxoglutarate and iron-dependent oxygenase domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-061215-54]"
"ENSDARG00000057273";"ENSDARG00000057273";"40 x 1";"24hpf_pos.1";"alox5a";"arachidonate 5-lipoxygenase a [Source:ZFIN;Acc:ZDB-GENE-090311-47]"
"ENSDARG00000058005";"ENSDARG00000058005";"1 x 33";"72hpf_pos.1";"hgd";"homogentisate 1,2-dioxygenase [Source:ZFIN;Acc:ZDB-GENE-020802-5]"
"ENSDARG00000059629";"ENSDARG00000059629";"21 x 39";"24hpf_pos";"asphd2";"aspartate beta-hydroxylase domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-061103-142]"
"ENSDARG00000063003";"ENSDARG00000063003";"29 x 1";"24hpf_pos.1";"alkbh5";"alkB homolog 5, RNA demethylase [Source:ZFIN;Acc:ZDB-GENE-061013-602]"
"ENSDARG00000069463";"ENSDARG00000069463";"40 x 34";"24hpf_pos";"alox12";"arachidonate 12-lipoxygenase [Source:ZFIN;Acc:ZDB-GENE-030131-1452]"
"ENSDARG00000069966";"ENSDARG00000069966";"24 x 8";"72hpf_pos_gata5.1";"alox5b.3";"arachidonate 5-lipoxygenase b, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-050522-330]"
"ENSDARG00000071082";"ENSDARG00000071082";"18 x 39";"72hpf_neg_gata5";"p4ha1b";"prolyl 4-hydroxylase, alpha polypeptide I b [Source:ZFIN;Acc:ZDB-GENE-030131-4089]"
"ENSDARG00000071429";"ENSDARG00000071429";"7 x 9";"72hpf_pos_tbx5";"tdo2a";"tryptophan 2,3-dioxygenase a [Source:ZFIN;Acc:ZDB-GENE-030131-1187]"
"ENSDARG00000073781";"ENSDARG00000073781";"40 x 16";"24hpf_pos.1";"si:dkey-17e16.9";"si:dkey-17e16.9 [Source:ZFIN;Acc:ZDB-GENE-091118-123]"
