"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000005274";"ENSDARG00000005274";"40 x 29";"24hpf_pos.1";"rad52";"RAD52 homolog, DNA repair protein [Source:ZFIN;Acc:ZDB-GENE-050731-10]"
"ENSDARG00000007175";"ENSDARG00000007175";"30 x 12";"24hpf_neg";"";"RecQ helicase-like [Source:ZFIN;Acc:ZDB-GENE-050809-134]"
"ENSDARG00000013933";"ENSDARG00000013933";"34 x 19";"72hpf_pos_gata5.1";"xrcc2";"X-ray repair cross complementing 2 [Source:HGNC Symbol;Acc:HGNC:12829]"
"ENSDARG00000014161";"ENSDARG00000014161";"37 x 31";"24hpf_pos.1";"ercc4";"excision repair cross-complementation group 4 [Source:ZFIN;Acc:ZDB-GENE-030131-5533]"
"ENSDARG00000021974";"ENSDARG00000021974";"37 x 3";"24hpf_pos";"sfr1";"SWI5-dependent homologous recombination repair protein 1 [Source:ZFIN;Acc:ZDB-GENE-070410-27]"
"ENSDARG00000037046";"ENSDARG00000037046";"13 x 8";"72hpf_pos_hand2.1";"rad51b";"RAD51 paralog B [Source:ZFIN;Acc:ZDB-GENE-040426-2750]"
"ENSDARG00000038917";"ENSDARG00000038917";"38 x 9";"72hpf_pos.1";"rad50";"RAD50 homolog, double strand break repair protein [Source:ZFIN;Acc:ZDB-GENE-050506-110]"
"ENSDARG00000040131";"ENSDARG00000040131";"8 x 12";"72hpf_pos_tbx5";"zfyve26";"zinc finger, FYVE domain containing 26 [Source:ZFIN;Acc:ZDB-GENE-030131-3286]"
"ENSDARG00000040303";"ENSDARG00000040303";"35 x 1";"24hpf_pos.1";"nbn";"nibrin [Source:ZFIN;Acc:ZDB-GENE-041008-35]"
"ENSDARG00000041411";"ENSDARG00000041411";"35 x 29";"24hpf_pos";"rad51";"RAD51 recombinase [Source:ZFIN;Acc:ZDB-GENE-040426-2286]"
"ENSDARG00000043480";"ENSDARG00000043480";"37 x 33";"24hpf_pos";"rbbp8";"retinoblastoma binding protein 8 [Source:ZFIN;Acc:ZDB-GENE-050220-14]"
"ENSDARG00000044282";"ENSDARG00000044282";"38 x 21";"24hpf_pos.1";"smc5";"structural maintenance of chromosomes 5 [Source:ZFIN;Acc:ZDB-GENE-061013-288]"
"ENSDARG00000045877";"ENSDARG00000045877";"21 x 1";"72hpf_pos_gata5.1";"ube2nb";"ubiquitin-conjugating enzyme E2Nb [Source:ZFIN;Acc:ZDB-GENE-040426-1291]"
"ENSDARG00000058719";"ENSDARG00000058719";"40 x 24";"24hpf_pos.1";"si:dkey-119f1.1";"si:dkey-119f1.1 [Source:ZFIN;Acc:ZDB-GENE-070705-287]"
"ENSDARG00000067608";"ENSDARG00000067608";"27 x 10";"24hpf_neg";"zswim7";"zinc finger, SWIM-type containing 7 [Source:ZFIN;Acc:ZDB-GENE-030131-4255]"
"ENSDARG00000076379";"ENSDARG00000076379";"34 x 7";"72hpf_pos.1";"nsmce2";"NSE2/MMS21 homolog, SMC5-SMC6 complex SUMO ligase [Source:ZFIN;Acc:ZDB-GENE-081022-128]"
"ENSDARG00000076755";"ENSDARG00000076755";"9 x 4";"72hpf_pos";"ap5s1";"adaptor-related protein complex 5, sigma 1 subunit [Source:ZFIN;Acc:ZDB-GENE-090313-184]"
"ENSDARG00000077089";"ENSDARG00000077089";"40 x 36";"24hpf_pos.1";"blm";"Bloom syndrome, RecQ helicase-like [Source:ZFIN;Acc:ZDB-GENE-070702-5]"
"ENSDARG00000077516";"ENSDARG00000077516";"36 x 35";"24hpf_neg";"recql4";"RecQ helicase-like 4 [Source:ZFIN;Acc:ZDB-GENE-091112-2]"
"ENSDARG00000079015";"ENSDARG00000079015";"38 x 30";"24hpf_neg";"brca2";"breast cancer 2, early onset [Source:ZFIN;Acc:ZDB-GENE-060510-3]"
"ENSDARG00000091821";"ENSDARG00000091821";"12 x 9";"72hpf_pos_hand2";"smc6";"structural maintenance of chromosomes 6 [Source:ZFIN;Acc:ZDB-GENE-110303-1]"
"ENSDARG00000104287";"ENSDARG00000104287";"30 x 29";"72hpf_pos.1";"oraov1";"oral cancer overexpressed 1 [Source:ZFIN;Acc:ZDB-GENE-030729-33]"
