"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000035924";"ENSDARG00000035924";"5 x 15";"48hpf_pos";"dync1li2";"dynein, cytoplasmic 1, light intermediate chain 2 [Source:ZFIN;Acc:ZDB-GENE-050417-156]"
"ENSDARG00000038788";"ENSDARG00000038788";"24 x 36";"24hpf_neg";"dnai1.2";"dynein, axonemal, intermediate chain 1, paralog 2 [Source:ZFIN;Acc:ZDB-GENE-070112-1302]"
"ENSDARG00000044400";"ENSDARG00000044400";"10 x 20";"72hpf_pos.1";"wdr78";"WD repeat domain 78 [Source:ZFIN;Acc:ZDB-GENE-050522-322]"
"ENSDARG00000057635";"ENSDARG00000057635";"30 x 12";"24hpf_pos";"wdr34";"WD repeat domain 34 [Source:ZFIN;Acc:ZDB-GENE-070928-9]"
"ENSDARG00000060948";"ENSDARG00000060948";"11 x 40";"48hpf_neg";"dync1i1";"dynein, cytoplasmic 1, intermediate chain 1 [Source:ZFIN;Acc:ZDB-GENE-061215-62]"
"ENSDARG00000069815";"ENSDARG00000069815";"24 x 15";"72hpf_pos_tbx5.1";"dnali1";"dynein, axonemal, light intermediate chain 1 [Source:ZFIN;Acc:ZDB-GENE-080204-7]"
"ENSDARG00000074081";"ENSDARG00000074081";"40 x 12";"24hpf_pos.1";"dnai2b";"dynein, axonemal, intermediate chain 2b [Source:ZFIN;Acc:ZDB-GENE-131016-1]"
"ENSDARG00000076934";"ENSDARG00000076934";"25 x 40";"24hpf_neg";"wdr60";"WD repeat domain 60 [Source:ZFIN;Acc:ZDB-GENE-140821-1]"
"ENSDARG00000078386";"ENSDARG00000078386";"8 x 4";"48hpf_pos.1";"dync1i2a";"dynein, cytoplasmic 1, intermediate chain 2a [Source:ZFIN;Acc:ZDB-GENE-060929-1086]"
"ENSDARG00000098090";"ENSDARG00000098090";"12 x 34";"72hpf_neg_hand2";"";""
"ENSDARG00000098317";"ENSDARG00000098317";"14 x 33";"72hpf_neg_tbx5";"dync1li1";"dynein, cytoplasmic 1, light intermediate chain 1 [Source:ZFIN;Acc:ZDB-GENE-030131-4108]"
"ENSDARG00000100081";"ENSDARG00000100081";"31 x 12";"24hpf_pos";"";"dynein, axonemal, intermediate chain 1, paralog 1 [Source:ZFIN;Acc:ZDB-GENE-040910-7]"
"ENSDARG00000105093";"ENSDARG00000105093";"22 x 8";"72hpf_pos_gata5.1";"";"WD repeat domain 63 [Source:HGNC Symbol;Acc:HGNC:30711]"
