"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000016490";"ENSDARG00000016490";"34 x 40";"24hpf_pos.1";"";"RAB11 family interacting protein 3 (class II) [Source:ZFIN;Acc:ZDB-GENE-040724-138]"
"ENSDARG00000017834";"ENSDARG00000017834";"35 x 27";"24hpf_neg";"micall2b";"mical-like 2b [Source:ZFIN;Acc:ZDB-GENE-030131-5803]"
"ENSDARG00000034771";"ENSDARG00000034771";"27 x 9";"48hpf_pos";"rab13";"RAB13, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-030826-30]"
"ENSDARG00000035137";"ENSDARG00000035137";"24 x 11";"72hpf_pos_gata5.1";"ehd2a";"EH-domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-060531-86]"
"ENSDARG00000035188";"ENSDARG00000035188";"1 x 17";"72hpf_neg_hand2";"rab14l";"RAB14, member RAS oncogene family, like [Source:ZFIN;Acc:ZDB-GENE-040426-1207]"
"ENSDARG00000037967";"ENSDARG00000037967";"8 x 14";"72hpf_pos.1";"si:dkey-16l2.16";"si:dkey-16l2.16 [Source:ZFIN;Acc:ZDB-GENE-141219-36]"
"ENSDARG00000040362";"ENSDARG00000040362";"6 x 16";"72hpf_pos";"ehd2b";"EH-domain containing 2b [Source:ZFIN;Acc:ZDB-GENE-030131-9347]"
"ENSDARG00000040502";"ENSDARG00000040502";"12 x 23";"72hpf_pos_tbx5";"";"MICAL-like 1b [Source:ZFIN;Acc:ZDB-GENE-110411-260]"
"ENSDARG00000054302";"ENSDARG00000054302";"11 x 8";"72hpf_pos_hand2.1";"";"EH-domain containing 4 [Source:ZFIN;Acc:ZDB-GENE-060810-22]"
"ENSDARG00000058425";"ENSDARG00000058425";"4 x 15";"72hpf_pos.1";"rab35b";"RAB35, member RAS oncogene family b [Source:ZFIN;Acc:ZDB-GENE-040801-62]"
"ENSDARG00000074246";"ENSDARG00000074246";"10 x 5";"72hpf_pos_hand2.1";"rab14";"RAB14, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-030826-20]"
"ENSDARG00000087016";"ENSDARG00000087016";"23 x 13";"72hpf_pos_tbx5.1";"si:ch211-254c8.2";"si:ch211-254c8.2 [Source:ZFIN;Acc:ZDB-GENE-100922-171]"
"ENSDARG00000102078";"ENSDARG00000102078";"16 x 12";"72hpf_pos";"rab35a";"RAB35, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9774]"
"ENSDARG00000102366";"ENSDARG00000102366";"40 x 36";"24hpf_pos.1";"micall2a";"mical-like 2a [Source:ZFIN;Acc:ZDB-GENE-030131-5409]"
