"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000008542";"ENSDARG00000008542";"24 x 40";"48hpf_neg";"yod1";"YOD1 deubiquitinase [Source:ZFIN;Acc:ZDB-GENE-050417-217]"
"ENSDARG00000010524";"ENSDARG00000010524";"31 x 14";"24hpf_pos.1";"si:ch211-282j22.3";"si:ch211-282j22.3 [Source:ZFIN;Acc:ZDB-GENE-091113-49]"
"ENSDARG00000012656";"ENSDARG00000012656";"28 x 30";"24hpf_pos";"atf6";"activating transcription factor 6 [Source:ZFIN;Acc:ZDB-GENE-041014-328]"
"ENSDARG00000015793";"ENSDARG00000015793";"9 x 40";"72hpf_neg_gata5";"creb3l1";"cAMP responsive element binding protein 3-like 1 [Source:ZFIN;Acc:ZDB-GENE-030219-181]"
"ENSDARG00000017740";"ENSDARG00000017740";"40 x 10";"72hpf_pos.1";"sec63";"SEC63 homolog, protein translocation regulator [Source:ZFIN;Acc:ZDB-GENE-040718-328]"
"ENSDARG00000020218";"ENSDARG00000020218";"6 x 13";"72hpf_pos_hand2.1";"amfr";"autocrine motility factor receptor, E3 ubiquitin protein ligase a [Source:ZFIN;Acc:ZDB-GENE-040426-2190]"
"ENSDARG00000020926";"ENSDARG00000020926";"1 x 21";"72hpf_pos_gata5";"creb3l3l";"cAMP responsive element binding protein 3-like 3 like [Source:ZFIN;Acc:ZDB-GENE-040426-2942]"
"ENSDARG00000028448";"ENSDARG00000028448";"30 x 27";"48hpf_pos";"edem2";"ER degradation enhancer, mannosidase alpha-like 2 [Source:ZFIN;Acc:ZDB-GENE-060519-1]"
"ENSDARG00000037647";"ENSDARG00000037647";"2 x 17";"48hpf_pos";"rnf175";"ring finger protein 175 [Source:ZFIN;Acc:ZDB-GENE-040426-1104]"
"ENSDARG00000039008";"ENSDARG00000039008";"27 x 7";"72hpf_pos_gata5.1";"zgc:85858";"zgc:85858 [Source:ZFIN;Acc:ZDB-GENE-040426-2333]"
"ENSDARG00000054746";"ENSDARG00000054746";"38 x 30";"24hpf_pos.1";"uggt1";"UDP-glucose glycoprotein glucosyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-061103-619]"
"ENSDARG00000056226";"ENSDARG00000056226";"11 x 12";"72hpf_pos.1";"creb3l3a";"cAMP responsive element binding protein 3-like 3a [Source:ZFIN;Acc:ZDB-GENE-030131-4298]"
"ENSDARG00000060282";"ENSDARG00000060282";"36 x 22";"24hpf_neg";"rnf121";"ring finger protein 121 [Source:ZFIN;Acc:ZDB-GENE-050809-3]"
"ENSDARG00000062089";"ENSDARG00000062089";"29 x 40";"24hpf_neg";"uggt2";"UDP-glucose glycoprotein glucosyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-050517-21]"
"ENSDARG00000063563";"ENSDARG00000063563";"18 x 34";"72hpf_neg_gata5";"";"cAMP responsive element binding protein 3-like 2 [Source:ZFIN;Acc:ZDB-GENE-070112-1542]"
"ENSDARG00000070435";"ENSDARG00000070435";"2 x 18";"72hpf_pos_tbx5.1";"vapb";"VAMP (vesicle-associated membrane protein)-associated protein B and C [Source:ZFIN;Acc:ZDB-GENE-030131-2348]"
"ENSDARG00000074129";"ENSDARG00000074129";"13 x 12";"72hpf_neg_hand2";"edem3";"ER degradation enhancer, mannosidase alpha-like 3 [Source:ZFIN;Acc:ZDB-GENE-070801-5]"
"ENSDARG00000076223";"ENSDARG00000076223";"4 x 12";"72hpf_pos_gata5.1";"zgc:92744";"zgc:92744 [Source:ZFIN;Acc:ZDB-GENE-040718-312]"
"ENSDARG00000090903";"ENSDARG00000090903";"34 x 19";"24hpf_pos";"creb3l3b";"cAMP responsive element binding protein 3-like 3b [Source:ZFIN;Acc:ZDB-GENE-131023-1]"
"ENSDARG00000094003";"ENSDARG00000094003";"12 x 31";"24hpf_pos.1";"serp2";"stress-associated endoplasmic reticulum protein family member 2 [Source:ZFIN;Acc:ZDB-GENE-081104-143]"
