"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000014171";"ENSDARG00000014171";"18 x 4";"72hpf_pos";"bloc1s1";"biogenesis of lysosomal organelles complex-1, subunit 1 [Source:ZFIN;Acc:ZDB-GENE-050208-569]"
"ENSDARG00000016977";"ENSDARG00000016977";"11 x 26";"72hpf_pos.1";"snx27b";"sorting nexin family member 27b [Source:ZFIN;Acc:ZDB-GENE-040426-1529]"
"ENSDARG00000020497";"ENSDARG00000020497";"16 x 1";"48hpf_pos.1";"rab7";"RAB7, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-040426-1352]"
"ENSDARG00000036008";"ENSDARG00000036008";"11 x 32";"72hpf_neg_hand2";"caly";"calcyon neuron-specific vesicular protein [Source:ZFIN;Acc:ZDB-GENE-090313-405]"
"ENSDARG00000054829";"ENSDARG00000054829";"3 x 1";"48hpf_pos.1";"pik3c3";"phosphatidylinositol 3-kinase, catalytic subunit type 3 [Source:ZFIN;Acc:ZDB-GENE-050410-13]"
"ENSDARG00000059902";"ENSDARG00000059902";"5 x 14";"72hpf_pos_gata5.1";"vps16";"vacuolar protein sorting protein 16 [Source:ZFIN;Acc:ZDB-GENE-050809-9]"
"ENSDARG00000061719";"ENSDARG00000061719";"13 x 6";"72hpf_pos_tbx5.1";"si:dkey-23p11.2";"si:dkey-23p11.2 [Source:ZFIN;Acc:ZDB-GENE-100427-4]"
"ENSDARG00000063457";"ENSDARG00000063457";"17 x 6";"72hpf_pos";"wash1";"WAS protein family homolog 1 [Source:ZFIN;Acc:ZDB-GENE-050419-138]"
"ENSDARG00000068828";"ENSDARG00000068828";"29 x 10";"24hpf_pos";"bloc1s3";"biogenesis of lysosomal organelles complex-1, subunit 3 [Source:ZFIN;Acc:ZDB-GENE-050913-10]"
"ENSDARG00000074721";"ENSDARG00000074721";"33 x 1";"24hpf_pos";"rassf9";"Ras association (RalGDS/AF-6) domain family (N-terminal) member 9 [Source:ZFIN;Acc:ZDB-GENE-091204-470]"
"ENSDARG00000076755";"ENSDARG00000076755";"9 x 4";"72hpf_pos";"ap5s1";"adaptor-related protein complex 5, sigma 1 subunit [Source:ZFIN;Acc:ZDB-GENE-090313-184]"
"ENSDARG00000078805";"ENSDARG00000078805";"24 x 1";"72hpf_pos_tbx5";"ap5b1";"adaptor-related protein complex 5, beta 1 subunit [Source:ZFIN;Acc:ZDB-GENE-131121-204]"
"ENSDARG00000101294";"ENSDARG00000101294";"23 x 1";"48hpf_pos";"";"BLOC1S5-TXNDC5 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:42001]"
"ENSDARG00000102975";"ENSDARG00000102975";"4 x 40";"72hpf_neg_tbx5";"hmp19";"HMP19 protein [Source:ZFIN;Acc:ZDB-GENE-030131-3694]"
